feature,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson
dI_dt_norm,0.905,0.0,0.9936,0.0,0.9050284229593297
neighbor_incidence_lag2,-0.1721,0.0,-0.0134,0.102284,0.17206761381146168
neighbor_incidence_lag1,-0.1644,0.0,-0.001,0.898039,0.16440728142804625
school_calendar_active,-0.0554,0.0,-0.0575,0.0,0.05535216208628983
solar_radiation,0.0432,0.0,0.0636,0.0,0.043242839982533296
max_rainfall,0.0414,0.0,0.0294,0.000322,0.04142857350369257
extreme_rainfall_binary,0.0401,1e-06,0.0342,2.8e-05,0.04005557461529456
avg_temp,0.0363,9e-06,0.0633,0.0,0.036252941268586324
cooling_degree_days,0.0363,9e-06,0.0633,0.0,0.036252941268586324
min_temp,0.0361,1e-05,0.0537,0.0,0.036070796567065765
avg_rainfall,0.0312,0.000135,0.0269,0.000996,0.031184550830295713
consecutive_wet_weeks,0.0299,0.000256,0.0297,0.000279,0.029873707921643643
max_temp,0.0289,0.000411,0.0515,0.0,0.028866763779946486
rainy_season_phase,0.0251,0.002132,0.0563,0.0,0.02509459293532119
nino34_anom,-0.0175,0.032447,-0.0021,0.799342,0.017477815077694504
tna_sst_anom,-0.0156,0.056094,-0.0129,0.114497,0.015610446509350454
soi_index,0.0127,0.119599,-0.0085,0.298316,0.012719161418719491
dew_point_temp,0.0122,0.13402,0.0356,1.3e-05,0.012245044885079121
wind_speed,0.011,0.178219,0.007,0.388312,0.01100155496685333
max_humidity,-0.0108,0.185255,0.0018,0.822049,0.010825762270543536
avg_humidity,-0.0067,0.410951,-0.0013,0.86984,0.0067192644733646886
consecutive_dry_weeks,-0.0059,0.469829,-0.0199,0.01494,0.005906452986610165
min_humidity,-0.0055,0.503168,0.0006,0.937474,0.00547134900024897
diurnal_temp_range,-0.0035,0.672723,0.0001,0.993486,0.0034520394217219964
min_rainfall,0.0014,0.867757,0.0103,0.207866,0.0013607340649058252
n_neighbors,-0.0009,0.907775,0.0047,0.568429,0.0009467130307634073
neighbor_incidence_lag0,0.0006,0.938647,0.0238,0.003589,0.0006290157651235515
population,-0.0002,0.981861,0.0054,0.512,0.00018579976335531868
total_cases,0.0001,0.991787,0.021,0.009994,8.41167575893996e-05
incidence,0.0001,0.992807,0.02,0.014498,7.367753222942489e-05
