z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,province,year,split
-0.78637415,0.65524215,0.002032793,0.1359459,1.056498,0.47032893,-0.13407044,-0.9418964,0.39175904,-0.038178988,01 Distrito Nacional,2015,train
0.5379278,0.91776955,-0.33680105,-0.6752214,-0.08440991,0.6929574,0.3600596,-1.2894973,0.6476547,-0.062614664,01 Distrito Nacional,2016,train
0.9003819,-0.17540152,-0.44883382,0.7528638,-0.37650785,0.49070632,0.28144976,-1.2826774,-0.5737643,-0.13690875,01 Distrito Nacional,2017,train
-0.48616964,-0.10060409,-1.4036711,0.20340846,0.38054743,0.26583987,-0.21202314,-0.82804394,-0.280573,0.63285667,01 Distrito Nacional,2018,train
-0.15362847,0.13398309,0.4168011,-0.3291355,0.5777554,0.07749525,-0.30374086,-0.52728945,-0.666471,-0.964987,01 Distrito Nacional,2019,train
0.99861383,0.23168844,-0.39221016,0.14412017,-0.32399857,0.42743537,0.4829577,-1.2456926,-0.37879935,-0.14724767,01 Distrito Nacional,2020,val
0.21898836,-0.2727431,-0.81291187,0.39216596,0.16073965,0.32085183,-0.053120796,-0.91637886,-0.6771031,-0.11861304,01 Distrito Nacional,2021,val
0.36321336,-0.2911104,-0.7619742,0.14596996,-0.27427328,0.28469586,0.303857,-1.0149457,-0.63351333,-0.40061963,01 Distrito Nacional,2022,test
0.41467726,-0.22682683,-0.19923149,-0.073321305,0.12103266,-0.19338973,-0.27736533,-0.51141405,-1.0965236,-0.6239474,01 Distrito Nacional,2023,test
-1.1736705,0.6473587,0.13699515,0.24402428,0.8847981,-0.18887597,0.5931301,-0.39495435,0.48755136,0.28788358,02 Azua,2015,train
0.26195478,0.5152594,-0.53056663,-0.51363266,-0.8990008,-0.5178999,1.3286418,-0.6853492,0.31057557,0.4436415,02 Azua,2016,train
0.5753672,-0.8627897,-0.33253264,0.8219246,-1.1139375,-0.9571233,1.425389,0.10008083,-1.1699584,-0.05007386,02 Azua,2017,train
-1.2000785,-0.87229747,-0.9665432,0.75939083,-0.54676706,-1.0291308,0.023674818,-0.65292215,-0.8313828,0.5143533,02 Azua,2018,train
-0.7798726,0.2003488,0.5841547,-0.06590509,0.13818431,-0.81102914,0.7703737,-0.27223924,-0.3578612,-0.78969496,02 Azua,2019,train
0.9119322,-0.31602415,-0.8569758,1.2425938,-0.31186104,0.39526898,1.4967551,0.09816779,-0.22809453,1.0342247,02 Azua,2020,val
-0.2874101,-0.5184173,-0.60161173,0.86620045,-0.33514532,-0.78895706,0.77093726,-0.43086353,-0.57616955,0.0993751,02 Azua,2021,val
-0.10648078,-0.5959482,-0.55960554,0.6121815,-0.57793576,-0.7366523,1.1950514,-0.15771413,-0.5594612,-0.08147997,02 Azua,2022,test
0.053140435,-0.3043591,0.061454996,0.312216,-0.5504311,-1.1405908,0.77199686,-0.2042127,-0.8305572,-0.40583268,02 Azua,2023,test
-0.8375952,0.66177964,0.5257816,0.51848435,0.51793987,-0.66178703,-0.33758187,0.0016721577,0.86883384,0.3876333,03 Baoruco,2015,train
0.06730184,0.7690937,-0.12080976,-0.0522277,-0.80371255,-0.4977605,-0.093277596,-0.5768773,1.3210566,0.549668,03 Baoruco,2016,train
0.92865634,-0.38262698,-0.19204354,1.729027,-0.76898783,-1.4024571,-0.009194977,0.31909573,-0.20397408,0.8361161,03 Baoruco,2017,train
-0.59987015,-0.23964271,-0.80827475,0.56273484,-0.65348196,-2.2882307,-0.30501625,0.1991485,-0.30054066,0.7900689,03 Baoruco,2018,train
-0.09414072,0.38273954,1.3482574,0.600609,-0.2319964,-1.6995544,-0.45911503,-0.20805776,-0.20112003,-0.7656507,03 Baoruco,2019,train
0.82600945,0.21295209,0.38808718,1.1279423,-0.7979887,-1.5010011,-0.14243278,-0.23005863,0.08412843,0.315577,03 Baoruco,2020,val
0.54360664,-0.57631516,-0.28106806,1.8811948,-0.28422138,-1.4214845,-0.35077435,0.8624153,-0.23438714,0.84428304,03 Baoruco,2021,val
0.36281475,-0.22889958,-0.007273355,1.0979744,-0.91823184,-1.55254,-0.11772737,0.06719827,0.14662923,0.2568284,03 Baoruco,2022,test
0.40815118,-0.084411375,0.40079358,0.8264434,-0.59229755,-2.1848116,-0.27838594,0.16253698,-0.629581,0.10545101,03 Baoruco,2023,test
-0.75890917,0.87344354,0.36154732,-0.4324918,1.0872672,0.45660514,-0.2608834,-0.17202628,0.5638823,0.8404473,04 Barahona,2015,train
0.67185664,0.70954025,-0.25888655,-1.2162802,-0.5470576,0.04351752,0.4218838,-0.026852464,0.54096013,1.0211927,04 Barahona,2016,train
0.7039873,-0.1469779,0.16417685,0.31594208,-0.3733784,0.068552874,-0.041605946,-0.65805674,-0.6454262,0.48531175,04 Barahona,2017,train
-0.49956045,0.12469192,-0.7270931,-0.39553788,0.28627357,0.10064649,-0.08778811,-0.27183408,-0.2211991,1.4030322,04 Barahona,2018,train
0.02753624,0.43146515,0.9832284,-0.85653526,0.6143314,-0.048825663,-0.18283743,0.15755548,-0.6440343,-0.24031308,04 Barahona,2019,train
