z1,z2,z3,z4,province,year,split
0.4489864,3.720931,-1.2289534,3.421752,01 Distrito Nacional,2015,train
4.5011826,2.2834203,-1.2509063,3.9411762,01 Distrito Nacional,2016,train
4.505845,2.406546,-1.2378266,2.482295,01 Distrito Nacional,2017,train
2.6069083,3.8105345,-1.3509611,1.730379,01 Distrito Nacional,2018,train
1.0408375,2.9539247,-0.77180994,2.7153401,01 Distrito Nacional,2019,train
4.729704,2.2740204,-1.2573915,2.8663049,01 Distrito Nacional,2020,val
3.9655592,2.9684398,-1.149552,2.1660507,01 Distrito Nacional,2021,val
4.285619,2.6756926,-1.14061,2.2977362,01 Distrito Nacional,2022,test
2.4483678,2.9835649,-0.9321877,2.324268,01 Distrito Nacional,2023,test
0.28230643,3.1366897,-2.409438,3.3531935,02 Azua,2015,train
4.449172,1.3456788,-1.9767853,3.4208841,02 Azua,2016,train
4.1237144,1.6199322,-2.0745614,2.0873647,02 Azua,2017,train
2.0510015,2.2354093,-1.959719,1.4761393,02 Azua,2018,train
0.91956663,2.165144,-1.5070052,2.3904696,02 Azua,2019,train
3.9738724,1.7752383,-2.132524,2.101021,02 Azua,2020,val
2.995751,1.9016116,-1.7288352,1.8844883,02 Azua,2021,val
3.2800477,1.8215785,-1.7261188,1.9306267,02 Azua,2022,test
1.9722987,1.90706,-1.5218961,2.0559714,02 Azua,2023,test
0.45684314,2.0223145,-3.3169222,2.904921,03 Baoruco,2015,train
3.3123145,0.90842915,-2.9202294,3.0070424,03 Baoruco,2016,train
2.5685513,0.71151155,-2.578225,1.8898897,03 Baoruco,2017,train
1.8214388,1.427861,-2.8260403,1.473163,03 Baoruco,2018,train
0.94582975,1.2249975,-2.7493272,2.1940665,03 Baoruco,2019,train
2.5569172,0.6689278,-2.5216384,2.216669,03 Baoruco,2020,val
2.3199217,1.2174273,-2.8057263,1.5765957,03 Baoruco,2021,val
2.2030149,0.8934088,-2.3490553,1.8327633,03 Baoruco,2022,test
1.1105926,1.1371149,-2.4370124,1.9825215,03 Baoruco,2023,test
0.49929357,3.7202837,-5.0828447,3.5942698,04 Barahona,2015,train
5.559018,1.5817428,-4.947242,3.6927807,04 Barahona,2016,train
4.5476575,1.780962,-3.9767983,2.2845244,04 Barahona,2017,train
2.971361,3.564417,-4.6416016,1.776854,04 Barahona,2018,train
1.3401402,2.8412726,-4.193659,2.7688224,04 Barahona,2019,train
4.774313,1.8509569,-4.615506,3.0428717,04 Barahona,2020,val
4.130289,2.3679795,-4.0873175,2.0666506,04 Barahona,2021,val
4.3014603,2.0224762,-3.897698,2.2169037,04 Barahona,2022,test
2.2974148,2.2827282,-3.9849217,2.485137,04 Barahona,2023,test
