z1,z2,z3,z4,z5,z6,z7,province,year,split
-1.0330476,-1.163469,-0.1576254,-0.0047821198,0.31038705,-1.1019719,-0.8074793,01 Distrito Nacional,2015,train
1.2102678,-0.20357694,2.0674071,-0.009883166,-0.7926714,-0.028892843,-1.228403,01 Distrito Nacional,2016,train
-0.18312442,0.34504977,1.3765192,-0.7739254,-1.301293,-0.2896074,-0.7654274,01 Distrito Nacional,2017,train
0.08218378,-0.8170372,0.52094245,-0.6349303,-0.08731225,-1.8868302,-0.21366133,01 Distrito Nacional,2018,train
0.3171458,0.13838294,0.28591236,-0.19969961,-0.56268257,-0.6666714,-0.99119115,01 Distrito Nacional,2019,train
0.20295571,0.12487012,1.5624979,-0.37738663,-0.94836944,-0.108948655,-0.7857551,01 Distrito Nacional,2020,val
0.08370687,-0.08100085,0.83314455,-0.7095147,-0.74158037,-0.8556066,-0.45274657,01 Distrito Nacional,2021,val
0.14812131,0.20323658,1.1098398,-0.7440645,-1.1841722,-0.6008781,-0.67479384,01 Distrito Nacional,2022,test
-0.07517548,0.13384703,0.49606723,-0.41800827,-0.6934614,-0.32975134,-0.68321675,01 Distrito Nacional,2023,test
-0.86722827,-0.90383935,-0.5392641,0.029566294,0.38307387,-0.66049576,-0.04914766,02 Azua,2015,train
0.8911072,-0.06108919,0.9885815,0.24120298,-0.34317195,0.42145753,0.5300832,02 Azua,2016,train
-0.21423154,0.52288806,0.40490934,-0.4186022,-0.7814444,0.11690787,0.9329249,02 Azua,2017,train
-0.30719218,-0.37691683,-0.3313102,-0.06763491,0.01199176,-0.943489,1.0208892,02 Azua,2018,train
-0.13413586,0.12093123,-0.2400734,0.17601354,-0.29594174,0.053775564,0.037160285,02 Azua,2019,train
0.29795557,0.48989934,0.8019432,-0.81648695,-0.8887136,-0.2676839,2.0442865,02 Azua,2020,val
-0.18507807,0.015909672,0.03550926,-0.15888111,-0.20445074,-0.26255074,0.6475208,02 Azua,2021,val
-0.09474998,0.22365102,0.11823772,-0.16453314,-0.5607958,-0.022359252,0.81824934,02 Azua,2022,test
-0.17336103,0.22991659,-0.022721527,0.0021715092,-0.35007578,0.17225875,0.22577888,02 Azua,2023,test
-0.76307225,-0.640203,-0.22806899,0.75324494,0.5810176,-0.20272775,0.14990366,03 Baoruco,2015,train
