,dz1/dt,dz2/dt,dz3/dt,dz4/dt,dz6/dt
1,0.0,0.0,0.0,0.0,0.0
z1,0.0,0.0,0.0,0.0,0.0
z2,0.0,-0.31510934445333477,0.0,0.0,0.0
z3,0.0,0.0,0.0,0.0,0.0
z4,0.0,0.0,0.0,0.0,0.0
z6,0.0,0.0,0.0,0.0,0.0
nino34_anom,2.9477938374962473,-0.7385002182069725,2.6385766117603553,0.0,0.0
neighbor_incidence_lag1,-0.3038854218127788,-1.2647913863848517,-0.6138643962514349,-0.8082812185913818,0.4053386796442257
consecutive_wet_weeks,0.0,0.0,0.0,0.0,0.0
solar_radiation,0.0,0.0,0.0,0.0,0.0
soi_index,2.0434592021220332,-2.002005172053261,1.7280994445757312,-0.9790362592163224,1.3340479353482575
avg_rainfall,0.0,0.0,0.0,0.0,0.0
avg_temp,0.0,0.0,0.0,0.0,0.0
