,dz1/dt,dz2/dt,dz3/dt,dz4/dt,dz5/dt,dz6/dt
1,0.0,0.22628867226687044,0.0,0.0,0.0,0.0
z1,-0.299557640543588,0.0,-0.26779277853048683,-0.24206112736788812,0.0,0.0
z2,0.0,0.0,0.0,-0.2315781645282993,0.0,-0.33583920758077435
z3,0.0,0.0,-0.2978861594650904,-0.20143430448788896,0.0,0.35644631467073495
z4,0.0,0.0,0.0,-0.37281418232186136,0.0,0.0
z5,0.0,0.0,0.0,-0.23300214330186347,-0.2287179934417595,0.0
z6,0.0,0.0,0.0,-0.29569743432238504,-0.27166560851936034,-0.40506428188992394
nino34_anom,2.6351302622306916,-1.0254258112541181,1.0835433827410503,-3.0612521932931522,-0.42719707900400095,0.5745560176595388
neighbor_incidence_lag1,-0.7992964125299886,0.22572109007224106,0.0,1.262280503314558,0.5661861138022105,-0.4319290883201355
consecutive_wet_weeks,0.0,0.0,0.0,0.0,0.0,0.0
solar_radiation,0.0,0.0,0.0,0.0,0.0,0.0
soi_index,1.1555054958587647,-1.4093898165451433,1.1998116181947616,-1.7310353149732363,0.0,0.0
avg_rainfall,0.0,0.0,0.0,0.0,0.0,0.0
avg_temp,0.0,0.0,0.0,0.0,0.0,0.0
