variant,val_r2_mean,val_r2s,n_active
rand_4,-0.9589,"[0.165, -2.241, -1.913, -2.544, 0.343, 0.436]",10
rand_13,-0.9589,"[0.165, -2.241, -1.913, -2.544, 0.343, 0.436]",10
rand_3,-0.9947,"[0.165, -2.241, -1.913, -2.544, 0.129, 0.436]",10
union,-1.0683,"[0.165, -2.241, -1.913, -3.2, 0.343, 0.436]",10
rand_11,-1.0683,"[0.165, -2.241, -1.913, -3.2, 0.343, 0.436]",10
rand_14,-1.0683,"[0.165, -2.241, -1.913, -3.2, 0.343, 0.436]",10
rand_12,-1.0683,"[0.165, -2.241, -1.913, -3.2, 0.343, 0.436]",10
rand_8,-1.0683,"[0.165, -2.241, -1.913, -3.2, 0.343, 0.436]",10
rand_7,-1.0683,"[0.165, -2.241, -1.913, -3.2, 0.343, 0.436]",10
rand_6,-1.0683,"[0.165, -2.241, -1.913, -3.2, 0.343, 0.436]",10
rand_2,-1.0683,"[0.165, -2.241, -1.913, -3.2, 0.343, 0.436]",10
rand_17,-1.1041,"[0.165, -2.241, -1.913, -3.2, 0.129, 0.436]",9
rand_15,-1.1041,"[0.165, -2.241, -1.913, -3.2, 0.129, 0.436]",9
rand_9,-3.1316,"[-0.707, -8.023, -8.296, -2.544, 0.343, 0.436]",9
rand_5,-3.1316,"[-0.707, -8.023, -8.296, -2.544, 0.343, 0.436]",9
rand_16,-3.1316,"[-0.707, -8.023, -8.296, -2.544, 0.343, 0.436]",9
rand_18,-3.1789,"[0.165, -8.023, -8.296, -2.544, -0.812, 0.436]",9
rand_20,-3.241,"[-0.707, -8.023, -8.296, -3.2, 0.343, 0.436]",9
rand_1,-3.2883,"[0.165, -8.023, -8.296, -3.2, -0.812, 0.436]",8
rand_19,-3.3241,"[-0.707, -8.023, -8.296, -2.544, -0.812, 0.436]",9
rand_10,-3.3241,"[-0.707, -8.023, -8.296, -2.544, -0.812, 0.436]",9
