z1,z2,z3,province,year,split
1.5325814,-3.2629313,0.20625976,01 Distrito Nacional,2015,train
-4.1427712,-2.770522,-6.4445744,01 Distrito Nacional,2016,train
-2.4801996,-2.4052954,-3.018586,01 Distrito Nacional,2017,train
-0.16421394,-3.113237,-1.6276742,01 Distrito Nacional,2018,train
0.5530991,-2.814161,-0.182269,01 Distrito Nacional,2019,train
-3.15636,-1.8168918,-4.371508,01 Distrito Nacional,2020,val
-0.9920625,-2.7188623,-2.0467396,01 Distrito Nacional,2021,val
-1.68948,-2.8014112,-2.373957,01 Distrito Nacional,2022,test
-0.33827466,-2.2722273,-0.6494851,01 Distrito Nacional,2023,test
1.5090052,-1.1426963,1.1896557,02 Azua,2015,train
-3.2121933,0.46064976,-4.183783,02 Azua,2016,train
-1.663475,0.38516465,-0.80248094,02 Azua,2017,train
-0.42260933,0.1584922,0.6537201,02 Azua,2018,train
0.5655246,-0.5974143,1.2268374,02 Azua,2019,train
-2.5383809,0.49248978,-2.166985,02 Azua,2020,val
-0.8045141,0.06522475,0.15513486,02 Azua,2021,val
-0.9436316,0.0042203963,0.088762745,02 Azua,2022,test
-0.37492257,-0.019138295,0.62682307,02 Azua,2023,test
1.1709076,0.1738822,2.034029,03 Baoruco,2015,train
-3.1307178,1.8707724,-2.606716,03 Baoruco,2016,train
-1.8683811,1.7495499,0.20366287,03 Baoruco,2017,train
-0.20773946,0.94408846,1.3139722,03 Baoruco,2018,train
0.62702674,0.5344442,2.1152875,03 Baoruco,2019,train
-2.21415,2.1333294,-0.3562789,03 Baoruco,2020,val
-0.80652916,1.2874082,1.0652897,03 Baoruco,2021,val
-0.9532003,1.1488314,1.0396746,03 Baoruco,2022,test
-0.15395437,1.0924877,1.6821451,03 Baoruco,2023,test
2.4412503,-0.6808266,0.5564159,04 Barahona,2015,train
-2.1785967,1.970217,-4.971483,04 Barahona,2016,train
-0.7490493,1.0639795,-1.4827216,04 Barahona,2017,train
0.80294055,0.17953308,-0.45562834,04 Barahona,2018,train
1.444345,-0.16240041,0.249095,04 Barahona,2019,train
-1.3194146,1.6340609,-3.0002902,04 Barahona,2020,val
0.14823337,0.6669028,-0.548196,04 Barahona,2021,val
-0.13815488,0.6982705,-0.86589664,04 Barahona,2022,test
0.4176504,0.7084371,0.19306237,04 Barahona,2023,test
1.398477,1.0754429,2.5087721,05 Dajabón,2015,train
-3.0803869,3.5294814,-2.7642217,05 Dajabón,2016,train
-1.1310347,2.3682983,0.018447675,05 Dajabón,2017,train
-0.104202434,2.034623,1.7188647,05 Dajabón,2018,train
0.8579567,1.2684127,2.2046058,05 Dajabón,2019,train
-1.8313465,3.2332447,-0.18589592,05 Dajabón,2020,val
-0.6196074,2.0875454,1.0811152,05 Dajabón,2021,val
-0.58754045,1.957644,1.0142164,05 Dajabón,2022,test
0.28206125,1.3753936,1.6055834,05 Dajabón,2023,test
1.7106757,-2.5053349,0.5278332,06 Duarte,2015,train
-3.618456,-1.5730976,-5.3466816,06 Duarte,2016,train
-1.6986381,-1.3743973,-2.4278805,06 Duarte,2017,train
-0.022152796,-1.7533537,-0.92913,06 Duarte,2018,train
0.53872,-1.593634,0.45554155,06 Duarte,2019,train
-2.7032542,-1.0638639,-3.462511,06 Duarte,2020,val
-0.960414,-1.4211429,-1.1683421,06 Duarte,2021,val
-0.77493894,-1.3402097,-0.65180236,06 Duarte,2022,test
-0.39102995,-0.7595691,0.31678164,06 Duarte,2023,test
0.7254391,0.7021694,2.6928957,07 Elías Piña,2015,train
-3.1217763,2.0700293,-1.4680768,07 Elías Piña,2016,train
-1.993949,1.6325709,0.41368425,07 Elías Piña,2017,train
-0.6982756,1.4336398,2.0092483,07 Elías Piña,2018,train
0.19184935,0.6969059,2.2623658,07 Elías Piña,2019,train
-2.2923796,1.8911675,0.11507096,07 Elías Piña,2020,val
-1.0920501,1.2480836,1.1474351,07 Elías Piña,2021,val
-1.0785855,0.8750415,1.0423547,07 Elías Piña,2022,test
-0.38502574,0.7843888,1.835933,07 Elías Piña,2023,test
2.4468594,-0.07631139,0.35454124,08 El Seibo,2015,train
-1.7224907,2.6094294,-5.5930123,08 El Seibo,2016,train
-0.38132292,1.7230725,-0.5849973,08 El Seibo,2017,train
0.46300095,0.924318,0.043693166,08 El Seibo,2018,train
1.1976734,0.44638816,0.6587414,08 El Seibo,2019,train
-1.2286228,2.4085646,-2.5087283,08 El Seibo,2020,val
-0.12136774,1.5926567,-0.22541422,08 El Seibo,2021,val
-0.17796116,1.2563434,-0.5368918,08 El Seibo,2022,test
0.4348775,1.0036948,0.38444975,08 El Seibo,2023,test
2.8714964,-2.1044383,-0.09671851,09 Espaillat,2015,train
-2.3167667,-0.056718208,-5.8506117,09 Espaillat,2016,train
-0.52243674,-0.5080837,-2.330868,09 Espaillat,2017,train
0.60646766,-0.6704031,-0.83773315,09 Espaillat,2018,train
1.2721304,-0.8742037,0.18066233,09 Espaillat,2019,train
-1.4666275,0.26052532,-3.4392567,09 Espaillat,2020,val
-0.089034766,-0.61285895,-1.3786829,09 Espaillat,2021,val
0.08355577,-0.50369364,-0.88290393,09 Espaillat,2022,test
0.3160706,-0.13602614,0.24001446,09 Espaillat,2023,test
1.5293003,1.2416167,2.1574063,10 Independencia,2015,train
-3.0057702,3.8240602,-3.1433268,10 Independencia,2016,train
-1.4450008,3.9114792,0.7826081,10 Independencia,2017,train
-0.010836035,2.6586962,1.8659497,10 Independencia,2018,train
0.99973667,1.2792919,2.034817,10 Independencia,2019,train
-1.7806615,3.5070524,-0.37696508,10 Independencia,2020,val
-0.37874955,2.2956665,0.9840719,10 Independencia,2021,val
-0.8553196,2.7947204,0.9501563,10 Independencia,2022,test
0.34949273,2.1063573,1.7557065,10 Independencia,2023,test
2.931747,0.10706259,-0.044176914,11 La Altagracia,2015,train
-0.8419444,2.9844985,-5.26321,11 La Altagracia,2016,train
-0.00518097,1.6931503,-1.2507447,11 La Altagracia,2017,train
0.91964036,0.95096666,-0.3628179,11 La Altagracia,2018,train
1.7949159,0.47881815,0.26002625,11 La Altagracia,2019,train
-0.8630861,2.594615,-2.9281979,11 La Altagracia,2020,val
0.37120634,1.2696568,-0.71171796,11 La Altagracia,2021,val
-0.025925815,1.5103334,-1.0785714,11 La Altagracia,2022,test
0.78155273,1.1197219,0.021503873,11 La Altagracia,2023,test
2.2745135,0.43533635,1.1128677,12 La Romana,2015,train
-1.8024758,2.9595942,-4.3248034,12 La Romana,2016,train
-0.3670076,1.824308,-1.1516804,12 La Romana,2017,train
0.5667181,1.1767066,0.023997858,12 La Romana,2018,train
1.5061473,0.4382567,0.5294686,12 La Romana,2019,train
-1.3664396,2.709783,-2.90151,12 La Romana,2020,val
