,dz1/dt,dz2/dt,dz3/dt
1,-0.26162579026491306,0.0,-0.12754227553528794
z1,-0.34172874080747934,0.1740253981529038,-0.38113647438536064
z2,0.3718646095817273,0.0,0.3839360372000989
z3,-0.4937390915143445,0.17125880935613064,-0.6250303445781101
z1^2,0.0,0.10454178074096793,-0.15809507864398392
z1 z2,0.0,0.0,0.0
z1 z3,-0.19287903013965965,0.07086124504502625,0.0
z2^2,0.0,0.0,0.0
z2 z3,0.2152368695316409,0.0,0.0946065363995047
z3^2,0.0,0.0,0.0
nino34_anom,-0.675810000098077,0.2560858889379541,-0.5211522618809339
neighbor_incidence_lag1,0.0,0.0,0.0
consecutive_wet_weeks,0.0,0.0,0.0
solar_radiation,0.0,0.0,0.0
soi_index,0.0,0.0,0.0
avg_rainfall,-0.09372144089079569,0.1253040167681296,-0.09941187220959606
avg_temp,-0.13564661265088657,0.0,-0.1443801847280483
