z1,z2,z3,province,year,split
-0.7108463,6.0372057,1.4231116,01 Distrito Nacional,2015,train
3.7207055,0.46319276,2.2277608,01 Distrito Nacional,2016,train
2.7776937,1.3953962,1.8555984,01 Distrito Nacional,2017,train
2.8406649,3.3496475,0.7669356,01 Distrito Nacional,2018,train
-0.105868205,4.005424,1.6272076,01 Distrito Nacional,2019,train
3.3172925,0.36708272,1.648417,01 Distrito Nacional,2020,val
2.6524143,2.2915812,1.2321515,01 Distrito Nacional,2021,val
2.2091749,2.100878,1.9566156,01 Distrito Nacional,2022,test
0.9107916,2.6982582,1.5031202,01 Distrito Nacional,2023,test
-2.006141,3.3958683,-0.031954527,02 Azua,2015,train
1.747816,-1.206145,0.95670915,02 Azua,2016,train
0.32796454,-0.3639236,0.67902553,02 Azua,2017,train
-0.5102235,0.17192136,0.45144147,02 Azua,2018,train
-1.3268411,1.7276855,0.49490213,02 Azua,2019,train
0.9154064,-0.8536591,0.902845,02 Azua,2020,val
-0.120878324,0.11000159,0.6496889,02 Azua,2021,val
-0.18943654,0.2068398,0.82114625,02 Azua,2022,test
-0.6042379,0.449471,0.65831405,02 Azua,2023,test
-3.7977014,1.9782795,-0.26734567,03 Baoruco,2015,train
0.66583335,-1.7795445,0.8791055,03 Baoruco,2016,train
-1.147959,-1.6277397,0.73948866,03 Baoruco,2017,train
-1.5133303,-0.43521017,0.09213893,03 Baoruco,2018,train
-2.7235875,0.9389132,0.11209896,03 Baoruco,2019,train
-0.8193983,-1.8643314,0.77361435,03 Baoruco,2020,val
-1.392153,-0.8743872,0.30305266,03 Baoruco,2021,val
-1.3940173,-0.57422966,0.653161,03 Baoruco,2022,test
-2.1800678,-0.13300423,0.2437236,03 Baoruco,2023,test
-0.14844085,2.484156,-3.5886276,04 Barahona,2015,train
3.0912132,-2.176382,-0.376377,04 Barahona,2016,train
1.5538293,-0.91962963,-0.76939213,04 Barahona,2017,train
1.7466291,0.1762636,-2.1617062,04 Barahona,2018,train
0.13649186,0.98471034,-2.0599706,04 Barahona,2019,train
2.1484458,-1.5630704,-0.5384733,04 Barahona,2020,val
1.2470067,-0.47374964,-1.4058903,04 Barahona,2021,val
1.0627755,-0.48249698,-0.83233833,04 Barahona,2022,test
0.16059601,-0.16007541,-1.3217233,04 Barahona,2023,test
-5.3864985,0.858638,-1.3838875,05 Dajabón,2015,train
0.810482,-3.4849076,0.19930103,05 Dajabón,2016,train
-0.51531506,-2.1407332,-0.5260275,05 Dajabón,2017,train
-2.6062512,-1.6469047,-0.78359354,05 Dajabón,2018,train
-2.8924906,0.09948926,-1.0261041,05 Dajabón,2019,train
-0.98235464,-3.2729669,0.04230804,05 Dajabón,2020,val
-1.7657143,-1.7142265,-0.39899498,05 Dajabón,2021,val
-1.4620178,-1.1772624,-0.23055063,05 Dajabón,2022,test
-1.9348396,-0.39269924,-0.8390556,05 Dajabón,2023,test
-1.1095719,4.982071,0.8384808,06 Duarte,2015,train
2.8215952,-0.044381633,1.6507623,06 Duarte,2016,train
2.4558027,0.8136863,0.9986731,06 Duarte,2017,train
2.1765678,2.2405736,0.37449753,06 Duarte,2018,train
-0.4766087,2.6342785,1.1126308,06 Duarte,2019,train
2.22193,0.0868541,1.3067883,06 Duarte,2020,val
1.4885906,1.3934656,1.0738134,06 Duarte,2021,val
0.6503993,1.5403461,1.2575531,06 Duarte,2022,test
-0.1569805,1.3926005,1.067844,06 Duarte,2023,test
-5.480363,1.2907882,0.78754526,07 Elías Piña,2015,train
-0.31762528,-1.9271487,1.0865451,07 Elías Piña,2016,train
-1.5031389,-1.597417,1.0567083,07 Elías Piña,2017,train
-2.970346,-0.8619371,0.7298164,07 Elías Piña,2018,train
-3.0049763,0.5471555,0.6811055,07 Elías Piña,2019,train
-1.3268081,-1.7168341,1.0728657,07 Elías Piña,2020,val
