z1,z2,z3,province,year,split
1.270855,3.8104646,0.57613164,01 Distrito Nacional,2015,train
-2.5517755,2.931898,0.17963783,01 Distrito Nacional,2016,train
-2.4508953,1.1403618,-1.4279422,01 Distrito Nacional,2017,train
-0.74452615,1.9674656,-0.67712605,01 Distrito Nacional,2018,train
0.123261735,2.74473,0.021900758,01 Distrito Nacional,2019,train
-2.3381712,1.2039039,-0.47103244,01 Distrito Nacional,2020,val
-1.5531832,1.5016974,-0.9898931,01 Distrito Nacional,2021,val
-1.9001026,1.6395793,-1.2405897,01 Distrito Nacional,2022,test
-0.81289047,1.6090646,-0.5750051,01 Distrito Nacional,2023,test
2.0748374,2.1260133,0.7039113,02 Azua,2015,train
-1.6650614,0.14896792,0.50411785,02 Azua,2016,train
-1.5329192,-1.2582335,-1.0466466,02 Azua,2017,train
0.044416443,-0.5140637,-1.0786608,02 Azua,2018,train
1.0580455,0.7956418,-0.23699535,02 Azua,2019,train
-1.4034727,-0.5045616,-0.22713213,02 Azua,2020,val
-0.61447936,-0.6733225,-1.0925993,02 Azua,2021,val
-0.76971024,-0.66855466,-1.1679418,02 Azua,2022,test
-0.24496827,-0.42805582,-0.6845225,02 Azua,2023,test
2.530102,0.57152027,-0.0066399723,03 Baoruco,2015,train
-1.0326265,-0.8769206,0.18680634,03 Baoruco,2016,train
-0.834256,-2.3381803,-1.407747,03 Baoruco,2017,train
0.6098907,-1.3424889,-1.1791629,03 Baoruco,2018,train
1.7344006,-0.48686752,-0.75369036,03 Baoruco,2019,train
-0.6740484,-1.9582659,-0.7965816,03 Baoruco,2020,val
-0.14343596,-1.9979742,-1.4509766,03 Baoruco,2021,val
-0.07091889,-1.764905,-1.4536701,03 Baoruco,2022,test
0.64111,-1.462787,-0.9974607,03 Baoruco,2023,test
2.1678658,2.215586,2.3699937,04 Barahona,2015,train
-1.369735,-0.0058050333,1.8062313,04 Barahona,2016,train
-1.1364516,-0.98490614,0.40818524,04 Barahona,2017,train
0.09427248,0.18229106,0.87902373,04 Barahona,2018,train
