z1,z2,z3,province,year,split
3.1912346,-0.7506254,4.155187,01 Distrito Nacional,2015,train
5.733968,-3.1535394,-1.4655901,01 Distrito Nacional,2016,train
3.8696108,-1.2394192,-1.1181475,01 Distrito Nacional,2017,train
3.2020855,-0.9807807,0.80653024,01 Distrito Nacional,2018,train
3.051855,-0.64733505,2.189293,01 Distrito Nacional,2019,train
4.0398045,-2.036911,-1.7562264,01 Distrito Nacional,2020,val
3.474666,-1.0805784,0.19177645,01 Distrito Nacional,2021,val
-0.22023004,0.100771934,3.0959768,02 Azua,2015,train
1.9925617,-1.8298894,-3.0491867,02 Azua,2016,train
0.3831235,-0.046588436,-2.2462702,02 Azua,2017,train
-0.1973983,0.7554952,-0.5205091,02 Azua,2018,train
-0.29790354,0.94750535,1.1786495,02 Azua,2019,train
1.1390488,-0.8304702,-2.6361842,02 Azua,2020,val
0.29656714,0.54122317,-0.9949392,02 Azua,2021,val
-2.0527506,1.1141663,2.397433,03 Baoruco,2015,train
-0.09220865,-1.0414128,-3.7314458,03 Baoruco,2016,train
-1.0986025,0.59107554,-2.7922745,03 Baoruco,2017,train
-1.4441693,1.1761086,-0.36766633,03 Baoruco,2018,train
-2.027061,1.6485931,1.1790761,03 Baoruco,2019,train
-1.2229414,0.14509007,-3.258031,03 Baoruco,2020,val
-1.2803816,1.132716,-1.2473122,03 Baoruco,2021,val
-0.9119402,-2.0453517,3.5639968,04 Barahona,2015,train
0.50540274,-3.4960005,-2.9500391,04 Barahona,2016,train
-0.27777457,-1.481559,-1.8617259,04 Barahona,2017,train
-0.317609,-1.5668572,0.23089838,04 Barahona,2018,train
-0.59590745,-1.5791788,1.6964523,04 Barahona,2019,train
-0.1563927,-2.3504255,-2.3632536,04 Barahona,2020,val
-0.37342817,-1.2521155,-0.5970485,04 Barahona,2021,val
-3.5089335,1.0661165,2.3354208,05 Dajabón,2015,train
-1.7415138,-1.7953918,-4.9508443,05 Dajabón,2016,train
-1.8982416,-0.41965818,-2.855456,05 Dajabón,2017,train
-2.674508,0.8602663,-0.5462702,05 Dajabón,2018,train
-2.9373202,1.1364903,1.2318258,05 Dajabón,2019,train
-2.3904023,-0.45836788,-3.5122828,05 Dajabón,2020,val
-2.2177386,0.5600574,-1.5120505,05 Dajabón,2021,val
1.5654569,-0.16162796,3.5154307,06 Duarte,2015,train
4.150425,-2.036751,-2.2663953,06 Duarte,2016,train
2.387475,-0.7716267,-1.4222943,06 Duarte,2017,train
1.7388293,-0.37391388,-0.002596967,06 Duarte,2018,train
1.348979,0.36175182,1.149472,06 Duarte,2019,train
2.8402882,-1.1303561,-2.0664573,06 Duarte,2020,val
1.9985763,-0.18350363,-0.63395554,06 Duarte,2021,val
-2.4669309,2.25768,1.6499128,07 Elías Piña,2015,train
-0.6186011,-0.18293566,-3.8420599,07 Elías Piña,2016,train
-0.9482633,1.0750709,-2.947202,07 Elías Piña,2017,train
-1.7605488,2.1044602,-0.72100526,07 Elías Piña,2018,train
-1.8356355,2.280391,0.43389812,07 Elías Piña,2019,train
-1.062867,0.76117027,-3.0289433,07 Elías Piña,2020,val
-1.1857715,1.5747634,-1.4550095,07 Elías Piña,2021,val
-1.6335944,-2.6116533,3.1538014,08 El Seibo,2015,train
0.07756372,-4.7191343,-3.0095015,08 El Seibo,2016,train
-1.322771,-1.2862267,-1.9823016,08 El Seibo,2017,train
-1.0584528,-1.1163987,-0.35253873,08 El Seibo,2018,train
-1.4521179,-1.1960281,1.4551736,08 El Seibo,2019,train
-1.2415353,-2.2716985,-2.8860924,08 El Seibo,2020,val
-1.36696,-1.0993189,-1.6117613,08 El Seibo,2021,val
0.8366686,-2.1772144,4.142844,09 Espaillat,2015,train
2.9528995,-3.5483613,-1.9712738,09 Espaillat,2016,train
1.5039065,-1.644009,-0.9302182,09 Espaillat,2017,train
0.7889009,-1.1931655,0.13286072,09 Espaillat,2018,train
0.354114,-1.083427,1.5703396,09 Espaillat,2019,train
1.4995962,-2.0627353,-1.7085592,09 Espaillat,2020,val
1.2480563,-1.1969453,-0.3623383,09 Espaillat,2021,val
-3.5879087,0.29702336,2.3978908,10 Independencia,2015,train
-1.9985145,-2.1272273,-5.0504966,10 Independencia,2016,train
-3.5012784,0.097845286,-4.0201845,10 Independencia,2017,train
-3.4894366,0.7566433,-0.82519615,10 Independencia,2018,train
-2.9336252,0.80915403,1.3226434,10 Independencia,2019,train
-2.539341,-0.53893113,-3.661852,10 Independencia,2020,val
-2.4803357,0.2912517,-1.5140642,10 Independencia,2021,val
-1.8405398,-3.734296,3.5273378,11 La Altagracia,2015,train
-0.8535789,-5.624859,-2.394178,11 La Altagracia,2016,train
-1.1613135,-2.0756505,-1.5208335,11 La Altagracia,2017,train
-1.175177,-1.928381,0.088348545,11 La Altagracia,2018,train
-1.48857,-2.2370305,1.9817511,11 La Altagracia,2019,train
-1.2962995,-3.1155019,-2.6349406,11 La Altagracia,2020,val
-1.0661871,-1.9575477,-0.6050726,11 La Altagracia,2021,val
-2.4854836,-1.9306566,3.3569503,12 La Romana,2015,train
-0.9311509,-3.74792,-3.308586,12 La Romana,2016,train
-1.263684,-1.7366835,-2.0276215,12 La Romana,2017,train
-1.390528,-1.3710313,-0.2970768,12 La Romana,2018,train
-1.490327,-1.6867571,1.7864424,12 La Romana,2019,train
-1.3182814,-2.7303164,-3.12529,12 La Romana,2020,val
-1.0311068,-1.4293675,-0.8678201,12 La Romana,2021,val
0.8904492,1.7001673,3.1516109,13 La Vega,2015,train
3.4454932,-0.351552,-3.0442288,13 La Vega,2016,train
2.38873,0.11387047,-1.4284664,13 La Vega,2017,train
1.7591352,0.5693772,-0.20550016,13 La Vega,2018,train
1.136358,1.5360777,0.8666446,13 La Vega,2019,train
2.5952244,-0.15866469,-2.208265,13 La Vega,2020,val
1.913314,0.60717964,-0.8171586,13 La Vega,2021,val
1.298862,-2.0213172,3.6047645,14 María Trinidad Sánchez,2015,train
3.5325346,-3.6180463,-1.460518,14 María Trinidad Sánchez,2016,train
1.8948225,-2.1809282,-0.96786135,14 María Trinidad Sánchez,2017,train
1.6209325,-1.9473801,0.69935614,14 María Trinidad Sánchez,2018,train
1.4619819,-2.0522878,2.1671982,14 María Trinidad Sánchez,2019,train
2.6209245,-3.074936,-1.0974104,14 María Trinidad Sánchez,2020,val
1.7425007,-1.7999175,-0.00084613264,14 María Trinidad Sánchez,2021,val
-5.0359983,-3.0499368,4.5443606,15 Monte Cristi,2015,train
-3.6608162,-4.7429247,-3.9521039,15 Monte Cristi,2016,train
-2.7879243,-2.91674,-2.206331,15 Monte Cristi,2017,train
-3.6298008,-2.3559263,0.3075688,15 Monte Cristi,2018,train
-3.779676,-2.1715605,2.4417205,15 Monte Cristi,2019,train
-3.365604,-3.2154977,-3.0927706,15 Monte Cristi,2020,val
-3.0844994,-2.2253888,-1.214088,15 Monte Cristi,2021,val
-5.5943537,-1.3698822,3.9991264,16 Pedernales,2015,train
-3.5346828,-3.163784,-5.055509,16 Pedernales,2016,train
-4.02516,-1.043065,-3.4974864,16 Pedernales,2017,train
-4.5245423,-0.0089889765,-0.6311061,16 Pedernales,2018,train
-3.9974804,-0.03026934,1.7754253,16 Pedernales,2019,train
-3.218183,-2.0471144,-3.6844232,16 Pedernales,2020,val
-3.9206877,-0.5096235,-2.111731,16 Pedernales,2021,val
-0.20231158,-0.9413798,3.2836614,17 Peravia,2015,train
2.0703173,-2.2600439,-2.4270704,17 Peravia,2016,train
0.1006388,-0.56998944,-1.8305409,17 Peravia,2017,train
-0.23433158,-0.24248427,-0.307774,17 Peravia,2018,train
-0.49853247,-0.21698019,1.447075,17 Peravia,2019,train
0.2676354,-1.3724825,-2.9594564,17 Peravia,2020,val
-0.044359833,-0.34786662,-0.70744807,17 Peravia,2021,val
-0.83222806,-3.2294898,4.4842825,18 Puerto Plata,2015,train
1.2895622,-4.572651,-2.0646179,18 Puerto Plata,2016,train
0.3633442,-2.3555174,-0.9477922,18 Puerto Plata,2017,train
-0.19481876,-2.0258782,0.3408507,18 Puerto Plata,2018,train
-0.21290588,-2.2705286,2.2190483,18 Puerto Plata,2019,train
0.6182113,-3.301623,-1.5474092,18 Puerto Plata,2020,val
0.27585298,-1.9890525,-0.16200599,18 Puerto Plata,2021,val
0.6469004,0.36268178,3.414154,19 Hermanas Mirabal,2015,train
2.903019,-1.2136883,-3.0624802,19 Hermanas Mirabal,2016,train
1.8013104,-0.58409345,-1.4419094,19 Hermanas Mirabal,2017,train
1.3738087,-0.22632632,-0.15411663,19 Hermanas Mirabal,2018,train
0.83518034,0.58230925,0.8977659,19 Hermanas Mirabal,2019,train
1.7997277,-0.7645407,-2.3004036,19 Hermanas Mirabal,2020,val
1.1543925,0.015465125,-0.9116223,19 Hermanas Mirabal,2021,val
0.33700982,-2.7663965,4.035369,20 Samaná,2015,train
2.6202517,-4.3325467,-1.5634867,20 Samaná,2016,train
1.3926296,-2.2547476,-0.9158482,20 Samaná,2017,train
0.94572103,-1.8327312,0.4670519,20 Samaná,2018,train
0.7852394,-2.1357894,1.937208,20 Samaná,2019,train
1.4067919,-2.9758716,-1.7515681,20 Samaná,2020,val
0.69221157,-1.5038066,-0.3649447,20 Samaná,2021,val
2.0720458,-0.8013884,3.6596982,21 San Cristóbal,2015,train
4.685325,-2.8704796,-1.7905538,21 San Cristóbal,2016,train
2.7205906,-1.4162387,-1.0795207,21 San Cristóbal,2017,train
2.467846,-1.2947148,0.58545744,21 San Cristóbal,2018,train
2.474496,-1.2106874,2.1541607,21 San Cristóbal,2019,train
3.4408045,-2.3098593,-1.8489944,21 San Cristóbal,2020,val
2.5841727,-1.1099102,0.029466607,21 San Cristóbal,2021,val
0.45119023,1.6321447,1.9323355,22 San Juan,2015,train
2.5195522,-0.45192048,-2.959253,22 San Juan,2016,train
0.86915433,1.4763148,-2.2834175,22 San Juan,2017,train
0.25241953,1.9874192,-0.6683235,22 San Juan,2018,train
0.26441574,2.1769536,0.57262284,22 San Juan,2019,train
1.3752003,0.9165342,-2.5709543,22 San Juan,2020,val
0.7262226,1.2998142,-1.182898,22 San Juan,2021,val
-1.6038417,-2.6018128,3.7531178,23 San Pedro de Macorís,2015,train
0.49987033,-4.488335,-2.7248936,23 San Pedro de Macorís,2016,train
-0.6619457,-1.480432,-1.9652903,23 San Pedro de Macorís,2017,train
-0.8228934,-1.1330671,-0.14981756,23 San Pedro de Macorís,2018,train
-1.3188509,-1.0597341,1.7375748,23 San Pedro de Macorís,2019,train
-1.0403947,-2.2700984,-3.2830744,23 San Pedro de Macorís,2020,val
-0.77011454,-1.174766,-1.0403103,23 San Pedro de Macorís,2021,val
1.4846709,0.41905746,2.9901817,24 Sánchez Ramírez,2015,train
3.6946802,-1.2795637,-2.6086206,24 Sánchez Ramírez,2016,train
2.2322254,-0.59000397,-1.2983191,24 Sánchez Ramírez,2017,train
1.6303109,-0.107610375,-0.09712972,24 Sánchez Ramírez,2018,train
1.4739819,0.36514762,1.1112007,24 Sánchez Ramírez,2019,train
2.4037242,-0.93614495,-2.3129444,24 Sánchez Ramírez,2020,val
1.4799987,0.1671057,-0.8613224,24 Sánchez Ramírez,2021,val
1.5894214,1.9104785,3.9087787,25 Santiago,2015,train
4.5911093,-0.51512086,-3.4493823,25 Santiago,2016,train
3.1719732,0.34957734,-1.31888,25 Santiago,2017,train
2.478911,1.037276,-0.06097479,25 Santiago,2018,train
1.7999251,2.2322295,1.2362691,25 Santiago,2019,train
3.951809,0.026181012,-2.1525655,25 Santiago,2020,val
3.2167244,0.6470938,-0.49857235,25 Santiago,2021,val
-2.2256541,1.955753,2.4251678,26 Santiago Rodríguez,2015,train
-0.066259235,-0.65246207,-4.380201,26 Santiago Rodríguez,2016,train
-0.6025986,0.47099736,-2.429732,26 Santiago Rodríguez,2017,train
-1.7534224,1.6774371,-0.9117215,26 Santiago Rodríguez,2018,train
-1.8671006,1.8919469,0.93003976,26 Santiago Rodríguez,2019,train
-1.0357066,0.7611581,-2.640405,26 Santiago Rodríguez,2020,val
-1.2140832,1.2404008,-1.374104,26 Santiago Rodríguez,2021,val
-2.316545,1.7912734,2.9968643,27 Valverde,2015,train
0.23218225,-1.0440116,-4.7679577,27 Valverde,2016,train
-0.3337077,0.41212747,-1.9857167,27 Valverde,2017,train
-1.2794795,1.2058135,-0.55123925,27 Valverde,2018,train
-1.6988369,1.7966751,1.1027901,27 Valverde,2019,train
-0.8722439,0.30614784,-3.0035388,27 Valverde,2020,val
-0.892735,1.0214067,-1.2716634,27 Valverde,2021,val
1.1812791,0.5791402,2.897039,28 Monseñor Nouel,2015,train
3.4474673,-1.0568922,-2.6915927,28 Monseñor Nouel,2016,train
2.1534922,-0.0761702,-1.4441181,28 Monseñor Nouel,2017,train
1.2916269,0.18003318,-0.36849764,28 Monseñor Nouel,2018,train
1.3145678,0.66780806,1.018194,28 Monseñor Nouel,2019,train
2.42246,-0.6608828,-2.0248258,28 Monseñor Nouel,2020,val
1.7361132,0.24117562,-0.7288645,28 Monseñor Nouel,2021,val
