z1,z2,province,year,split
-0.18448901,28.561937,01 Distrito Nacional,2015,train
-0.28067482,30.129135,01 Distrito Nacional,2016,train
-0.23169124,29.33103,01 Distrito Nacional,2017,train
-0.29847884,30.41922,01 Distrito Nacional,2018,train
-0.16995597,28.325148,01 Distrito Nacional,2019,train
-0.24680316,29.57725,01 Distrito Nacional,2020,val
-0.28431177,30.188393,01 Distrito Nacional,2021,val
-0.044496894,26.281006,02 Azua,2015,train
-0.1333046,27.727982,02 Azua,2016,train
0.024671078,25.154041,02 Azua,2017,train
0.036605835,24.959585,02 Azua,2018,train
0.04933119,24.752241,02 Azua,2019,train
-0.012236476,25.755404,02 Azua,2020,val
-0.034016013,26.110252,02 Azua,2021,val
0.2838881,20.930536,03 Baoruco,2015,train
0.14012897,23.27286,03 Baoruco,2016,train
0.37190747,19.496422,03 Baoruco,2017,train
0.3095703,20.51209,03 Baoruco,2018,train
0.39680552,19.090738,03 Baoruco,2019,train
0.32126462,20.32156,03 Baoruco,2020,val
0.3346796,20.102991,03 Baoruco,2021,val
0.07589698,24.319393,04 Barahona,2015,train
0.0044698715,25.483183,04 Barahona,2016,train
0.079078555,24.267565,04 Barahona,2017,train
-0.007208109,25.673456,04 Barahona,2018,train
0.07719135,24.298302,04 Barahona,2019,train
0.04065156,24.893667,04 Barahona,2020,val
0.043776035,24.84276,04 Barahona,2021,val
0.5428,16.711994,05 Dajabón,2015,train
0.41280878,18.830006,05 Dajabón,2016,train
0.49777466,17.445635,05 Dajabón,2017,train
0.5817835,16.076838,05 Dajabón,2018,train
0.61590654,15.520839,05 Dajabón,2019,train
0.6288333,15.310257,05 Dajabón,2020,val
0.5071251,17.293282,05 Dajabón,2021,val
-0.4283359,32.53501,06 Duarte,2015,train
-0.49527478,33.625675,06 Duarte,2016,train
-0.46513927,33.134663,06 Duarte,2017,train
-0.5440084,34.41971,06 Duarte,2018,train
-0.38421988,31.81621,06 Duarte,2019,train
-0.4491135,32.873554,06 Duarte,2020,val
-0.47090244,33.22857,06 Duarte,2021,val
0.51260036,17.20407,07 Elías Piña,2015,train
0.2980517,20.699793,07 Elías Piña,2016,train
0.44298565,18.338339,07 Elías Piña,2017,train
0.4963891,17.468218,07 Elías Piña,2018,train
0.47676277,17.787977,07 Elías Piña,2019,train
0.45586205,18.128546,07 Elías Piña,2020,val
0.35552382,19.763386,07 Elías Piña,2021,val
0.21144724,22.110836,08 El Seibo,2015,train
0.08248544,24.212053,08 El Seibo,2016,train
0.34699512,19.902348,08 El Seibo,2017,train
0.24333024,21.591366,08 El Seibo,2018,train
0.28259563,20.951597,08 El Seibo,2019,train
0.25256646,21.440882,08 El Seibo,2020,val
0.2985816,20.691156,08 El Seibo,2021,val
-0.2750231,30.037035,09 Espaillat,2015,train
-0.3220142,30.80269,09 Espaillat,2016,train
-0.29751873,30.403572,09 Espaillat,2017,train
-0.2992177,30.431253,09 Espaillat,2018,train
-0.18810904,28.620916,09 Espaillat,2019,train
-0.22262919,29.183384,09 Espaillat,2020,val
-0.28400636,30.183414,09 Espaillat,2021,val
0.52833676,16.947647,10 Independencia,2015,train
0.4000957,19.037136,10 Independencia,2016,train
0.6651382,14.718727,10 Independencia,2017,train
0.65121377,14.945611,10 Independencia,2018,train
0.6113008,15.595882,10 Independencia,2019,train
0.5865595,15.999035,10 Independencia,2020,val
0.5488672,16.613167,10 Independencia,2021,val
0.30902386,20.520987,11 La Altagracia,2015,train
0.24017549,21.64277,11 La Altagracia,2016,train
0.3041675,20.600134,11 La Altagracia,2017,train
0.23660338,21.70097,11 La Altagracia,2018,train
0.30610824,20.5685,11 La Altagracia,2019,train
0.2837504,20.93279,11 La Altagracia,2020,val
0.2707994,21.143808,11 La Altagracia,2021,val
0.35966325,19.695906,12 La Romana,2015,train
0.25279093,21.437225,12 La Romana,2016,train
0.3507868,19.840557,12 La Romana,2017,train
0.25024986,21.478626,12 La Romana,2018,train
0.3159263,20.408525,12 La Romana,2019,train
0.277151,21.040316,12 La Romana,2020,val
0.27177215,21.127956,12 La Romana,2021,val
-0.27735484,30.075037,13 La Vega,2015,train
-0.36372745,31.482344,13 La Vega,2016,train
-0.44302893,32.77442,13 La Vega,2017,train
-0.43108714,32.57985,13 La Vega,2018,train
-0.30197048,30.476103,13 La Vega,2019,train
-0.3892182,31.89767,13 La Vega,2020,val
-0.41189778,32.2672,13 La Vega,2021,val
-0.3571558,31.375244,14 María Trinidad Sánchez,2015,train
-0.42529643,32.48549,14 María Trinidad Sánchez,2016,train
-0.40345943,32.12969,14 María Trinidad Sánchez,2017,train
-0.49191415,33.570908,14 María Trinidad Sánchez,2018,train
-0.3802396,31.751356,14 María Trinidad Sánchez,2019,train
-0.4380442,32.69319,14 María Trinidad Sánchez,2020,val
-0.44296014,32.773293,14 María Trinidad Sánchez,2021,val
0.6539191,14.901486,15 Monte Cristi,2015,train
0.59068024,15.931889,15 Monte Cristi,2016,train
0.5523072,16.557104,15 Monte Cristi,2017,train
