z1,z2,z3,province,year,split
-1.7420148,-0.40214342,2.464813,01 Distrito Nacional,2015,train
3.0033,-1.096999,5.553311,01 Distrito Nacional,2016,train
1.7901369,-2.8002393,2.0861454,01 Distrito Nacional,2017,train
-0.3262068,-1.600073,1.6870915,01 Distrito Nacional,2018,train
-1.1929568,-0.9215806,2.038671,01 Distrito Nacional,2019,train
2.9460628,-1.7970823,2.7934725,01 Distrito Nacional,2020,val
0.37459105,-2.0926323,1.6923959,01 Distrito Nacional,2021,val
-1.517968,0.39620966,0.68526876,02 Azua,2015,train
4.5026493,-0.46009362,1.5792143,02 Azua,2016,train
2.956904,-1.8946524,-1.6299081,02 Azua,2017,train
0.1277931,-0.92522323,-1.2142812,02 Azua,2018,train
-1.2267959,-0.2666494,-0.3089457,02 Azua,2019,train
3.492399,-1.1346482,-0.09397036,02 Azua,2020,val
0.8772693,-1.4332292,-1.1611242,02 Azua,2021,val
-1.7351352,0.70146847,-0.67917037,03 Baoruco,2015,train
4.6902914,-0.46394983,-0.56443524,03 Baoruco,2016,train
2.7584646,-1.64182,-3.0385983,03 Baoruco,2017,train
-0.19156902,-0.59492695,-1.950011,03 Baoruco,2018,train
-1.4573857,0.16003661,-1.4695115,03 Baoruco,2019,train
3.5370748,-1.1553925,-2.7432816,03 Baoruco,2020,val
0.83894193,-1.1650219,-2.5679698,03 Baoruco,2021,val
-0.7299038,1.3629086,1.1364225,04 Barahona,2015,train
5.3085117,1.1369956,1.4706194,04 Barahona,2016,train
3.1395988,-0.27606004,-0.5986954,04 Barahona,2017,train
0.8261856,0.23747326,0.039668635,04 Barahona,2018,train
-0.0010041744,0.8000678,0.6952766,04 Barahona,2019,train
4.0614,0.63484675,0.42916864,04 Barahona,2020,val
1.5701749,0.0003773421,-0.40355667,04 Barahona,2021,val
-1.7613411,1.2516948,-1.7329816,05 Dajabón,2015,train
6.2013144,0.25369692,-2.0747926,05 Dajabón,2016,train
3.5365438,-0.65060496,-3.0353293,05 Dajabón,2017,train
0.14523292,0.039692476,-2.8457394,05 Dajabón,2018,train
-1.1091818,0.81577826,-1.8364711,05 Dajabón,2019,train
4.054254,-0.20200023,-3.251498,05 Dajabón,2020,val
1.4417933,-0.4074824,-2.9227006,05 Dajabón,2021,val
-1.7163898,-0.19251123,1.3526226,06 Duarte,2015,train
3.488853,-1.2668656,3.6105072,06 Duarte,2016,train
2.4085007,-2.3095999,0.30732384,06 Duarte,2017,train
0.090896845,-1.1870594,0.24970438,06 Duarte,2018,train
-1.1422209,-0.8063757,0.46976697,06 Duarte,2019,train
2.954007,-1.5897382,1.6666964,06 Duarte,2020,val
0.77650476,-1.9368377,0.30707985,06 Duarte,2021,val
-2.1749704,0.18973215,-2.0911164,07 Elías Piña,2015,train
4.256214,-1.4121652,-2.5116248,07 Elías Piña,2016,train
2.6035025,-2.1844816,-3.4936807,07 Elías Piña,2017,train
-0.5350941,-1.1498643,-3.0627656,07 Elías Piña,2018,train
-1.4942704,-0.48259556,-2.2454143,07 Elías Piña,2019,train
2.9808507,-1.6476842,-3.1583545,07 Elías Piña,2020,val
0.8017894,-1.6388538,-2.9990106,07 Elías Piña,2021,val
-0.24564655,1.6394789,0.8558656,08 El Seibo,2015,train
5.936646,2.0215578,1.7758701,08 El Seibo,2016,train
3.1178312,-0.17539714,-1.7954235,08 El Seibo,2017,train
1.0109434,0.23692681,-0.7694112,08 El Seibo,2018,train
-0.12166555,0.9197576,-0.0006649345,08 El Seibo,2019,train
4.5932603,0.74011856,-0.58013475,08 El Seibo,2020,val
2.4684534,0.02768375,-1.6375955,08 El Seibo,2021,val
-0.938784,0.8905425,2.0308406,09 Espaillat,2015,train
4.0470567,0.49565232,3.4747448,09 Espaillat,2016,train
2.321795,-0.79088086,0.47872505,09 Espaillat,2017,train
0.51895416,-0.25149742,0.21043941,09 Espaillat,2018,train
-0.39546233,0.26005328,0.7891208,09 Espaillat,2019,train
3.2037992,-0.038512602,1.3818581,09 Espaillat,2020,val
1.2056284,-0.52489144,0.46880248,09 Espaillat,2021,val
-1.2863599,1.643299,-1.3415197,10 Independencia,2015,train
6.492491,0.6124694,-1.7862344,10 Independencia,2016,train
4.0979,-0.49129307,-5.181625,10 Independencia,2017,train
0.30282223,0.38862544,-3.5150557,10 Independencia,2018,train
-0.9672797,0.99124324,-1.5250492,10 Independencia,2019,train
4.1941185,-0.013060585,-3.3351247,10 Independencia,2020,val
1.589364,-0.18744475,-3.0662694,10 Independencia,2021,val
0.35920578,2.2945452,1.4645795,11 La Altagracia,2015,train
5.804665,2.8175566,1.8343176,11 La Altagracia,2016,train
3.1213236,0.36727387,-0.9562274,11 La Altagracia,2017,train
1.1305044,0.5495288,-0.443248,11 La Altagracia,2018,train
0.31937128,1.2888727,0.46691146,11 La Altagracia,2019,train
4.5956125,1.2817833,-0.18432584,11 La Altagracia,2020,val
1.9195764,0.53195804,-0.45372292,11 La Altagracia,2021,val
-0.65078926,1.8256764,0.375941,12 La Romana,2015,train
5.3815284,1.751992,0.76100755,12 La Romana,2016,train
3.5300136,0.046061084,-1.4215906,12 La Romana,2017,train
1.1616586,0.4761294,-0.8132186,12 La Romana,2018,train
0.05067599,1.1119401,0.28328213,12 La Romana,2019,train
4.9086294,1.1216427,-0.35388735,12 La Romana,2020,val
1.8329196,0.3109237,-0.6949047,12 La Romana,2021,val
-2.251078,-0.7316993,0.4777574,13 La Vega,2015,train
3.3931856,-2.9708862,1.2895598,13 La Vega,2016,train
1.4916329,-2.8469756,0.12882367,13 La Vega,2017,train
-0.31262833,-1.8116862,-0.10293162,13 La Vega,2018,train
-1.5103331,-1.3326423,-0.21836913,13 La Vega,2019,train
2.4914978,-2.4336724,0.4310633,13 La Vega,2020,val
0.43826485,-2.393475,-0.23964056,13 La Vega,2021,val
-0.77193785,0.6486176,2.0485053,14 María Trinidad Sánchez,2015,train
3.7655609,0.34076333,3.8576527,14 María Trinidad Sánchez,2016,train
3.0153239,-0.826139,0.387936,14 María Trinidad Sánchez,2017,train
0.66126776,-0.17217481,0.742414,14 María Trinidad Sánchez,2018,train
-0.031192198,0.38706422,1.8346951,14 María Trinidad Sánchez,2019,train
3.2703967,0.23501645,2.658119,14 María Trinidad Sánchez,2020,val
1.3746954,-0.34859812,0.99078095,14 María Trinidad Sánchez,2021,val
-0.32914197,3.5213926,-0.17044365,15 Monte Cristi,2015,train
6.534792,3.2323472,-0.51993847,15 Monte Cristi,2016,train
4.3826756,1.383019,-1.6937318,15 Monte Cristi,2017,train
1.6293173,1.9199476,-1.5101079,15 Monte Cristi,2018,train
0.49738312,2.363412,-0.6052916,15 Monte Cristi,2019,train
5.2284856,2.0768163,-1.6502177,15 Monte Cristi,2020,val
2.9151342,1.5198236,-1.7381927,15 Monte Cristi,2021,val
-1.1249291,3.2716377,-1.4162661,16 Pedernales,2015,train
6.7973003,2.074429,-2.2645001,16 Pedernales,2016,train
4.5679603,0.6528255,-4.5980315,16 Pedernales,2017,train
0.97861487,1.3732092,-3.7416325,16 Pedernales,2018,train
-0.41283423,1.841496,-1.8402014,16 Pedernales,2019,train
5.1331296,1.3182852,-2.6648674,16 Pedernales,2020,val
2.7465696,0.78505135,-4.0810685,16 Pedernales,2021,val
-1.1662666,0.7227056,0.9519031,17 Peravia,2015,train
3.814281,0.18664508,2.472923,17 Peravia,2016,train
2.7576895,-1.1659333,-1.2074002,17 Peravia,2017,train
0.4330289,-0.3387188,-0.62061274,17 Peravia,2018,train
-0.7041637,0.2758957,0.14675799,17 Peravia,2019,train
4.1654215,-0.3576469,-0.21972263,17 Peravia,2020,val
1.0963278,-0.5896088,-0.7278744,17 Peravia,2021,val
-0.45263743,1.9113555,2.0235465,18 Puerto Plata,2015,train
4.634703,1.856878,2.9277108,18 Puerto Plata,2016,train
2.9227967,-0.037470534,0.04767643,18 Puerto Plata,2017,train
0.942905,0.26498556,0.08512169,18 Puerto Plata,2018,train
0.09079015,0.9885725,1.1800605,18 Puerto Plata,2019,train
3.709662,1.08097,1.6195929,18 Puerto Plata,2020,val
1.5956273,0.24249311,0.47569486,18 Puerto Plata,2021,val
-1.7971963,-0.057062447,0.98544836,19 Hermanas Mirabal,2015,train
4.0970116,-1.5953906,1.8785875,19 Hermanas Mirabal,2016,train
2.381057,-1.999404,-0.034912348,19 Hermanas Mirabal,2017,train
