z1,z2,z3,z4,z5,province,year,split
-0.94798815,-0.16674572,-1.4538976,-0.10990208,-1.2799941,01 Distrito Nacional,2015,train
1.088279,1.0359331,-1.4445212,-0.80840707,0.04606754,01 Distrito Nacional,2016,train
0.903356,0.49949288,-1.3066956,0.58642685,0.5483961,01 Distrito Nacional,2017,train
-0.060394343,-0.41923815,-1.3584056,1.5426023,-0.3571163,01 Distrito Nacional,2018,train
-0.00096567767,0.24419309,-0.5884775,0.015070394,-0.8981987,01 Distrito Nacional,2019,train
1.012498,0.7308996,-1.4215367,0.0048958133,0.50447977,01 Distrito Nacional,2020,val
0.49806187,0.06813344,-1.4825724,1.0727235,0.13997728,01 Distrito Nacional,2021,val
-1.188069,-0.08501799,-0.5473967,-0.31535763,-1.077476,02 Azua,2015,train
0.9540547,1.2451249,-0.199811,-0.96773463,0.39499182,02 Azua,2016,train
0.76513743,0.8444443,0.20216343,0.41784787,0.9489637,02 Azua,2017,train
-0.71358883,-0.014307818,-0.09272985,1.0310515,0.21812902,02 Azua,2018,train
-0.4341661,0.58004665,0.58274007,-0.23483217,-0.67874193,02 Azua,2019,train
0.7765477,0.69276947,-0.09429925,0.25306183,0.89159805,02 Azua,2020,val
-0.16847424,0.42191675,-0.41736895,0.78512084,0.5461827,02 Azua,2021,val
-1.5905863,-0.23210223,0.09186386,-0.8827313,-0.33341953,03 Baoruco,2015,train
0.48527473,1.1096655,0.20601001,-1.5935414,1.0791491,03 Baoruco,2016,train
-0.1636022,0.44997802,0.4458914,-0.10405115,2.0439627,03 Baoruco,2017,train
-0.9012546,-0.14901578,0.46762955,0.29743794,0.92155606,03 Baoruco,2018,train
-0.8417423,0.35400572,1.2678114,-0.94102293,0.14040944,03 Baoruco,2019,train
-0.074773915,0.7097998,0.38038376,-0.9981952,1.7167374,03 Baoruco,2020,val
-0.6714727,-0.044152122,0.31195775,0.42666018,1.5687811,03 Baoruco,2021,val
-0.780399,-0.98148036,-0.32361922,-0.5600763,-1.1386275,04 Barahona,2015,train
1.50411,0.41611105,0.119378455,-1.4140661,0.612164,04 Barahona,2016,train
0.8583435,-0.13591893,-0.09221809,0.048717294,0.6612587,04 Barahona,2017,train
0.12700726,-1.1700305,-0.282179,0.82521343,-0.1781728,04 Barahona,2018,train
0.19251665,-0.37889582,0.6998197,-0.47876024,-0.8922206,04 Barahona,2019,train
1.0412036,-0.005368731,-0.1281986,-0.63510543,0.6677141,04 Barahona,2020,val
0.49269855,-0.678211,-0.2697459,0.58878535,0.3372824,04 Barahona,2021,val
-1.8763399,-0.6856982,0.8607714,-1.6128424,0.38480842,05 Dajabón,2015,train
0.8438455,0.6833948,1.127414,-2.4794734,2.1062667,05 Dajabón,2016,train
0.5127928,-0.21813005,1.334854,-0.27804536,1.9201635,05 Dajabón,2017,train
-1.370851,-1.0941067,0.42529863,0.12157081,1.8989925,05 Dajabón,2018,train
-0.8377006,-0.05060656,1.8117391,-1.447634,0.56165767,05 Dajabón,2019,train
-0.043718457,-0.1555646,0.8597454,-1.0112118,2.3366547,05 Dajabón,2020,val
-0.6130875,-0.2671448,0.57568884,-0.36165527,1.6598305,05 Dajabón,2021,val
-1.0618209,0.4934274,-0.58543044,-0.13393763,-2.0294604,06 Duarte,2015,train
1.2276679,1.707912,-0.5491339,-0.77279615,-0.09432449,06 Duarte,2016,train
1.5155597,1.2995338,0.20164931,0.84799016,-0.1361348,06 Duarte,2017,train
0.108332545,0.1472057,-0.33639482,2.1586866,-0.95600915,06 Duarte,2018,train
-0.0077609043,0.97846085,0.5407806,0.08237989,-1.3302242,06 Duarte,2019,train
0.97205293,1.4837261,-0.23250772,0.032245208,-0.117857285,06 Duarte,2020,val
0.44342965,0.8580532,-0.37942812,1.2303118,-0.31829053,06 Duarte,2021,val
-2.2880359,-0.02132175,0.54596525,-0.9996028,0.56092983,07 Elías Piña,2015,train
0.26091954,1.3939155,0.7709477,-1.5756015,2.0323772,07 Elías Piña,2016,train
-0.079702266,0.8202147,0.74800533,-0.027559955,2.3692298,07 Elías Piña,2017,train
-1.6592696,-0.06944014,0.48615384,0.4939179,1.840938,07 Elías Piña,2018,train
-0.7836053,0.9717093,2.124822,-1.1467732,0.52344,07 Elías Piña,2019,train
-0.20074938,0.84173787,1.1536173,-0.37323415,2.1270132,07 Elías Piña,2020,val
-0.6834731,0.5846512,0.583817,0.2591755,1.8339113,07 Elías Piña,2021,val
-0.5401745,-1.7253728,-0.13177922,-0.3091063,-0.91007555,08 El Seibo,2015,train
1.9471159,-0.1287657,0.2827869,-1.4407235,0.77702796,08 El Seibo,2016,train
1.5252987,-1.4039572,2.115777,1.0455197,1.054921,08 El Seibo,2017,train
0.17083941,-1.7762794,0.30984062,1.3666006,0.42152223,08 El Seibo,2018,train
0.25553098,-0.9564534,1.9962652,-0.16825251,-0.602902,08 El Seibo,2019,train
1.3027043,-0.6764769,0.6010814,-0.3110312,1.2412215,08 El Seibo,2020,val
0.8765808,-1.636746,1.6084526,1.3957423,0.8312952,08 El Seibo,2021,val
-0.70397615,-0.35114792,-0.6239317,-0.40871927,-1.9854242,09 Espaillat,2015,train
1.398355,0.7152257,-0.51877874,-0.81292146,0.0205571,09 Espaillat,2016,train
1.2818722,0.24992502,-0.14525889,0.50603795,-0.053687587,09 Espaillat,2017,train
0.16277464,-0.746917,-0.5055864,1.5722241,-0.5914752,09 Espaillat,2018,train
0.06140834,0.12124731,0.43059853,-0.18166077,-1.1389005,09 Espaillat,2019,train
1.2704712,0.083003275,-0.14196049,0.30102906,0.1844504,09 Espaillat,2020,val
0.66975087,-0.090757295,-0.40302655,1.0256526,-0.24078776,09 Espaillat,2021,val
-1.5714252,-1.0095196,0.8920982,-1.4964947,0.29017586,10 Independencia,2015,train
0.9523442,0.5004079,1.2969135,-2.563604,1.902149,10 Independencia,2016,train
0.25714862,-0.6487303,2.117511,-0.3729001,2.4375682,10 Independencia,2017,train
-1.2776134,-1.7963868,1.299574,0.5590157,1.6149825,10 Independencia,2018,train
-0.84375024,-0.2985596,1.4871603,-1.353191,0.40590978,10 Independencia,2019,train
-0.06338675,-0.097658575,0.6496364,-1.1863884,2.3180888,10 Independencia,2020,val
-0.4908028,-0.53255564,0.5153471,-0.18056138,1.6247245,10 Independencia,2021,val
-0.3390892,-1.8774401,-0.29879534,-0.76573867,-0.7877966,11 La Altagracia,2015,train
1.7829605,-0.7697198,0.09181714,-1.5348481,0.91527027,11 La Altagracia,2016,train
1.3491038,-1.3763939,0.48768997,0.40708342,1.0245494,11 La Altagracia,2017,train
0.3760119,-2.1630824,0.21854214,1.1594684,0.22691076,11 La Altagracia,2018,train
0.33036312,-1.1369368,0.8931656,-0.71482515,-0.49879113,11 La Altagracia,2019,train
1.2935135,-0.8634377,0.24378392,-0.79052603,1.1933843,11 La Altagracia,2020,val
0.66425204,-1.3693129,0.06454785,0.43352562,0.6426655,11 La Altagracia,2021,val
-0.8871959,-1.3064227,-0.26097924,-0.9147597,-0.46902436,12 La Romana,2015,train
1.184589,-0.28225592,-0.279175,-1.4884707,1.1777333,12 La Romana,2016,train
1.5411828,-1.1217489,0.8509482,0.6023224,1.2351133,12 La Romana,2017,train
0.028987834,-1.9100924,0.5730086,1.2434391,0.2532664,12 La Romana,2018,train
0.07321977,-0.75385094,0.7315048,-0.6287101,-0.5389014,12 La Romana,2019,train
0.9481654,-0.4762472,-0.063423686,-0.87697405,1.2226816,12 La Romana,2020,val
0.34709674,-1.0813868,-0.107039236,0.4096686,0.6998634,12 La Romana,2021,val
-1.7007164,0.8554357,-0.88317037,-0.1393666,-1.6773213,13 La Vega,2015,train
0.68061733,2.1569262,-0.6933978,-0.58428776,0.4506354,13 La Vega,2016,train
0.75826937,1.5838723,-0.48372847,0.92865807,-0.037565816,13 La Vega,2017,train
-0.4318218,0.6934575,-0.7189426,1.9319124,-0.70175755,13 La Vega,2018,train
-0.45888484,1.3438032,0.34862006,0.12709208,-1.0645583,13 La Vega,2019,train
0.6246025,1.8165483,-0.4995478,0.22954248,0.16143489,13 La Vega,2020,val
0.096071064,1.133478,-0.6364005,1.5440122,-0.111930214,13 La Vega,2021,val
-0.52235776,-0.17281461,-0.55001503,-0.22055921,-1.9812073,14 María Trinidad Sánchez,2015,train
1.4672585,0.9373588,-0.519774,-0.67395884,-0.2705104,14 María Trinidad Sánchez,2016,train
1.9881239,0.33440295,0.2965688,0.8077628,-0.025850328,14 María Trinidad Sánchez,2017,train
0.6989089,-0.8510622,-0.020810612,1.9745096,-1.0853254,14 María Trinidad Sánchez,2018,train
0.4970054,0.1385805,0.33453006,-0.034741137,-1.4366734,14 María Trinidad Sánchez,2019,train
1.4677626,0.44426498,-0.27412394,-0.020728145,-0.3001341,14 María Trinidad Sánchez,2020,val
1.1297446,-0.062927336,-0.069175325,1.1922442,-0.4531409,14 María Trinidad Sánchez,2021,val
-1.1693543,-2.15891,-0.29652902,-1.3806665,0.1261067,15 Monte Cristi,2015,train
0.60288167,-1.2339085,-0.24441375,-1.8696966,1.8780257,15 Monte Cristi,2016,train
1.170397,-1.4310666,0.6163056,-0.33855662,1.4802067,15 Monte Cristi,2017,train
-0.37793526,-2.4579024,-0.19018772,0.28467253,1.1250532,15 Monte Cristi,2018,train
-0.20691115,-1.3572133,0.8717052,-1.0731909,0.1287098,15 Monte Cristi,2019,train
0.82545114,-1.4345604,0.30094975,-0.9048924,1.9094522,15 Monte Cristi,2020,val
0.14164492,-1.891836,-0.03935463,0.20155217,1.5568027,15 Monte Cristi,2021,val
-1.5599738,-2.0418622,0.22401252,-1.6773454,0.5042899,16 Pedernales,2015,train
0.93821406,-0.62292683,1.1155461,-2.4783983,2.3873892,16 Pedernales,2016,train
0.66536194,-1.442249,2.4751241,-0.4206413,2.3763556,16 Pedernales,2017,train
-1.0433097,-1.965616,1.4758825,-0.1400688,1.5741805,16 Pedernales,2018,train
