z1,z2,z3,z4,z5,z6,province,year,split
-0.6955255,-0.81656444,-0.47933662,-1.0037516,0.9193412,1.0811579,01 Distrito Nacional,2015,train
1.3223629,-0.31550357,1.0354407,-0.95872176,0.7200227,-0.65791446,01 Distrito Nacional,2016,train
0.17462158,0.7803338,-0.18167359,-0.015636267,1.3142238,-1.3156476,01 Distrito Nacional,2017,train
-1.0381695,0.33962655,-0.90712976,-0.73898786,1.1557482,-0.23587956,01 Distrito Nacional,2018,train
0.066284254,-0.13364963,0.4165525,-0.7158703,0.45333648,0.55086184,01 Distrito Nacional,2019,train
0.7885366,0.3712524,0.23827453,-0.2822977,1.0993125,-1.1479353,01 Distrito Nacional,2020,val
-0.26864523,0.54894245,-0.41410276,-0.519343,1.1898031,-0.8369514,01 Distrito Nacional,2021,val
-1.0350602,-0.38373694,-0.16513313,-0.48701027,0.43854162,1.9784045,02 Azua,2015,train
1.086059,0.836407,1.9719682,0.4854703,-0.49137408,0.11809119,02 Azua,2016,train
-0.29799947,1.4563992,0.9748542,1.1351281,-0.2139362,-0.34123656,02 Azua,2017,train
-1.2458572,1.0271826,-0.033075295,0.5167205,0.31874216,1.2371913,02 Azua,2018,train
-0.30154797,0.3528917,0.89181983,0.13431157,0.118328474,1.6083916,02 Azua,2019,train
-0.6961056,2.1630921,0.31780258,1.1000091,0.5084906,-0.83730584,02 Azua,2020,val
-0.65511465,0.8227576,-0.22035468,0.7576602,1.0063696,0.026433097,02 Azua,2021,val
-0.7382496,-0.9657265,-0.6489044,0.5152424,-0.023829022,1.240787,03 Baoruco,2015,train
1.0484532,-0.38440025,0.887119,0.95410454,-0.45088756,-0.28344962,03 Baoruco,2016,train
-0.4428908,0.43108076,-1.0153452,2.281278,0.5537154,-1.0180424,03 Baoruco,2017,train
-0.68393695,0.00656941,-0.86365384,1.1293684,0.5143292,0.5739423,03 Baoruco,2018,train
0.13888861,-0.36759177,0.070185676,0.9973076,-0.049571384,1.1207548,03 Baoruco,2019,train
0.5759877,-0.24409124,-0.42351875,1.6340309,0.55472964,-0.43043324,03 Baoruco,2020,val
-0.90082306,0.2029093,-1.3456783,1.9296881,0.4749165,-0.7348625,03 Baoruco,2021,val
-0.27480492,-0.4452919,-0.949165,-0.82500404,-0.051758196,0.93258333,04 Barahona,2015,train
1.5851505,0.3186234,1.032595,0.0445479,-1.0487897,-0.565499,04 Barahona,2016,train
0.6354381,0.8191289,-0.64376676,0.24927701,0.5472297,-0.84388995,04 Barahona,2017,train
-0.2605153,0.61419,-1.0632441,-0.7092416,0.29292712,0.00024902896,04 Barahona,2018,train
0.47737864,0.2743024,0.11972605,-0.49812362,-0.44467136,0.59281707,04 Barahona,2019,train
1.2026556,0.5400562,-0.06522957,0.070514984,0.11323603,-0.616022,04 Barahona,2020,val
0.20236541,0.8334952,-0.9508428,-0.16306715,0.4487428,-0.5870119,04 Barahona,2021,val
-0.27347004,-1.6416123,-0.7777251,1.4570231,-1.4439907,1.1346794,05 Dajabón,2015,train
1.4584545,-1.3673688,0.0136841675,1.7937938,-1.0364059,-1.113669,05 Dajabón,2016,train
0.045172125,0.4226388,-0.5587817,1.57285,-1.020886,-0.75489163,05 Dajabón,2017,train
-0.802277,-0.6085348,-2.2380154,1.7896522,0.47379562,-0.094528966,05 Dajabón,2018,train
0.4070228,-0.37358123,-0.03196179,1.305839,-0.7503538,1.0431702,05 Dajabón,2019,train
0.23293777,0.32632083,-2.1429546,2.55099,0.08048553,-1.3963071,05 Dajabón,2020,val
0.116665296,-0.3422033,-1.2804018,1.5612053,0.5127794,-0.33005577,05 Dajabón,2021,val
-1.1093541,-2.0028112,0.08438182,-0.48006418,0.19749945,0.17141032,06 Duarte,2015,train
0.45269963,-1.2700138,1.1368763,-0.067285225,0.16427428,-1.5685726,06 Duarte,2016,train
-0.68226695,0.18586959,0.85092217,0.3062357,-0.09468302,-1.89392,06 Duarte,2017,train
-1.7870394,-0.5818983,-0.010079724,-0.11529662,0.20128343,-1.0934995,06 Duarte,2018,train
-0.6124577,-0.70979065,0.84035015,0.13121137,-0.31829718,0.04019789,06 Duarte,2019,train
-0.07208472,-0.80955684,0.95752615,0.3662581,0.15043224,-1.6106496,06 Duarte,2020,val
-0.96079093,-0.37078938,0.24252337,0.3175058,0.54520464,-1.394616,06 Duarte,2021,val
-2.0838907,-2.1066759,-0.6161018,2.3936257,-0.9082973,1.2785734,07 Elías Piña,2015,train
-0.15100808,-1.8956468,0.7453676,2.7729042,-1.0536004,-1.4367316,07 Elías Piña,2016,train
-0.95804733,-0.40483645,-0.27983347,2.8815553,-0.4012317,-1.1095363,07 Elías Piña,2017,train
-2.04645,-1.1933458,-1.3991796,2.8883827,0.45520166,0.1262633,07 Elías Piña,2018,train
-0.81502473,-1.0217389,1.1888876,2.7161381,-1.9588187,1.0440344,07 Elías Piña,2019,train
-1.3142548,-0.28055948,-0.5387413,3.526819,-0.6331824,-1.3054433,07 Elías Piña,2020,val
-1.3893322,-0.95979524,-0.7869468,2.77633,0.16367714,-0.8901713,07 Elías Piña,2021,val
-0.24648589,0.06590566,-1.4498321,-1.4137865,-1.4377568,0.5445542,08 El Seibo,2015,train
2.2489636,0.7619916,0.32448536,-0.7619765,-1.2331235,-1.1300324,08 El Seibo,2016,train
-0.2517444,3.79488,-0.72585845,0.80300254,-2.3751557,-0.36862782,08 El Seibo,2017,train
-0.48090503,1.2020177,-1.8782754,-0.49937,-0.94595546,-0.8814264,08 El Seibo,2018,train
0.18413503,1.3629866,0.56342816,-0.036379445,-1.9606056,1.550463,08 El Seibo,2019,train
1.0617517,1.2474115,-0.73332494,0.21414857,-1.6649753,-1.6564466,08 El Seibo,2020,val
-0.34401682,2.9651825,-0.94764084,0.3237263,-2.2336202,-0.47410116,08 El Seibo,2021,val
-0.1510095,-1.1536663,-0.1862351,-1.4881321,-0.28388444,0.31228045,09 Espaillat,2015,train
1.179282,-0.1250371,0.7011004,-0.50259143,0.17761168,-1.1692071,09 Espaillat,2016,train
0.16972363,0.56014884,0.1462733,-0.28477395,0.22214797,-0.92851114,09 Espaillat,2017,train
-0.8945952,0.20183668,-0.6970934,-0.61573535,0.23422039,-0.5324136,09 Espaillat,2018,train
-0.1771131,-0.15175445,0.36237383,-0.33321238,-0.506591,0.31984892,09 Espaillat,2019,train
0.04166617,0.5996305,-0.11899138,-0.2570613,-0.32115224,-2.0575995,09 Espaillat,2020,val
-0.2528614,0.44032592,-0.25081018,-0.3421593,0.533398,-0.9304295,09 Espaillat,2021,val
-0.41480893,-1.0827932,-1.2094051,0.8962644,-1.2213924,0.76355773,10 Independencia,2015,train
1.8144671,-0.3549314,0.5242664,1.4238082,-1.5562514,-0.4922761,10 Independencia,2016,train
0.55849004,1.6385213,-0.8194233,2.781656,-1.1349708,0.35942134,10 Independencia,2017,train
-1.2605494,0.6239541,-2.4001045,1.9034361,-0.4705916,0.7159329,10 Independencia,2018,train
0.434319,-0.26250964,-0.332763,1.0132537,-0.5590463,1.0484421,10 Independencia,2019,train
0.67688304,-0.095949575,-1.1866806,2.0861742,0.049594052,-0.75050503,10 Independencia,2020,val
