z1,z2,z3,z4,z5,z6,province,year,split
-0.42480117,-0.6135389,1.5595039,1.4093566,1.5106325,-2.0933878,01 Distrito Nacional,2015,train
3.890976,0.17859572,0.72639817,-1.143747,1.3156521,-1.0236485,01 Distrito Nacional,2016,train
1.7087682,2.0315337,-1.0165747,0.7581378,0.8960944,-0.3475935,01 Distrito Nacional,2017,train
-1.1700693,1.3052201,-1.7948782,1.7129203,0.8793803,-3.014505,01 Distrito Nacional,2018,train
0.49106365,-0.45722833,0.063787,-0.86459774,0.118152484,-2.1453652,01 Distrito Nacional,2019,train
2.753412,1.4526333,-0.57817125,0.37067202,1.0426732,-0.67058635,01 Distrito Nacional,2020,val
0.59329784,1.6195575,-1.5193028,0.7334118,0.76574945,-2.0909126,01 Distrito Nacional,2021,val
-0.8124418,-0.21277064,1.6041422,1.459017,0.4819295,-0.7866636,02 Azua,2015,train
2.901746,1.0443876,0.79458153,-1.0234417,-0.5199577,0.8496439,02 Azua,2016,train
0.797194,2.0937326,-0.96674335,-0.326751,-1.2874677,1.0246321,02 Azua,2017,train
-2.0296693,1.7819637,-0.51978827,1.3178548,-2.1272008,-1.8478291,02 Azua,2018,train
-0.06176084,0.12790142,0.98542553,-0.30283844,-0.77223957,-0.7923906,02 Azua,2019,train
0.12903671,1.4809918,-0.95383275,-0.8664988,0.8788475,3.5084422,02 Azua,2020,val
-0.4703826,2.179646,0.012228096,1.3253784,-1.2074878,-0.4902763,02 Azua,2021,val
-1.4482958,-1.0890229,2.6427996,1.4606736,-1.0607278,-0.5793753,03 Baoruco,2015,train
3.0895727,0.34234402,2.4908268,-0.82204086,-1.8178715,1.2953448,03 Baoruco,2016,train
-0.43162048,1.6684723,0.2989057,1.1691045,-2.4824831,3.1728086,03 Baoruco,2017,train
-1.8254591,1.250638,0.20358536,1.6976095,-3.620333,-1.0612218,03 Baoruco,2018,train
-0.17252502,-0.41572073,1.8626814,-0.07675515,-2.6532333,-1.0426477,03 Baoruco,2019,train
1.5036448,0.9789843,1.8693883,1.0760504,-2.8542576,1.3493373,03 Baoruco,2020,val
-1.9265915,1.3099532,0.20661452,1.2461501,-2.6675513,2.2184196,03 Baoruco,2021,val
-0.58753896,-1.9914004,0.43630758,1.3883766,0.99671555,-0.70096815,04 Barahona,2015,train
3.785574,-1.0250471,-0.7135981,-1.7641151,-0.2644702,1.7327704,04 Barahona,2016,train
1.6126089,0.6064029,-1.4081963,0.88356215,-0.24020961,0.6068251,04 Barahona,2017,train
-0.67334443,-0.2002605,-2.4263275,2.02777,0.5011972,-1.1881026,04 Barahona,2018,train
0.52929914,-1.3787539,-0.42266542,-0.5762954,-0.26994404,-0.99298555,04 Barahona,2019,train
2.739527,-0.24743713,-0.98057103,0.29122865,0.013868834,0.8239482,04 Barahona,2020,val
0.6517201,0.19865416,-2.131109,1.1693238,-0.5195726,-0.7329103,04 Barahona,2021,val
