z1,z2,z3,z4,z5,z6,z7,z8,province,year,split
-0.61779815,-0.29423428,0.5221273,0.20914909,0.19577727,0.6854471,1.3537714,0.08022998,01 Distrito Nacional,2015,train
0.34510162,-0.611763,1.7085829,-0.9512548,-0.7609376,-0.7649654,-0.42487252,-0.40822744,01 Distrito Nacional,2016,train
-0.5991271,0.46443692,1.2958865,0.018876767,0.21613248,-1.0326061,0.02571493,-0.7264769,01 Distrito Nacional,2017,train
-1.849667,0.024760446,0.23219007,0.13967864,0.19360952,-0.017153017,0.83843416,-0.3564105,01 Distrito Nacional,2018,train
-0.9052068,-0.93255365,0.6836721,-0.797722,-0.1812689,-0.21790457,0.4359662,0.17169844,01 Distrito Nacional,2019,train
-0.29428083,0.20013283,1.5227793,-0.02105633,0.12311915,-0.730747,-0.14242026,-0.6855616,01 Distrito Nacional,2020,val
-1.5749947,-0.029565182,0.9620183,-0.32838377,0.16058508,-0.77878934,0.31203708,-0.51732475,01 Distrito Nacional,2021,val
-0.17568956,-0.41984907,-0.22285366,0.83057475,-0.45905054,0.6344699,1.4381123,0.048013225,02 Azua,2015,train
0.96471715,-0.74472857,0.5144763,0.7596808,-1.5222298,-0.3421116,-0.74477816,-1.1550175,02 Azua,2016,train
-0.20521836,-0.32158032,-0.067662574,0.7246788,-0.79409295,-1.3090738,-1.0645373,-0.91084164,02 Azua,2017,train
-1.8442665,0.51519144,-1.0527529,0.9390546,-0.053023916,-0.89239943,1.2942495,-0.22311555,02 Azua,2018,train
-0.548225,-1.4992651,-0.37737665,0.124495864,-0.87624085,-0.5496655,0.4787337,0.1077146,02 Azua,2019,train
0.7353944,0.57086,-0.06808948,2.1317554,-0.40259463,-0.1294025,-1.0005267,-0.75100136,02 Azua,2020,val
-1.1426641,0.11273472,0.057196174,0.42569,-0.19044267,-1.1862688,0.35919988,0.021524826,02 Azua,2021,val
0.52682287,0.06579981,-1.0182904,0.37854266,-0.16761315,0.65826434,1.23564,0.4207899,03 Baoruco,2015,train
1.2912967,0.16353273,0.14123364,-0.26952276,-0.99228734,-0.5987175,-0.18163559,-0.09344883,03 Baoruco,2016,train
0.72767586,1.5813538,-0.5889508,0.7707298,0.030073602,-1.1535265,0.07963819,-0.3016645,03 Baoruco,2017,train
-1.024749,0.51214594,-1.883415,-0.14256081,-0.23490147,-0.5921641,0.7284797,0.29730353,03 Baoruco,2018,train
-0.010928112,-0.47071308,-1.037976,-0.97798765,-0.748985,-0.7638842,0.7413385,0.67976534,03 Baoruco,2019,train
0.9513743,0.9329576,-0.034339406,-0.43014073,0.1747258,-1.3786777,0.20065671,0.25486872,03 Baoruco,2020,val
0.07359798,1.4848361,-0.841622,0.5717631,0.38087016,-0.68230295,0.38042015,0.28827304,03 Baoruco,2021,val
0.03152929,-0.503445,-0.4518639,0.15837514,0.03851792,1.1895089,1.1248784,-0.72146696,04 Barahona,2015,train
1.0978426,-0.23894878,-0.041884087,-0.110853165,-0.9005075,0.57829905,-0.6330384,-1.3847299,04 Barahona,2016,train
-0.18896523,0.34396634,0.48732594,-0.18851669,0.45655227,-0.7874414,0.27632806,-1.180458,04 Barahona,2017,train
-1.4388212,-0.50041604,-0.6578293,-0.371334,0.08763932,0.06986329,0.94473493,-1.3983514,04 Barahona,2018,train
-0.40501317,-1.2482616,-0.3033125,-0.7792516,-0.19113716,0.14993346,0.3478262,-0.7847092,04 Barahona,2019,train
0.3035018,0.058640875,0.45316753,-0.18314043,0.0552601,-0.31320813,0.050857127,-1.1711153,04 Barahona,2020,val
-0.8744155,-0.06933558,0.06179239,-0.39639428,0.28649122,-0.47574067,0.5876368,-1.1240873,04 Barahona,2021,val
1.9074144,0.08745346,-1.9195844,-0.49686056,0.989444,1.2757862,0.5003842,0.6178476,05 Dajabón,2015,train
2.5922503,0.15680099,-0.7717867,-1.1831657,0.15473582,-0.26188734,-1.0152565,-0.26571757,05 Dajabón,2016,train
0.104716,0.5441514,-1.0791136,-0.85410136,0.80590475,-1.151848,-0.5745069,-0.47474882,05 Dajabón,2017,train
0.45088205,0.8734446,-1.6261501,0.47140214,1.039175,-0.19540627,0.7977079,0.08336038,05 Dajabón,2018,train
0.9098984,-0.7532071,-1.148077,-1.5023276,0.38440427,-0.8276131,0.58651996,0.47378933,05 Dajabón,2019,train
2.0687945,1.425591,-1.1383874,0.819583,0.84469044,-0.26768008,-0.4799539,-0.19114701,05 Dajabón,2020,val
0.3353381,0.5480314,-0.6944756,-0.82870907,1.0709846,-1.1720029,0.60151076,0.14694549,05 Dajabón,2021,val
0.008342504,0.2262848,0.43967336,0.12561078,0.13997598,1.3699582,0.40926707,1.0634348,06 Duarte,2015,train
0.5304493,0.47138152,1.1616278,-0.3387975,-0.47892904,0.28772008,-0.8022238,0.4107889,06 Duarte,2016,train
-0.80957633,0.45747367,0.5484426,-0.640228,-0.41529807,-0.43179795,-1.6661417,0.028676515,06 Duarte,2017,train
-1.6742948,1.0396184,-0.10589388,0.31838253,0.42959374,0.84870535,-0.3334346,0.7465147,06 Duarte,2018,train
-0.5681365,-0.41523263,0.133218,-0.6121541,0.037990633,0.2637232,-0.4195672,1.2081598,06 Duarte,2019,train
-0.048862528,0.5290702,0.87779427,-0.51998293,-0.09211845,-0.10745021,-1.0420258,0.5729699,06 Duarte,2020,val
-1.035355,0.524115,0.46976203,-0.18130353,0.20672989,-0.35346276,-0.4802131,0.7108197,06 Duarte,2021,val
1.7697318,0.49784425,-1.7520522,1.2705563,0.28954464,0.8141487,0.58614767,1.1415014,07 Elías Piña,2015,train
2.2249715,0.5472191,-0.9541421,0.7428143,-0.36598063,-0.15733004,-1.2680537,0.54438585,07 Elías Piña,2016,train
0.86872923,0.7392821,-1.0980783,0.23956169,0.30763066,-1.7387589,-1.0014911,0.7783742,07 Elías Piña,2017,train
0.26406652,0.87931556,-2.0095062,1.1201952,0.80710685,-0.6628403,0.40218303,1.4376718,07 Elías Piña,2018,train
1.0754298,-0.71332777,-2.3729465,-0.5743589,-0.22274801,-0.16356644,-0.9428215,1.4903094,07 Elías Piña,2019,train
1.6627802,1.6463057,-1.3279907,1.0029404,0.5194976,-0.62397325,-1.0200181,0.66563255,07 Elías Piña,2020,val
0.19376853,0.8177778,-1.3181499,0.24516852,0.6065187,-1.0289643,-0.3369775,1.2669429,07 Elías Piña,2021,val
0.88434976,-0.2576947,-0.3308963,0.84543383,0.7417295,1.840724,0.42316243,-0.96649367,08 El Seibo,2015,train
1.2125913,-0.90836084,0.5361404,-0.79437405,0.023538496,0.11470008,-1.2660686,-1.5431166,08 El Seibo,2016,train
0.30485335,0.98643523,-0.9258491,0.80989116,2.213375,-0.051855452,-1.3600743,-0.8116506,08 El Seibo,2017,train
-0.43127817,-0.21073231,-1.4941797,0.5390514,0.9003236,0.83827263,-0.3258614,-0.86026156,08 El Seibo,2018,train
-0.051462885,-1.2769418,-0.43361428,-1.3170557,1.0412117,0.08448484,0.12018283,-0.3561027,08 El Seibo,2019,train
1.0760189,-0.033675753,-0.26171,0.24573994,0.5381626,0.5038125,-1.139675,-1.1548408,08 El Seibo,2020,val
-0.35012785,0.8460118,-1.4365435,0.25821346,1.5421379,0.37822616,-0.6193044,-1.1263946,08 El Seibo,2021,val
0.4971656,-0.50827146,0.7317583,0.25976995,0.44835353,1.660568,0.4876484,-0.13674098,09 Espaillat,2015,train
