z1,z2,z3,z4,z5,z6,z7,z8,z9,province,year,split
0.4403313,-0.017951822,-0.6732896,-0.7782263,-0.92689836,0.3162604,0.6555028,1.1435192,-0.055230353,01 Distrito Nacional,2015,train
0.96307796,0.7613907,1.2074134,-0.74872744,-0.50174385,1.337162,0.19853319,1.2374338,-0.07836279,01 Distrito Nacional,2016,train
-0.92110926,-0.53264254,1.2601725,-0.9519368,0.014700476,1.2146544,-0.36969852,0.28394067,0.37103504,01 Distrito Nacional,2017,train
-0.36795545,-0.8887477,0.2928572,-1.4209447,-0.09939329,-0.049445517,0.27637243,0.78039145,0.8778763,01 Distrito Nacional,2018,train
-0.6019492,-0.42235783,-0.22537573,0.35036522,-0.7225466,0.7238843,1.0512247,0.78160375,-0.15066275,01 Distrito Nacional,2019,train
-0.6013062,-0.28088862,1.2736934,-0.6016075,-0.4520781,1.018856,-0.07223207,0.3993123,0.015752207,01 Distrito Nacional,2020,val
-0.7169446,-1.07418,0.9028843,-0.95478064,-0.053265452,0.7022661,0.31293005,0.37891045,0.6725045,01 Distrito Nacional,2021,val
0.024480788,0.33971766,-1.0685983,-0.78539807,-0.40052235,-0.2087622,-0.017609214,0.8872558,-0.787871,02 Azua,2015,train
-0.45540428,1.699317,0.55658644,-0.6589311,0.26619184,-0.056772947,-0.90337145,0.7964274,-0.7724994,02 Azua,2016,train
-2.1609778,0.43102965,0.22436462,-0.05401143,0.75779223,-0.50670993,-0.7746952,-0.78218806,-0.8070543,02 Azua,2017,train
-0.6856152,-1.039394,0.107166365,-1.3881063,0.0759039,-0.88375896,-0.5054018,0.21236004,-0.90412205,02 Azua,2018,train
-0.9953483,0.20308138,-0.74630517,0.186659,-0.13740955,0.12844405,0.07742179,0.27163687,-1.2702066,02 Azua,2019,train
-0.9391401,0.94563895,0.35173145,-1.4840078,-0.088703446,-0.2889437,-1.1836722,-0.6574961,0.36523464,02 Azua,2020,val
-0.89623135,-0.78213614,0.16449308,-0.9489011,0.37747052,0.23081638,-0.50233465,-0.28217793,-0.36201045,02 Azua,2021,val
1.2262666,-0.13205285,-0.9484932,0.008756538,-0.022198282,-0.2849714,-0.5043007,0.46728057,-0.991128,03 Baoruco,2015,train
1.5623906,0.23789662,0.8440378,-0.3881324,0.53300405,0.60891634,-0.93477666,0.54846114,-0.9487583,03 Baoruco,2016,train
-1.052182,-0.4600966,0.07476208,-0.22313339,1.2434072,-0.10678807,-2.20888,-0.7005989,-0.2698313,03 Baoruco,2017,train
-0.58287424,-1.600518,-0.34578624,0.23397413,1.6973155,-1.0395856,-1.1540642,0.25533423,-0.6750579,03 Baoruco,2018,train
-0.23545513,-0.5438389,-0.57759595,1.0521749,0.3096894,0.35868618,-0.7458897,0.31066605,-1.8334885,03 Baoruco,2019,train
0.049267147,-0.7397631,0.3365291,0.35080183,0.5133486,0.66271806,-1.5482447,-0.33686754,-0.8665374,03 Baoruco,2020,val
-0.22910656,-0.90454274,-0.22020127,-0.29626006,1.025013,-0.14185065,-1.6364436,-1.0222892,0.1603692,03 Baoruco,2021,val
0.8324718,0.099041015,-0.5419077,-0.12083969,-0.5349491,-0.31483734,-0.22525676,1.2592102,0.019262942,04 Barahona,2015,train
0.6711236,1.2266924,1.2307512,0.1279414,0.2184838,-0.44618797,-0.91877836,1.1147639,-0.107928894,04 Barahona,2016,train
-0.8352458,-0.9351639,1.1386379,-0.03764351,0.35121247,0.5568167,-1.0612382,0.44669062,0.16218658,04 Barahona,2017,train
-0.6191413,-1.1016695,0.19743884,-0.17443255,0.69005185,-0.20499146,-0.5628502,1.0583292,1.1909864,04 Barahona,2018,train
-0.58704424,-0.16522828,-0.16706507,1.2597996,-0.33781406,0.26191443,0.22707218,0.8353978,0.02703956,04 Barahona,2019,train
-0.22247146,-0.15262252,0.8269025,0.04583264,0.13430144,0.60097647,-1.0314721,0.6553673,0.30928737,04 Barahona,2020,val
-0.4447027,-1.2069305,0.7333647,-0.19173703,0.4800296,0.34006366,-0.7416321,0.5117942,0.77849185,04 Barahona,2021,val
2.1625624,-0.019581323,-1.1788036,2.145381,-0.42007044,-1.1060975,-0.83914125,-0.5094078,-1.0147043,05 Dajabón,2015,train
2.336354,0.27390838,1.1995343,1.5314394,-0.10403774,0.34883812,-1.3185257,-0.53654873,-1.2454063,05 Dajabón,2016,train
-0.08906869,-1.8830965,1.0511465,1.1998181,0.7591008,-0.3795062,-1.5189716,-1.3775254,-0.11603283,05 Dajabón,2017,train
0.6630356,-1.7278644,-0.6182655,0.6497803,0.817608,-0.35169208,-1.78106,-0.71739066,0.42953053,05 Dajabón,2018,train
0.7122486,-1.0872053,-0.51139915,2.0691178,0.5423091,0.5348472,-1.2582935,0.12621158,-1.0829313,05 Dajabón,2019,train
0.6583057,-0.7270322,0.5115226,0.26041943,-0.09055945,0.24312775,-2.4309082,-1.1748984,0.38246325,05 Dajabón,2020,val
0.7786449,-2.2007196,0.4546699,0.9604265,0.6484441,0.556554,-1.4353237,-0.66619694,-0.23970953,05 Dajabón,2021,val
1.6100022,0.26854753,-0.5107741,-0.39647987,-0.60092366,-0.29974863,1.3399024,0.3614891,-0.4527136,06 Duarte,2015,train
1.4198128,0.51245654,1.2490257,-0.52716017,-0.048333507,0.7445167,0.6805949,-0.029179176,-0.21501663,06 Duarte,2016,train
-0.8568463,-0.014373641,1.583577,0.43685535,1.2105094,-0.35275024,1.0409577,-0.6944786,0.00045501272,06 Duarte,2017,train
0.6027663,-0.83432144,0.70797163,-0.8984512,0.5108465,-1.2347674,1.2437111,-0.43454605,0.47895902,06 Duarte,2018,train
0.3393909,-0.30876982,-0.10428448,0.49690202,0.46673125,0.0383171,1.4085,-0.035527896,-0.5018202,06 Duarte,2019,train
0.77757263,-0.037381914,1.3286483,-0.21657272,0.3487779,0.40495157,0.75745195,-0.38008443,-0.27198756,06 Duarte,2020,val
0.2901292,-0.8066691,0.9368157,-0.6246246,0.8239228,0.2608637,0.75808316,-0.4882303,0.29799956,06 Duarte,2021,val
1.9875975,0.44185466,-1.6384541,0.1619361,0.14067581,-0.8196775,-0.9798218,-1.1798899,-1.1246586,07 Elías Piña,2015,train
2.3124454,0.39836466,0.61036396,-0.25282878,0.6574058,-0.064399146,-1.0294005,-1.2805071,-0.85674965,07 Elías Piña,2016,train
0.46152955,-1.1489204,0.5497266,0.13983518,1.4432051,0.06359487,-1.2895646,-2.0544846,-0.8275026,07 Elías Piña,2017,train
1.4558228,-1.3706365,-0.60235673,-0.4396096,1.1717994,-0.4818605,-1.1455289,-1.5874709,-0.5514225,07 Elías Piña,2018,train
0.85905707,0.20122205,-0.5265119,1.633624,1.7867231,-1.104207,-0.414781,-1.1236868,-2.1835103,07 Elías Piña,2019,train
1.1577283,-0.02416025,0.6358088,-0.63287055,0.58281696,-0.26066148,-1.7422105,-1.8932092,-0.64602613,07 Elías Piña,2020,val
1.5031345,-1.4300878,0.3858633,-0.22188525,1.2938076,0.17610389,-0.85028535,-1.89193,-0.37254408,07 Elías Piña,2021,val
0.7639114,0.682516,-1.0942285,0.45721212,-1.0092671,-0.41023514,-0.64651567,0.24557833,1.3781354,08 El Seibo,2015,train
0.45668417,1.2277694,1.235018,1.3771107,-0.6522736,-0.008365007,-0.54183877,0.46186265,0.40560153,08 El Seibo,2016,train
0.0054059885,-0.74210566,1.6127185,-0.98255736,-1.577153,-0.20247325,-1.3913592,-1.8565243,0.8511501,08 El Seibo,2017,train
-0.38581568,-0.5815848,-0.58238053,0.9216288,0.24208117,-1.3351038,-0.8382852,-0.663596,1.5724746,08 El Seibo,2018,train
0.17363538,-0.71985847,-0.20727943,1.394542,-0.3842706,0.35722497,0.07659534,0.09934323,0.028569056,08 El Seibo,2019,train
0.1530337,0.42659637,0.35677677,0.95849705,-0.20707509,-0.47616354,-1.2909105,-0.90185547,1.1000457,08 El Seibo,2020,val
-0.2685642,-0.47789508,0.98455936,-0.13513145,-0.3061388,-1.5299245,-1.3974118,-1.1745175,1.0137198,08 El Seibo,2021,val
0.9164082,0.47342452,-0.7826473,0.22740428,-1.5075017,-0.29733565,1.0537772,0.6487978,0.2954712,09 Espaillat,2015,train
0.2360648,0.45352656,0.985049,-0.20094724,-0.5212231,0.6316215,-0.03741058,0.33690375,0.086705506,09 Espaillat,2016,train
-1.0590029,-0.93276876,0.8819066,0.47915596,0.05574852,0.6501516,0.53223056,-0.42087382,0.7663818,09 Espaillat,2017,train
-0.2136693,-0.9285355,-0.17931649,-0.28207707,-0.27253354,-0.48385793,0.5348974,-0.3366118,1.2962072,09 Espaillat,2018,train
-0.025482735,-0.3051775,-0.31117627,0.46437687,0.3493061,0.006830267,0.4762342,0.56119394,0.23665863,09 Espaillat,2019,train
-0.0031451823,0.4144913,0.5395961,-0.6639877,-0.45972767,0.08996079,-0.31597716,-0.6829095,1.3616707,09 Espaillat,2020,val
-0.497283,-0.8760416,0.6824383,-0.44320792,0.2622818,0.4087039,0.20507467,0.10828797,0.8744887,09 Espaillat,2021,val
1.2550597,0.14069594,-1.0073066,1.0857877,0.45659575,-1.4216816,-1.6997899,0.68839794,-0.5084608,10 Independencia,2015,train
1.3403736,0.40012687,1.4026783,1.0377231,1.1514133,-0.60875946,-2.0024273,1.1155589,-1.2642626,10 Independencia,2016,train
-0.368897,-0.9920147,1.8469238,-0.41984633,-0.17827697,-0.7448362,-2.7004702,0.0248658,-2.1893337,10 Independencia,2017,train
1.0218349,-0.65220195,0.3099714,-1.166214,-0.22775047,-1.5398551,-2.5542452,0.03489127,-0.30919155,10 Independencia,2018,train
