trial,val_r2,val_mse,hidden_dims,pre_bottleneck,shallow_decoder,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
81,0.7988,0.02157,"[64, 64, 512, 1024]",4.0,True,False,0.00343,0.17,0.000339,64,relu,0.32,676547,219
86,0.7977,0.02169,"[64, 64, 512, 1024]",4.0,True,False,0.00284,0.12,0.000279,64,relu,0.3,676547,291
43,0.7976,0.02169,"[128, 512, 64, 256]",8.0,True,False,0.00339,0.38,0.000538,64,relu,0.3,330515,247
95,0.7974,0.02172,"[64, 64, 512, 1024]",4.0,True,False,0.00345,0.1,0.000247,64,relu,0.34,676547,184
94,0.7971,0.02176,"[64, 64, 512, 1024]",4.0,True,False,0.00348,0.21,0.000353,64,relu,0.33,676547,218
82,0.797,0.02176,"[64, 64, 512, 1024]",4.0,True,False,0.00356,0.16,0.000255,64,relu,0.32,676547,234
80,0.797,0.02176,"[64, 64, 64, 1024]",4.0,True,False,0.00359,0.17,0.000401,64,relu,0.32,188675,342
96,0.7968,0.02178,"[64, 64, 512, 1024]",4.0,True,False,0.00401,0.11,0.000244,64,relu,0.33,676547,245
55,0.7963,0.02184,"[512, 128, 512, 64]",8.0,True,False,0.0016,0.26,0.000523,64,relu,0.24,997395,334
79,0.7962,0.02185,"[512, 64, 512, 1024]",4.0,True,False,0.00274,0.26,0.00033,64,relu,0.32,1427843,224
62,0.796,0.02187,"[512, 64, 256, 128]",8.0,True,False,0.00331,0.24,0.000454,64,relu,0.22,915731,300
76,0.796,0.02187,"[512, 128, 512, 256]",4.0,True,False,0.00296,0.23,0.000582,64,relu,0.29,1096387,263
68,0.7959,0.02189,"[512, 128, 256]",4.0,True,False,0.00204,0.22,0.000445,64,relu,0.23,932035,292
46,0.7958,0.0219,"[512, 128, 64, 256]",8.0,True,False,0.00227,0.29,0.000568,64,relu,0.22,924947,330
45,0.7958,0.02189,"[512, 128, 64, 256]",8.0,True,False,0.00176,0.31,0.000572,64,relu,0.21,924947,375
93,0.7958,0.02189,"[64, 64, 1024, 1024]",4.0,True,False,0.00264,0.15,0.000309,64,relu,0.31,1234115,227
85,0.7957,0.0219,"[64, 64, 512, 1024]",4.0,True,False,0.00322,0.16,0.000216,64,relu,0.33,676547,241
77,0.7957,0.0219,"[512, 128]",4.0,True,False,0.00299,0.25,0.000374,16,relu,0.3,898499,186
92,0.7957,0.0219,"[64, 64, 512, 1024]",4.0,True,False,0.00305,0.17,0.000396,64,relu,0.3,676547,278
57,0.7957,0.0219,"[512, 128, 512, 64]",8.0,True,False,0.0017,0.25,0.000707,64,relu,0.27,997395,544
52,0.7956,0.02191,"[512, 128, 512, 256]",8.0,True,False,0.00167,0.22,0.000659,64,relu,0.21,1097427,464
44,0.7956,0.02191,"[512, 512, 64, 256]",8.0,True,False,0.00338,0.31,0.000567,64,relu,0.22,1146515,298
47,0.7955,0.02193,"[512, 128, 64, 256]",8.0,True,False,0.00156,0.23,0.000668,64,relu,0.21,924947,510
28,0.7955,0.02192,"[512, 512, 64, 256]",,True,False,0.00218,0.32,0.000109,32,elu,0.34,1145203,403
75,0.7953,0.02195,"[512, 128, 128, 128]",8.0,True,False,0.0017,0.19,0.000436,64,relu,0.26,932051,560
54,0.7951,0.02196,"[512, 128, 512, 256]",8.0,True,False,0.00239,0.29,0.000601,64,relu,0.2,1097427,328
73,0.795,0.02198,"[512, 128, 256, 128]",8.0,True,False,0.00199,0.21,0.000498,64,relu,0.19,964947,587
59,0.7948,0.02199,"[64, 128, 512]",8.0,True,False,0.00084,0.21,0.000713,16,relu,0.24,188179,307
51,0.7947,0.02202,"[512, 128, 1024]",8.0,True,False,0.00272,0.31,0.000552,64,relu,0.25,1038291,276
99,0.7946,0.02202,"[64, 64, 512, 1024]",64.0,True,False,0.00447,0.13,0.00018,64,relu,0.34,738227,220
36,0.7946,0.02203,"[1024, 512, 64, 512]",,True,False,0.00393,0.37,0.000573,64,leakyrelu,0.3,2250611,256
29,0.7944,0.02204,"[128, 512, 64, 256]",,True,False,0.00434,0.37,0.000497,64,leakyrelu,0.32,329203,244
23,0.7942,0.02206,"[128, 512]",16.0,True,False,0.00045,0.39,0.000102,32,elu,0.49,287219,513
30,0.7942,0.02206,"[128, 512, 64, 256]",,True,False,0.00445,0.33,0.000408,64,leakyrelu,0.34,329203,246
12,0.7941,0.02208,[256],16.0,True,False,0.00046,0.37,2.6e-05,16,elu,0.53,423539,307
64,0.794,0.02209,"[512, 64, 256, 1024]",8.0,True,False,0.00295,0.24,0.000623,64,relu,0.24,1153171,315
