trial,val_r2,val_mse,hidden_dims,monotone,pre_bottleneck,shallow_decoder,use_batchnorm,scheduler,optimizer,clip_norm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
155,0.8893,0.011871,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adam,0.0,0.000735,0.428,5.8e-06,128,elu,0.456,19482450,547
161,0.8886,0.011943,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000691,0.226,1.87e-05,128,elu,0.528,19482450,478
167,0.8879,0.012019,"[1024, 1024, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000897,0.113,1.13e-05,128,elu,0.498,5710418,345
93,0.8878,0.012028,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000733,0.277,1e-07,128,elu,0.494,19482450,338
95,0.8878,0.012028,"[2048, 1024, 256]",True,128.0,False,True,plateau,adamw,0.0,0.000721,0.283,2e-07,128,elu,0.401,11410770,377
200,0.8878,0.012024,"[1024, 1024, 512]",True,128.0,False,True,cosine_wr,adam,0.0,0.000731,0.447,3e-06,32,elu,0.473,6597458,417
182,0.8877,0.012036,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000889,0.016,1.1e-05,128,elu,0.489,4527698,321
138,0.8876,0.012055,"[1024, 2048, 1024]",False,128.0,False,True,plateau,adam,0.0,0.000806,0.375,8.3e-06,32,elu,0.495,11980626,725
133,0.8874,0.012076,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adam,0.0,0.00051,0.448,7e-06,128,elu,0.358,19482450,561
66,0.8873,0.012086,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000712,0.166,1e-07,128,elu,0.622,19482450,421
120,0.8873,0.012082,"[2048, 2048, 1024]",True,64.0,False,True,plateau,adam,0.0,0.000388,0.217,2e-07,128,elu,0.307,19350226,386
74,0.8873,0.012081,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000554,0.233,1e-07,128,elu,0.514,19482450,448
191,0.8869,0.012128,"[2048, 1024, 512]",True,,False,True,plateau,adam,0.0,0.000684,0.096,8.4e-06,128,elu,0.309,11874898,473
172,0.8868,0.012138,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000716,0.052,1.43e-05,128,elu,0.486,4527698,362
145,0.8868,0.01214,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adam,0.0,0.00079,0.387,3.9e-06,128,elu,0.44,19482450,550
92,0.8868,0.012137,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000409,0.25,1e-07,128,elu,0.456,19482450,593
162,0.8867,0.012142,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000676,0.449,2.1e-06,128,elu,0.522,19482450,568
1,0.8867,0.012147,"[256, 512]",False,32.0,False,True,none,adam,0.0,0.002293,0.063,3e-06,64,elu,0.53,1127058,567
173,0.8866,0.012158,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000732,0.06,1.53e-05,128,elu,0.485,4527698,410
64,0.8865,0.012164,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000553,0.223,2e-07,128,elu,0.548,19482450,448
123,0.8865,0.01217,"[2048, 2048, 1024]",True,64.0,False,True,plateau,adam,0.0,0.000443,0.255,2e-07,128,elu,0.339,19350226,654
169,0.8864,0.012178,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000908,0.042,7.1e-06,128,elu,0.495,4527698,445
52,0.8864,0.01218,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000847,0.26,3e-06,128,elu,0.49,19482450,494
183,0.8863,0.01219,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.001023,0.055,9.9e-06,128,elu,0.521,4527698,440
195,0.8862,0.012196,"[2048, 1024, 512]",True,,False,True,plateau,adam,0.0,0.000562,0.42,7.3e-06,128,elu,0.309,11874898,554
82,0.8861,0.012206,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000431,0.24,1e-07,128,elu,0.468,19482450,416
54,0.8861,0.012215,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000589,0.239,2e-07,128,elu,0.463,19482450,343
134,0.886,0.012221,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adam,0.0,0.000362,0.39,6.1e-06,128,elu,0.359,19482450,698
165,0.8854,0.012289,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000776,0.427,6.5e-05,128,elu,0.561,19482450,575
118,0.8853,0.0123,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adam,0.0,0.000508,0.235,2e-07,128,elu,0.332,19482450,391
150,0.8853,0.012296,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000469,0.407,4.4e-06,128,elu,0.47,19482450,638
189,0.8852,0.012305,"[2048, 1024, 1024]",True,128.0,False,True,plateau,adam,0.0,0.000786,0.056,2.05e-05,128,elu,0.722,13184850,445
128,0.8851,0.012316,"[2048, 2048, 1024]",True,64.0,False,True,plateau,adam,0.0,0.000576,0.237,3e-07,128,elu,0.362,19350226,448
53,0.8851,0.012316,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000615,0.234,1e-07,128,elu,0.473,19482450,467
57,0.8851,0.012314,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000423,0.256,5e-07,128,elu,0.321,19482450,532
179,0.8851,0.012318,"[2048, 1024, 512]",True,128.0,False,True,plateau,adamw,0.0,0.000543,0.085,1.64e-05,128,elu,0.486,12002130,410
55,0.885,0.012324,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000418,0.249,1e-07,128,elu,0.455,19482450,508
67,0.8848,0.012352,"[2048, 2048, 512]",True,128.0,False,True,plateau,adamw,0.0,0.000762,0.169,2e-07,128,elu,0.685,17251154,389
125,0.8848,0.012353,"[2048, 2048, 1024]",True,64.0,False,True,plateau,adam,0.0,0.000325,0.201,1e-07,128,elu,0.373,19350226,422
63,0.8848,0.012349,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000516,0.225,3e-07,128,elu,0.547,19482450,435
180,0.8847,0.012356,"[1024, 512, 128]",True,128.0,False,True,plateau,adamw,0.0,0.000778,0.11,2.84e-05,128,elu,0.454,4527698,359
157,0.8846,0.012377,"[1024, 1024, 512]",True,128.0,False,True,none,adam,0.0,0.000728,0.438,3.3e-06,128,elu,0.434,6597458,653
113,0.8846,0.012375,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000705,0.205,1e-07,128,elu,0.455,19482450,615
29,0.8846,0.012369,"[1024, 256]",False,,False,True,none,adamw,1.0,0.000229,0.267,3e-07,128,relu,0.502,3838034,785
159,0.8843,0.012406,"[1024, 2048, 256]",False,64.0,False,True,plateau,adamw,0.0,0.000967,0.369,1e-07,64,elu,0.67,8599762,983
76,0.8842,0.012419,"[2048, 2048, 1024]",True,128.0,False,True,plateau,adamw,0.0,0.000483,0.23,3e-07,128,elu,0.518,19482450,763
