trial,val_r2,val_mse,hidden_dims,pre_bottleneck,shallow_decoder,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,n_params,epochs
48,0.8757,0.01333,"[256, 512]",64.0,False,True,0.00075,0.21,1e-06,64,relu,0.41,1160531,334
49,0.8737,0.01354,"[256, 512]",64.0,False,True,0.00068,0.19,1.4e-05,64,relu,0.42,1160531,313
85,0.871,0.01383,[64],32.0,False,True,0.00025,0.09,3.4e-05,16,leakyrelu,0.86,213075,600
83,0.8683,0.01412,[64],32.0,False,True,0.00024,0.15,3.5e-05,16,leakyrelu,0.86,213075,600
96,0.868,0.01415,[64],32.0,False,True,0.00017,0.08,3.5e-05,16,leakyrelu,0.87,213075,600
91,0.867,0.01426,[64],32.0,False,True,0.00016,0.08,3.2e-05,16,leakyrelu,0.86,213075,600
95,0.8663,0.01433,[64],32.0,False,True,0.00015,0.06,4.2e-05,16,leakyrelu,0.87,213075,600
92,0.8655,0.01442,[64],32.0,False,True,0.00016,0.09,3.4e-05,16,leakyrelu,0.83,213075,600
88,0.8653,0.01444,[64],32.0,False,True,0.00016,0.12,3.4e-05,16,leakyrelu,0.89,213075,600
94,0.8648,0.01449,[64],32.0,False,True,0.00016,0.08,4.2e-05,16,leakyrelu,0.87,213075,600
84,0.8626,0.01474,[64],32.0,False,True,0.00024,0.13,4.1e-05,16,leakyrelu,0.85,213075,600
67,0.8596,0.01505,[1024],8.0,False,True,0.00028,0.19,3e-06,16,relu,0.62,3325683,291
61,0.8591,0.01511,[1024],8.0,False,True,0.0002,0.16,7e-06,16,relu,0.45,3325683,449
80,0.8588,0.01514,[64],32.0,False,True,0.00025,0.15,6.3e-05,16,leakyrelu,0.76,213075,600
71,0.8581,0.01522,[64],8.0,False,True,0.00031,0.17,1e-06,16,leakyrelu,0.65,209523,565
90,0.8568,0.01535,[512],32.0,False,True,0.00014,0.13,0.000132,16,elu,0.86,1688787,600
72,0.856,0.01544,[64],8.0,False,True,0.0003,0.17,1e-06,16,leakyrelu,0.67,209523,600
81,0.8549,0.01555,[64],32.0,False,True,0.0002,0.15,7e-05,16,leakyrelu,0.8,213075,600
60,0.8528,0.01578,"[1024, 64]",8.0,False,True,0.00029,0.16,1e-06,16,relu,0.45,3441779,422
76,0.8505,0.01603,[64],8.0,False,True,0.00024,0.18,1e-06,16,leakyrelu,0.61,209523,600
82,0.8504,0.01604,[64],32.0,False,True,0.0002,0.26,6.7e-05,16,leakyrelu,0.8,213075,600
68,0.85,0.01608,[64],8.0,False,True,0.00029,0.19,1e-06,16,leakyrelu,0.6,209523,600
52,0.8491,0.01617,"[1024, 128]",4.0,False,True,0.00045,0.14,4e-06,16,relu,0.48,3573155,356
89,0.8487,0.01622,[64],32.0,True,True,0.00012,0.12,3.7e-05,16,leakyrelu,0.89,118631,600
54,0.8475,0.01635,"[1024, 128]",4.0,False,True,0.00026,0.11,1.1e-05,16,relu,0.54,3573155,274
62,0.8472,0.01638,[1024],8.0,False,True,0.00017,0.16,3.9e-05,16,relu,0.47,3325683,600
63,0.8463,0.01648,[1024],8.0,False,True,0.00017,0.16,4.5e-05,16,relu,0.45,3325683,600
50,0.8457,0.01654,"[1024, 512]",4.0,False,True,0.00042,0.15,1e-06,16,relu,0.49,4364963,209
66,0.8447,0.01665,[1024],8.0,False,True,0.00014,0.16,3.4e-05,16,relu,0.46,3325683,600
75,0.8446,0.01666,[64],8.0,False,True,0.00028,0.21,3.3e-05,16,leakyrelu,0.65,209523,600
86,0.8432,0.01681,[64],32.0,False,True,0.00025,0.1,9.9e-05,32,leakyrelu,0.85,213075,600
97,0.8432,0.01681,[64],32.0,False,True,0.00016,0.08,8.7e-05,32,leakyrelu,0.88,213075,600
100,0.8431,0.01682,[64],32.0,True,True,0.00012,0.04,3e-05,16,leakyrelu,0.88,118631,600
47,0.8431,0.01683,"[256, 512]",64.0,False,True,0.00066,0.2,8.5e-05,64,relu,0.42,1160531,208
53,0.842,0.01694,"[1024, 128]",4.0,False,True,0.00042,0.14,1e-05,16,relu,0.54,3573155,344
93,0.8415,0.01699,[64],32.0,False,True,0.00013,0.09,0.000103,16,leakyrelu,0.83,213075,600
73,0.8401,0.01714,[64],8.0,False,True,0.00032,0.17,6.6e-05,16,leakyrelu,0.67,209523,600
55,0.8388,0.01729,"[1024, 128]",4.0,False,True,0.00023,0.11,5.6e-05,16,leakyrelu,0.42,3573155,264
51,0.8361,0.01757,"[1024, 128]",4.0,False,True,0.00043,0.14,2.6e-05,16,relu,0.47,3573155,211
46,0.835,0.01769,"[256, 512]",64.0,False,True,0.00077,0.21,8.6e-05,64,relu,0.35,1160531,183
99,0.8318,0.01803,[64],32.0,False,True,0.00016,0.07,0.000175,16,leakyrelu,0.9,213075,600
57,0.8261,0.01864,"[1024, 128]",4.0,False,True,0.00017,0.13,0.000211,16,relu,0.62,3573155,222
69,0.8258,0.01867,[64],8.0,False,True,0.00031,0.18,7.9e-05,16,leakyrelu,0.62,209523,600
43,0.8253,0.01872,"[256, 512]",64.0,False,True,0.00107,0.22,9.7e-05,64,relu,0.34,1160531,185
64,0.8249,0.01877,[1024],8.0,False,True,0.0001,0.17,6.3e-05,16,relu,0.38,3325683,216
74,0.8245,0.01882,[64],8.0,False,True,0.00037,0.19,0.000102,16,leakyrelu,0.72,209523,595
56,0.8244,0.01882,"[1024, 128]",4.0,False,True,0.00027,0.09,0.000253,16,relu,0.53,3573155,159
87,0.8234,0.01893,[64],32.0,False,True,0.00022,0.05,0.000198,16,leakyrelu,0.83,213075,600
45,0.8233,0.01895,"[256, 512]",64.0,False,True,0.00075,0.21,0.000114,64,relu,0.32,1160531,168
44,0.8227,0.01901,"[256, 512]",64.0,False,True,0.00103,0.22,0.000118,64,relu,0.33,1160531,200
59,0.8203,0.01927,"[1024, 128]",4.0,False,True,0.00043,0.1,0.000179,16,leakyrelu,0.58,3573155,149
42,0.8188,0.01942,"[256, 512]",64.0,False,True,0.00106,0.23,0.000133,64,relu,0.33,1160531,166
79,0.8117,0.02018,[512],8.0,False,True,0.00036,0.17,0.000152,16,leakyrelu,0.56,1663731,232
41,0.8115,0.02021,"[256, 512]",64.0,False,True,0.00101,0.23,0.000146,64,relu,0.34,1160531,160
65,0.8083,0.02055,[1024],8.0,False,True,0.00022,0.12,0.000164,16,relu,0.51,3325683,291
58,0.8068,0.02071,[1024],4.0,False,True,0.0006,0.2,5.5e-05,16,relu,0.48,3317411,136
40,0.7948,0.022,"[256, 512]",64.0,False,False,0.00112,0.23,0.000325,64,relu,0.34,1157203,179
33,0.7929,0.0222,"[256, 512]",64.0,False,False,0.00099,0.24,0.000846,64,relu,0.27,1157203,174
29,0.7928,0.02221,"[256, 256, 64]",64.0,False,False,0.00202,0.07,0.000859,64,relu,0.29,1001171,585
21,0.7925,0.02225,"[128, 1024]",16.0,True,False,0.00193,0.18,0.000867,64,relu,0.23,367975,596
5,0.7919,0.02231,[256],16.0,True,False,0.00053,0.33,0.000861,32,elu,0.85,430055,329
37,0.7916,0.02234,"[1024, 512, 64]",32.0,False,False,0.00152,0.03,0.00068,64,relu,0.27,4424915,193
27,0.7909,0.02241,"[128, 1024]",64.0,False,False,0.00181,0.19,0.000865,64,relu,0.19,810835,195
20,0.7906,0.02245,"[128, 1024]",16.0,True,False,0.00051,0.17,0.000446,64,relu,0.24,367975,490
24,0.7899,0.02252,"[128, 1024]",16.0,True,False,0.00054,0.25,0.000824,64,relu,0.37,367975,411
77,0.7897,0.02255,[64],8.0,False,True,0.00019,0.24,0.000125,32,leakyrelu,0.78,209523,600
30,0.7892,0.0226,"[256, 256, 64, 64]",64.0,False,False,0.0042,0.07,0.000761,64,elu,0.3,1009491,109
13,0.7892,0.0226,[64],16.0,True,False,0.00035,0.11,0.000429,32,leakyrelu,0.5,117287,462
12,0.7888,0.02264,"[64, 128]",,True,False,0.00031,0.1,0.000394,32,leakyrelu,0.56,125351,431
70,0.7888,0.02264,[64],8.0,False,True,0.00021,0.19,0.000223,16,leakyrelu,0.74,209523,600
1,0.7886,0.02266,"[64, 128]",,True,False,0.00017,0.12,0.000366,32,leakyrelu,0.59,125351,600
34,0.7886,0.02266,"[256, 512, 1024]",64.0,False,False,0.00111,0.35,0.000764,64,relu,0.28,2273363,121
26,0.7877,0.02277,"[128, 1024, 512]",,True,False,0.00059,0.25,0.000731,64,relu,0.39,879847,344
16,0.7874,0.0228,[64],16.0,True,False,0.00024,0.03,0.000506,32,elu,0.45,117287,600
14,0.7868,0.02286,[128],16.0,True,False,0.00036,0.13,0.000915,32,leakyrelu,0.45,221543,347
2,0.7727,0.02437,[256],4.0,True,True,0.00076,0.22,0.000185,16,elu,0.17,427407,600
3,0.7582,0.02593,[1024],32.0,True,True,0.00243,0.28,0.000729,16,leakyrelu,0.36,1699751,141
78,0.7459,0.02724,[64],8.0,False,True,0.00014,0.16,0.00027,16,leakyrelu,0.59,209523,600
98,0.7199,0.03003,[64],32.0,False,True,0.0001,0.06,0.00046,16,leakyrelu,0.81,213075,600
4,0.6468,0.03786,[1024],64.0,False,True,0.00015,0.01,0.000636,64,elu,0.28,3441491,480
35,0.6429,0.03828,[256],64.0,False,True,0.00072,0.23,0.000607,64,relu,0.33,862547,213
38,0.5421,0.0491,"[256, 512, 64, 256]",4.0,False,True,0.00087,0.31,0.000819,64,elu,0.41,1196067,266
10,-0.1176,0.11981,"[128, 64, 1024]",8.0,True,True,0.00012,0.21,0.000541,64,elu,0.32,304887,600
23,-0.1543,0.12375,"[128, 1024, 128]",16.0,True,False,0.00483,0.17,0.000976,64,relu,0.24,484839,159
22,-0.1548,0.1238,"[128, 1024]",16.0,True,False,0.0019,0.18,0.000887,64,relu,0.22,367975,313
28,-0.1556,0.12389,"[512, 1024]",64.0,False,False,0.00177,0.19,0.00091,64,relu,0.15,2836051,112
32,-0.1583,0.12418,"[256, 256, 256]",64.0,False,False,0.00176,0.06,0.000858,64,relu,0.19,1124435,126
25,-0.1672,0.12514,"[128, 1024]",16.0,True,False,0.00095,0.33,0.000664,64,relu,0.11,367975,600
8,-0.1691,0.12534,"[64, 64, 512, 1024]",4.0,True,True,0.00328,0.25,0.000795,32,leakyrelu,0.12,686351,194
