province,year,week,diurnal_temp_range,consecutive_dry_weeks,consecutive_wet_weeks,extreme_rainfall_binary,cooling_degree_days,rainy_season_phase,school_calendar_active
01 Distrito Nacional,2015,1,8.400000000000002,1,0,0,6.420000000000002,0,0
01 Distrito Nacional,2015,2,9.100000000000001,2,0,0,5.84,0,0
01 Distrito Nacional,2015,3,8.5,0,0,0,6.109999999999999,0,0
01 Distrito Nacional,2015,4,9.100000000000001,1,0,0,6.140000000000001,0,0
01 Distrito Nacional,2015,5,8.8,0,0,0,5.210000000000001,0,1
01 Distrito Nacional,2015,6,8.2,1,0,0,5.829999999999998,0,1
01 Distrito Nacional,2015,7,9.5,2,0,0,6.260000000000002,0,1
01 Distrito Nacional,2015,8,11.200000000000003,0,0,0,5.739999999999998,0,1
01 Distrito Nacional,2015,9,9.7,0,0,0,6.109999999999999,0,1
01 Distrito Nacional,2015,10,8.5,0,0,0,5.800000000000001,0,1
01 Distrito Nacional,2015,11,10.099999999999998,0,0,0,6.309999999999999,0,1
01 Distrito Nacional,2015,12,9.599999999999998,1,0,0,6.359999999999999,0,1
01 Distrito Nacional,2015,13,9.0,2,0,0,6.899999999999999,0,1
01 Distrito Nacional,2015,14,9.200000000000003,0,0,0,6.359999999999999,0,1
01 Distrito Nacional,2015,15,8.2,0,0,0,6.739999999999998,0,1
01 Distrito Nacional,2015,16,9.3,1,0,0,7.27,0,1
01 Distrito Nacional,2015,17,9.3,2,0,0,7.739999999999998,1,1
01 Distrito Nacional,2015,18,8.399999999999999,3,0,0,8.489999999999998,1,1
01 Distrito Nacional,2015,19,9.900000000000002,4,0,0,7.91,1,1
01 Distrito Nacional,2015,20,9.5,5,0,0,8.14,1,1
01 Distrito Nacional,2015,21,8.8,0,0,0,8.370000000000001,1,1
01 Distrito Nacional,2015,22,8.8,0,0,0,7.77,1,1
01 Distrito Nacional,2015,23,8.2,1,0,0,8.46,1,1
01 Distrito Nacional,2015,24,8.5,0,0,0,8.690000000000001,1,1
01 Distrito Nacional,2015,25,9.399999999999999,0,0,0,8.91,1,1
01 Distrito Nacional,2015,26,8.7,0,0,0,8.27,1,1
01 Distrito Nacional,2015,27,9.300000000000004,0,0,0,9.16,1,0
01 Distrito Nacional,2015,28,9.899999999999999,0,0,0,8.8,1,0
01 Distrito Nacional,2015,29,9.099999999999998,0,0,0,8.59,1,0
01 Distrito Nacional,2015,30,9.800000000000004,1,0,0,9.030000000000001,1,0
01 Distrito Nacional,2015,31,9.999999999999996,2,0,0,9.71,1,0
01 Distrito Nacional,2015,32,9.2,0,0,0,9.29,1,0
01 Distrito Nacional,2015,33,9.8,0,0,0,9.23,1,0
01 Distrito Nacional,2015,34,9.399999999999999,1,0,0,9.34,1,0
01 Distrito Nacional,2015,35,9.899999999999999,0,1,1,8.93,1,1
01 Distrito Nacional,2015,36,8.600000000000001,1,0,0,8.899999999999999,1,1
01 Distrito Nacional,2015,37,9.100000000000001,0,0,0,8.7,1,1
01 Distrito Nacional,2015,38,8.3,0,0,0,8.399999999999999,1,1
01 Distrito Nacional,2015,39,7.399999999999999,0,0,0,8.670000000000002,1,1
01 Distrito Nacional,2015,40,7.699999999999999,1,0,0,9.36,1,1
01 Distrito Nacional,2015,41,9.700000000000003,0,0,0,9.2,1,1
01 Distrito Nacional,2015,42,8.0,0,0,0,8.86,1,1
01 Distrito Nacional,2015,43,8.600000000000001,0,0,0,8.29,1,1
01 Distrito Nacional,2015,44,9.0,0,0,0,7.5,1,1
01 Distrito Nacional,2015,45,7.699999999999999,0,0,0,7.100000000000001,1,1
01 Distrito Nacional,2015,46,7.200000000000003,0,0,0,7.370000000000001,1,1
01 Distrito Nacional,2015,47,9.299999999999997,0,0,0,6.390000000000001,1,1
01 Distrito Nacional,2015,48,9.5,0,0,0,6.260000000000002,0,1
01 Distrito Nacional,2015,49,7.600000000000001,0,0,0,6.73,0,1
01 Distrito Nacional,2015,50,7.599999999999998,0,0,0,6.469999999999999,0,1
01 Distrito Nacional,2015,51,8.2,0,0,0,5.859999999999999,0,1
01 Distrito Nacional,2015,52,8.099999999999998,0,0,0,6.510000000000002,0,0
01 Distrito Nacional,2016,1,9.8,1,0,0,5.84,0,0
01 Distrito Nacional,2016,2,9.399999999999999,2,0,0,6.010000000000002,0,0
01 Distrito Nacional,2016,3,10.899999999999999,3,0,0,6.199999999999999,0,0
01 Distrito Nacional,2016,4,9.600000000000001,0,0,0,5.899999999999999,0,0
01 Distrito Nacional,2016,5,9.899999999999999,1,0,0,5.670000000000002,0,1
01 Distrito Nacional,2016,6,9.599999999999998,2,0,0,6.329999999999998,0,1
01 Distrito Nacional,2016,7,9.400000000000002,0,0,0,5.84,0,1
01 Distrito Nacional,2016,8,9.599999999999998,1,0,0,6.260000000000002,0,1
01 Distrito Nacional,2016,9,8.5,2,0,0,6.969999999999999,0,1
01 Distrito Nacional,2016,10,9.5,0,0,0,5.859999999999999,0,1
01 Distrito Nacional,2016,11,10.299999999999997,0,0,0,6.670000000000002,0,1
01 Distrito Nacional,2016,12,8.3,0,0,0,7.390000000000001,0,1
01 Distrito Nacional,2016,13,9.2,0,0,0,6.84,0,1
01 Distrito Nacional,2016,14,8.2,0,0,0,7.199999999999999,0,1
01 Distrito Nacional,2016,15,9.8,1,0,0,7.640000000000001,0,1
01 Distrito Nacional,2016,16,8.8,0,0,0,7.559999999999999,0,1
01 Distrito Nacional,2016,17,9.599999999999998,0,1,1,6.390000000000001,0,1
01 Distrito Nacional,2016,18,7.600000000000001,0,0,0,6.899999999999999,1,1
01 Distrito Nacional,2016,19,6.199999999999999,0,0,0,7.260000000000002,1,1
01 Distrito Nacional,2016,20,7.300000000000001,0,0,0,7.989999999999998,1,1
01 Distrito Nacional,2016,21,7.699999999999999,0,0,0,7.73,1,1
01 Distrito Nacional,2016,22,7.900000000000002,0,1,1,7.129999999999999,1,1
01 Distrito Nacional,2016,23,7.0,0,0,0,8.260000000000002,1,1
01 Distrito Nacional,2016,24,8.3,0,0,0,8.41,1,1
01 Distrito Nacional,2016,25,7.5,0,0,0,7.469999999999999,1,1
01 Distrito Nacional,2016,26,8.2,0,0,0,7.899999999999999,1,1
01 Distrito Nacional,2016,27,7.599999999999998,0,0,0,8.629999999999999,1,0
01 Distrito Nacional,2016,28,8.3,0,0,0,8.399999999999999,1,0
01 Distrito Nacional,2016,29,8.0,0,0,0,8.54,1,0
01 Distrito Nacional,2016,30,8.2,0,0,0,8.29,1,0
01 Distrito Nacional,2016,31,8.3,0,1,1,7.870000000000001,1,0
01 Distrito Nacional,2016,32,7.800000000000001,0,0,0,8.57,1,0
01 Distrito Nacional,2016,33,8.900000000000002,1,0,0,9.030000000000001,1,0
01 Distrito Nacional,2016,34,8.0,0,0,0,7.93,1,0
01 Distrito Nacional,2016,35,9.7,0,0,0,8.86,1,1
01 Distrito Nacional,2016,36,9.500000000000004,0,0,0,8.23,1,1
01 Distrito Nacional,2016,37,8.700000000000003,1,0,0,8.21,1,1
01 Distrito Nacional,2016,38,8.3,0,0,0,8.5,1,1
01 Distrito Nacional,2016,39,8.899999999999999,0,0,0,8.600000000000001,1,1
01 Distrito Nacional,2016,40,7.899999999999999,0,1,1,7.969999999999999,1,1
01 Distrito Nacional,2016,41,7.600000000000001,0,0,0,8.36,1,1
01 Distrito Nacional,2016,42,6.0,0,0,0,7.739999999999998,1,1
01 Distrito Nacional,2016,43,6.900000000000002,0,0,0,7.670000000000002,1,1
01 Distrito Nacional,2016,44,6.800000000000001,0,0,0,6.859999999999999,1,1
01 Distrito Nacional,2016,45,7.400000000000002,0,0,0,6.890000000000001,1,1
