province,year,week,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors
01 Distrito Nacional,2015,1,1.0402996031503509,,,22
01 Distrito Nacional,2015,2,1.0642829063288928,1.0402996031503509,,22
01 Distrito Nacional,2015,3,0.6514203488750443,1.0642829063288928,1.0402996031503509,22
01 Distrito Nacional,2015,4,0.6531591385674507,0.6514203488750443,1.0642829063288928,22
01 Distrito Nacional,2015,5,1.0684372875060613,0.6531591385674507,0.6514203488750443,22
01 Distrito Nacional,2015,6,0.9232072192108242,1.0684372875060613,0.6531591385674507,22
01 Distrito Nacional,2015,7,0.7104143430859075,0.9232072192108242,1.0684372875060613,22
01 Distrito Nacional,2015,8,0.7744885371582073,0.7104143430859075,0.9232072192108242,22
01 Distrito Nacional,2015,9,1.2373292024837474,0.7744885371582073,0.7104143430859075,22
01 Distrito Nacional,2015,10,0.9313264403263266,1.2373292024837474,0.7744885371582073,22
01 Distrito Nacional,2015,11,0.8990079425456343,0.9313264403263266,1.2373292024837474,22
01 Distrito Nacional,2015,12,1.0558086008147414,0.8990079425456343,0.9313264403263266,22
01 Distrito Nacional,2015,13,1.0053782654673398,1.0558086008147414,0.8990079425456343,22
01 Distrito Nacional,2015,14,0.8164295512171549,1.0053782654673398,1.0558086008147414,22
01 Distrito Nacional,2015,15,0.7895036997744542,0.8164295512171549,1.0053782654673398,22
01 Distrito Nacional,2015,16,1.1490488013163824,0.7895036997744542,0.8164295512171549,22
01 Distrito Nacional,2015,17,0.9604835546513518,1.1490488013163824,0.7895036997744542,22
01 Distrito Nacional,2015,18,1.3769158891255031,0.9604835546513518,1.1490488013163824,22
01 Distrito Nacional,2015,19,1.1477806073291594,1.3769158891255031,0.9604835546513518,22
01 Distrito Nacional,2015,20,1.3182869670391373,1.1477806073291594,1.3769158891255031,22
01 Distrito Nacional,2015,21,0.9321760251970536,1.3182869670391373,1.1477806073291594,22
01 Distrito Nacional,2015,22,1.5385598376121212,0.9321760251970536,1.3182869670391373,22
01 Distrito Nacional,2015,23,1.600936472823249,1.5385598376121212,0.9321760251970536,22
01 Distrito Nacional,2015,24,1.7085379582089883,1.600936472823249,1.5385598376121212,22
01 Distrito Nacional,2015,25,1.859723165608862,1.7085379582089883,1.600936472823249,22
01 Distrito Nacional,2015,26,2.0706652601161153,1.859723165608862,1.7085379582089883,22
01 Distrito Nacional,2015,27,2.420304430170139,2.0706652601161153,1.859723165608862,22
01 Distrito Nacional,2015,28,2.940721438071132,2.420304430170139,2.0706652601161153,22
01 Distrito Nacional,2015,29,2.916209905948422,2.940721438071132,2.420304430170139,22
01 Distrito Nacional,2015,30,2.9343499807105635,2.916209905948422,2.940721438071132,22
01 Distrito Nacional,2015,31,4.006830778842376,2.9343499807105635,2.916209905948422,22
01 Distrito Nacional,2015,32,3.9581646731808027,4.006830778842376,2.9343499807105635,22
01 Distrito Nacional,2015,33,4.368782107636225,3.9581646731808027,4.006830778842376,22
01 Distrito Nacional,2015,34,4.313470778987405,4.368782107636225,3.9581646731808027,22
01 Distrito Nacional,2015,35,4.35824066944088,4.313470778987405,4.368782107636225,22
