year,week,nino34_anom,oni_index,soi_index
2015,1,0.75,0.0,-1.4
2015,1,0.75,0.0,-0.8
2015,2,0.75,0.0,-1.4
2015,2,0.75,0.0,-0.8
2015,3,0.75,0.0,-1.4
2015,3,0.75,0.0,-0.8
2015,4,0.75,0.0,-1.4
2015,4,0.75,0.0,-0.8
2015,5,0.75,0.0,-1.4
2015,5,0.75,0.0,-0.8
2015,6,0.87,0.0,0.4
2015,6,0.87,0.0,0.2
2015,7,0.87,0.0,0.4
2015,7,0.87,0.0,0.2
2015,8,0.87,0.0,0.4
2015,8,0.87,0.0,0.2
2015,9,0.87,0.0,0.4
2015,9,0.87,0.0,0.2
2015,10,0.9,0.0,-1.2
2015,10,0.9,0.0,-0.7
2015,11,0.9,0.0,-1.2
2015,11,0.9,0.0,-0.7
2015,12,0.9,0.0,-1.2
2015,12,0.9,0.0,-0.7
2015,13,0.9,0.0,-1.2
2015,13,0.9,0.0,-0.7
2015,14,0.98,0.0,-0.1
2015,14,0.98,0.0,-0.0
2015,15,0.98,0.0,-0.1
2015,15,0.98,0.0,-0.0
2015,16,0.98,0.0,-0.1
2015,16,0.98,0.0,-0.0
2015,17,0.98,0.0,-0.1
2015,17,0.98,0.0,-0.0
2015,18,0.98,0.0,-0.1
2015,18,0.98,0.0,-0.0
2015,19,0.94,0.0,-1.2
2015,19,0.94,0.0,-0.7
2015,20,0.94,0.0,-1.2
2015,20,0.94,0.0,-0.7
2015,21,0.94,0.0,-1.2
2015,21,0.94,0.0,-0.7
2015,22,0.94,0.0,-1.2
2015,22,0.94,0.0,-0.7
2015,23,0.92,0.0,-0.9
2015,23,0.92,0.0,-0.6
2015,24,0.92,0.0,-0.9
2015,24,0.92,0.0,-0.6
2015,25,0.92,0.0,-0.9
2015,25,0.92,0.0,-0.6
2015,26,0.92,0.0,-0.9
2015,26,0.92,0.0,-0.6
2015,27,0.88,0.0,-1.9
2015,27,0.88,0.0,-1.1
2015,28,0.88,0.0,-1.9
2015,28,0.88,0.0,-1.1
2015,29,0.88,0.0,-1.9
2015,29,0.88,0.0,-1.1
2015,30,0.88,0.0,-1.9
2015,30,0.88,0.0,-1.1
2015,31,0.88,0.0,-1.9
2015,31,0.88,0.0,-1.1
2015,32,0.99,0.0,-2.4
2015,32,0.99,0.0,-1.4
2015,33,0.99,0.0,-2.4
2015,33,0.99,0.0,-1.4
2015,34,0.99,0.0,-2.4
2015,34,0.99,0.0,-1.4
2015,35,0.99,0.0,-2.4
2015,35,0.99,0.0,-1.4
2015,36,1.06,0.0,-2.7
2015,36,1.06,0.0,-1.6
2015,37,1.06,0.0,-2.7
2015,37,1.06,0.0,-1.6
2015,38,1.06,0.0,-2.7
2015,38,1.06,0.0,-1.6
2015,39,1.06,0.0,-2.7
2015,39,1.06,0.0,-1.6
2015,40,1.08,0.0,-2.8
2015,40,1.08,0.0,-1.7
2015,41,1.08,0.0,-2.8
2015,41,1.08,0.0,-1.7
2015,42,1.08,0.0,-2.8
2015,42,1.08,0.0,-1.7
2015,43,1.08,0.0,-2.8
2015,43,1.08,0.0,-1.7
2015,44,1.08,0.0,-2.8
2015,44,1.08,0.0,-1.7
2015,45,1.44,0.0,-0.8
2015,45,1.44,0.0,-0.5
2015,46,1.44,0.0,-0.8
2015,46,1.44,0.0,-0.5
2015,47,1.44,0.0,-0.8
2015,47,1.44,0.0,-0.5
2015,48,1.44,0.0,-0.8
2015,48,1.44,0.0,-0.5
2015,49,1.37,0.0,-0.9
2015,49,1.37,0.0,-0.6
2015,50,1.37,0.0,-0.9
2015,50,1.37,0.0,-0.6
2015,51,1.37,0.0,-0.9
2015,51,1.37,0.0,-0.6
2015,52,1.37,0.0,-0.9
2015,52,1.37,0.0,-0.6
2016,1,1.22,0.0,-3.6
2016,1,1.22,0.0,-2.2
2016,2,1.22,0.0,-3.6
2016,2,1.22,0.0,-2.2
2016,3,1.22,0.0,-3.6
2016,3,1.22,0.0,-2.2
2016,4,1.22,0.0,-3.6
2016,4,1.22,0.0,-2.2
2016,5,1.22,0.0,-3.6
2016,5,1.22,0.0,-2.2
2016,6,1.22,0.0,-3.2
2016,6,1.22,0.0,-2.0
2016,7,1.22,0.0,-3.2
2016,7,1.22,0.0,-2.0
2016,8,1.22,0.0,-3.2
2016,8,1.22,0.0,-2.0
2016,9,1.22,0.0,-3.2
2016,9,1.22,0.0,-2.0
2016,10,1.07,0.0,-0.1
2016,10,1.07,0.0,-0.1
2016,11,1.07,0.0,-0.1
2016,11,1.07,0.0,-0.1
2016,12,1.07,0.0,-0.1
2016,12,1.07,0.0,-0.1
2016,13,1.07,0.0,-0.1
2016,13,1.07,0.0,-0.1
2016,14,0.74,0.0,-2.0
2016,14,0.74,0.0,-1.2
2016,15,0.74,0.0,-2.0
2016,15,0.74,0.0,-1.2
2016,16,0.74,0.0,-2.0
2016,16,0.74,0.0,-1.2
