year,week,tna_sst_anom,caribbean_sst_anom
2015,1,0.17,0.0
2015,2,0.17,0.0
2015,3,0.17,0.0
2015,4,0.17,0.0
2015,5,0.17,0.0
2015,6,0.11,0.0
2015,7,0.11,0.0
2015,8,0.11,0.0
2015,9,0.11,0.0
2015,10,-0.11,0.0
2015,11,-0.11,0.0
2015,12,-0.11,0.0
2015,13,-0.11,0.0
2015,14,-0.24,0.0
2015,15,-0.24,0.0
2015,16,-0.24,0.0
2015,17,-0.24,0.0
2015,18,-0.24,0.0
2015,19,0.08,0.0
2015,20,0.08,0.0
2015,21,0.08,0.0
2015,22,0.08,0.0
2015,23,-0.07,0.0
2015,24,-0.07,0.0
2015,25,-0.07,0.0
2015,26,-0.07,0.0
2015,27,0.16,0.0
2015,28,0.16,0.0
2015,29,0.16,0.0
2015,30,0.16,0.0
2015,31,0.16,0.0
2015,32,0.43,0.0
2015,33,0.43,0.0
2015,34,0.43,0.0
2015,35,0.43,0.0
2015,36,0.72,0.0
2015,37,0.72,0.0
2015,38,0.72,0.0
2015,39,0.72,0.0
2015,40,0.93,0.0
2015,41,0.93,0.0
2015,42,0.93,0.0
2015,43,0.93,0.0
2015,44,0.93,0.0
2015,45,0.49,0.0
2015,46,0.49,0.0
2015,47,0.49,0.0
2015,48,0.49,0.0
2015,49,0.42,0.0
2015,50,0.42,0.0
2015,51,0.42,0.0
2015,52,0.42,0.0
2016,1,0.5,0.0
2016,2,0.5,0.0
2016,3,0.5,0.0
2016,4,0.5,0.0
2016,5,0.5,0.0
2016,6,0.45,0.0
2016,7,0.45,0.0
2016,8,0.45,0.0
2016,9,0.45,0.0
2016,10,0.39,0.0
2016,11,0.39,0.0
2016,12,0.39,0.0
2016,13,0.39,0.0
2016,14,0.32,0.0
2016,15,0.32,0.0
2016,16,0.32,0.0
2016,17,0.32,0.0
2016,18,0.32,0.0
2016,19,0.38,0.0
2016,20,0.38,0.0
2016,21,0.38,0.0
2016,22,0.38,0.0
2016,23,0.39,0.0
2016,24,0.39,0.0
2016,25,0.39,0.0
2016,26,0.39,0.0
2016,27,0.37,0.0
2016,28,0.37,0.0
2016,29,0.37,0.0
2016,30,0.37,0.0
2016,31,0.37,0.0
2016,32,0.49,0.0
2016,33,0.49,0.0
2016,34,0.49,0.0
2016,35,0.49,0.0
2016,36,0.39,0.0
2016,37,0.39,0.0
2016,38,0.39,0.0
2016,39,0.39,0.0
2016,40,0.55,0.0
2016,41,0.55,0.0
2016,42,0.55,0.0
2016,43,0.55,0.0
2016,44,0.55,0.0
2016,45,0.46,0.0
2016,46,0.46,0.0
2016,47,0.46,0.0
2016,48,0.46,0.0
2016,49,0.52,0.0
2016,50,0.52,0.0
2016,51,0.52,0.0
2016,52,0.52,0.0
2017,1,0.49,0.0
2017,2,0.49,0.0
2017,3,0.49,0.0
2017,4,0.49,0.0
2017,5,0.49,0.0
2017,6,0.23,0.0
2017,7,0.23,0.0
2017,8,0.23,0.0
2017,9,0.23,0.0
2017,10,0.13,0.0
2017,11,0.13,0.0
2017,12,0.13,0.0
2017,13,0.13,0.0
2017,14,0.47,0.0
2017,15,0.47,0.0
2017,16,0.47,0.0
2017,17,0.47,0.0
2017,18,0.47,0.0
2017,19,0.58,0.0
2017,20,0.58,0.0
2017,21,0.58,0.0
2017,22,0.58,0.0
2017,23,0.6,0.0
2017,24,0.6,0.0
2017,25,0.6,0.0
2017,26,0.6,0.0
2017,27,0.6,0.0
2017,28,0.6,0.0
2017,29,0.6,0.0
2017,30,0.6,0.0
2017,31,0.6,0.0
2017,32,0.67,0.0
2017,33,0.67,0.0
2017,34,0.67,0.0
2017,35,0.67,0.0
2017,36,0.52,0.0
2017,37,0.52,0.0
2017,38,0.52,0.0
2017,39,0.52,0.0
2017,40,0.45,0.0
2017,41,0.45,0.0
2017,42,0.45,0.0
2017,43,0.45,0.0
2017,44,0.45,0.0
2017,45,0.53,0.0
2017,46,0.53,0.0
2017,47,0.53,0.0
2017,48,0.53,0.0
2017,49,0.54,0.0
2017,50,0.54,0.0
2017,51,0.54,0.0
2017,52,0.54,0.0
2018,1,0.28,0.0
2018,2,0.28,0.0
2018,3,0.28,0.0
2018,4,0.28,0.0
2018,5,0.28,0.0
2018,6,-0.09,0.0
2018,7,-0.09,0.0
2018,8,-0.09,0.0
2018,9,-0.09,0.0
2018,10,0.02,0.0
2018,11,0.02,0.0
2018,12,0.02,0.0
2018,13,0.02,0.0
2018,14,-0.17,0.0
2018,15,-0.17,0.0
2018,16,-0.17,0.0
2018,17,-0.17,0.0
2018,18,-0.17,0.0
2018,19,-0.4,0.0
2018,20,-0.4,0.0
2018,21,-0.4,0.0
2018,22,-0.4,0.0
2018,23,-0.48,0.0
2018,24,-0.48,0.0
2018,25,-0.48,0.0
2018,26,-0.48,0.0
2018,27,-0.21,0.0
2018,28,-0.21,0.0
2018,29,-0.21,0.0
2018,30,-0.21,0.0
2018,31,-0.21,0.0
2018,32,0.01,0.0
2018,33,0.01,0.0
2018,34,0.01,0.0
2018,35,0.01,0.0
2018,36,0.33,0.0
2018,37,0.33,0.0
2018,38,0.33,0.0
2018,39,0.33,0.0
2018,40,0.29,0.0
2018,41,0.29,0.0
2018,42,0.29,0.0
2018,43,0.29,0.0
2018,44,0.29,0.0
2018,45,-0.01,0.0
2018,46,-0.01,0.0
2018,47,-0.01,0.0
2018,48,-0.01,0.0
2018,49,-0.04,0.0
2018,50,-0.04,0.0
2018,51,-0.04,0.0
2018,52,-0.04,0.0
2019,1,0.08,0.0
2019,2,0.08,0.0
2019,3,0.08,0.0
2019,4,0.08,0.0
2019,5,0.08,0.0
2019,6,0.14,0.0
2019,7,0.14,0.0
2019,8,0.14,0.0
2019,9,0.14,0.0
2019,10,0.01,0.0
2019,11,0.01,0.0
2019,12,0.01,0.0
2019,13,0.01,0.0
2019,14,-0.02,0.0
2019,15,-0.02,0.0
2019,16,-0.02,0.0
2019,17,-0.02,0.0
2019,18,-0.02,0.0
2019,19,0.12,0.0
2019,20,0.12,0.0
2019,21,0.12,0.0
2019,22,0.12,0.0
