province,year,week,ndvi_mean,lst_day_mean,lst_night_mean
01 Distrito Nacional,2015,1,,,
02 Azua,2015,1,,,
03 Baoruco,2015,1,,,
04 Barahona,2015,1,,,
05 Dajabón,2015,1,,,
06 Duarte,2015,1,,,
07 Elías Piña,2015,1,,,
08 El Seibo,2015,1,,,
09 Espaillat,2015,1,,,
10 Independencia,2015,1,,,
11 La Altagracia,2015,1,,,
12 La Romana,2015,1,,,
13 La Vega,2015,1,,,
14 María Trinidad Sánchez,2015,1,,,
15 Monte Cristi,2015,1,,,
16 Pedernales,2015,1,,,
17 Peravia,2015,1,,,
18 Puerto Plata,2015,1,,,
19 Hermanas Mirabal,2015,1,,,
20 Samaná,2015,1,,,
21 San Cristóbal,2015,1,,,
22 San Juan,2015,1,,,
23 San Pedro de Macorís,2015,1,,,
24 Sánchez Ramírez,2015,1,,,
25 Santiago,2015,1,,,
26 Santiago Rodríguez,2015,1,,,
27 Valverde,2015,1,,,
28 Monseñor Nouel,2015,1,,,
29 Monte Plata,2015,1,,,
30 Hato Mayor,2015,1,,,
31 San José de Ocoa,2015,1,,,
32 Santo Domingo,2015,1,,,
01 Distrito Nacional,2015,2,,,
02 Azua,2015,2,,,
03 Baoruco,2015,2,,,
04 Barahona,2015,2,,,
05 Dajabón,2015,2,,,
06 Duarte,2015,2,,,
07 Elías Piña,2015,2,,,
08 El Seibo,2015,2,,,
09 Espaillat,2015,2,,,
10 Independencia,2015,2,,,
11 La Altagracia,2015,2,,,
12 La Romana,2015,2,,,
13 La Vega,2015,2,,,
14 María Trinidad Sánchez,2015,2,,,
15 Monte Cristi,2015,2,,,
16 Pedernales,2015,2,,,
17 Peravia,2015,2,,,
18 Puerto Plata,2015,2,,,
19 Hermanas Mirabal,2015,2,,,
20 Samaná,2015,2,,,
21 San Cristóbal,2015,2,,,
22 San Juan,2015,2,,,
23 San Pedro de Macorís,2015,2,,,
24 Sánchez Ramírez,2015,2,,,
25 Santiago,2015,2,,,
26 Santiago Rodríguez,2015,2,,,
27 Valverde,2015,2,,,
28 Monseñor Nouel,2015,2,,,
29 Monte Plata,2015,2,,,
30 Hato Mayor,2015,2,,,
31 San José de Ocoa,2015,2,,,
32 Santo Domingo,2015,2,,,
01 Distrito Nacional,2015,3,,,
02 Azua,2015,3,,,
03 Baoruco,2015,3,,,
04 Barahona,2015,3,,,
05 Dajabón,2015,3,,,
06 Duarte,2015,3,,,
07 Elías Piña,2015,3,,,
08 El Seibo,2015,3,,,
09 Espaillat,2015,3,,,
10 Independencia,2015,3,,,
11 La Altagracia,2015,3,,,
12 La Romana,2015,3,,,
13 La Vega,2015,3,,,
14 María Trinidad Sánchez,2015,3,,,
15 Monte Cristi,2015,3,,,
16 Pedernales,2015,3,,,
17 Peravia,2015,3,,,
18 Puerto Plata,2015,3,,,
19 Hermanas Mirabal,2015,3,,,
20 Samaná,2015,3,,,
21 San Cristóbal,2015,3,,,
22 San Juan,2015,3,,,
23 San Pedro de Macorís,2015,3,,,
24 Sánchez Ramírez,2015,3,,,
25 Santiago,2015,3,,,
