province_id,province_name,latitude,longitude
01,Distrito Nacional,18.479,-69.900
02,Azua,18.453,-70.734
03,Baoruco,18.488,-71.418
04,Barahona,18.213,-71.100
05,Dajabón,19.547,-71.708
06,Duarte,19.203,-70.030
07,Elías Piña,18.874,-71.703
08,El Seibo,18.766,-69.040
09,Espaillat,19.622,-70.278
10,Independencia,18.508,-71.852
11,La Altagracia,18.620,-68.707
12,La Romana,18.427,-69.021
13,La Vega,19.221,-70.529
14,María Trinidad Sánchez,19.372,-69.851
15,Monte Cristi,19.862,-71.645
16,Pedernales,17.899,-71.743
17,Peravia,18.273,-70.330
18,Puerto Plata,19.793,-70.691
19,Hermanas Mirabal,19.374,-70.362
20,Samaná,19.205,-69.336
21,San Cristóbal,18.418,-70.106
22,San Juan,18.806,-71.228
23,San Pedro de Macorís,18.461,-69.305
24,Sánchez Ramírez,19.050,-70.145
25,Santiago,19.451,-70.697
26,Santiago Rodríguez,19.481,-71.340
27,Valverde,19.588,-71.069
28,Monseñor Nouel,18.922,-70.386
29,Monte Plata,18.806,-69.786
30,Hato Mayor,18.763,-69.256
31,San José de Ocoa,18.544,-70.504
32,Santo Domingo,18.548,-69.848
