feature,min,max
total_cases,0.0,797.0
avg_temp,20.24,30.96
max_temp,24.2,40.3
min_temp,12.2,26.5
avg_rainfall,0.0,37.23
max_rainfall,0.0,231.4
min_rainfall,0.0,8.1
avg_humidity,49.0,94.3
max_humidity,72.0,100.0
min_humidity,14.0,77.0
population,33439.0,3057142.0
diurnal_temp_range,3.8000000000000007,18.9
consecutive_dry_weeks,0.0,25.0
consecutive_wet_weeks,0.0,4.0
extreme_rainfall_binary,0.0,1.0
cooling_degree_days,2.2399999999999984,12.96
rainy_season_phase,0.0,1.0
school_calendar_active,0.0,1.0
neighbor_incidence_lag0,0.0,28.17958619600539
neighbor_incidence_lag1,0.0,28.17958619600539
neighbor_incidence_lag2,0.0,28.17958619600539
n_neighbors,7.0,26.0
nino34_anom,-1.17,1.51
soi_index,-2.9000000000000004,2.8
tna_sst_anom,-0.48,1.43
solar_radiation,2.605742857142858,7.3430285714285715
wind_speed,0.4142857142857142,8.235714285714286
dew_point_temp,10.904285714285717,26.391428571428573
incidence,0.0,51.36580354555752
dI_dt,-25.68290177277876,20.638285896545906
dI_dt_norm,-14.070018277388408,9.40714932163194
