,dz1/dt,dz2/dt,dz3/dt
1,-11.281789640959225,1.837012742029266,0.0
z1,-0.45006665840011184,0.27432381769261766,-0.19377532331819358
z2,0.0,0.0,0.0
z3,0.0,0.0,0.0
z1^2,0.0,-0.10624037070031864,-0.061400492521599376
z1 z2,0.0,0.0,0.0
z1 z3,0.0,-0.07383043782544586,-0.1517784669435082
z2^2,0.0,0.0,0.0
z2 z3,0.0,0.0,0.0
z3^2,0.0,0.0,0.0
nino34_anom,10.218040917525013,0.8347757182769138,0.9459098484381562
soi_index,0.0,0.0,0.0
neighbor_incidence_lag1,23.44547516169681,-9.297600848947905,-1.647816085788602
neighbor_incidence_lag2,0.0,0.0,0.0
avg_rainfall,0.0,0.0,0.0
max_rainfall,0.0,0.0,0.0
avg_temp,0.0,0.0,0.0
consecutive_dry_weeks,0.0,0.0,0.0
consecutive_wet_weeks,18.99006801016831,3.5850846067581825,8.957826227295994
avg_humidity,0.0,0.0,0.0
solar_radiation,7.866568556242703,-2.6667333133005604,0.15588477118584787
