province,year,r2,cluster_id,split
02 Azua,2020,-1.8445,0,val
02 Azua,2021,-1.8196,0,val
22 San Juan,2020,-1.6699,0,val
22 San Juan,2021,-1.9023,0,val
31 San José de Ocoa,2020,-1.6383,0,val
31 San José de Ocoa,2021,-2.6132,0,val
02 Azua,2022,-1.1373,0,test
02 Azua,2023,-1.2522,0,test
22 San Juan,2022,-1.8579,0,test
22 San Juan,2023,-2.1443,0,test
31 San José de Ocoa,2022,-2.0196,0,test
31 San José de Ocoa,2023,-1.4981,0,test
03 Baoruco,2020,-1.5348,1,val
03 Baoruco,2021,-1.0982,1,val
05 Dajabón,2020,-2.1316,1,val
05 Dajabón,2021,-2.1844,1,val
07 Elías Piña,2020,-2.4781,1,val
07 Elías Piña,2021,-1.9751,1,val
10 Independencia,2020,-1.4251,1,val
10 Independencia,2021,-1.7788,1,val
26 Santiago Rodríguez,2020,-1.8525,1,val
26 Santiago Rodríguez,2021,-2.1728,1,val
27 Valverde,2020,-1.547,1,val
27 Valverde,2021,-1.7434,1,val
03 Baoruco,2022,-1.4192,1,test
03 Baoruco,2023,-2.2443,1,test
05 Dajabón,2022,-1.9516,1,test
05 Dajabón,2023,-1.625,1,test
07 Elías Piña,2022,-1.199,1,test
07 Elías Piña,2023,-1.9989,1,test
10 Independencia,2022,-1.4983,1,test
10 Independencia,2023,-1.6796,1,test
26 Santiago Rodríguez,2022,-0.7238,1,test
26 Santiago Rodríguez,2023,-1.3854,1,test
27 Valverde,2022,-1.2368,1,test
27 Valverde,2023,-1.3285,1,test
08 El Seibo,2020,-1.3124,2,val
08 El Seibo,2021,-2.0208,2,val
11 La Altagracia,2020,-1.2971,2,val
11 La Altagracia,2021,-2.1335,2,val
12 La Romana,2020,-1.2745,2,val
12 La Romana,2021,-1.9142,2,val
15 Monte Cristi,2020,-1.353,2,val
15 Monte Cristi,2021,-2.8719,2,val
16 Pedernales,2020,-1.5199,2,val
16 Pedernales,2021,-1.9243,2,val
08 El Seibo,2022,-1.7113,2,test
08 El Seibo,2023,-1.7041,2,test
11 La Altagracia,2022,-1.0996,2,test
11 La Altagracia,2023,-2.1275,2,test
12 La Romana,2022,-1.1728,2,test
12 La Romana,2023,-1.87,2,test
