level,cluster,output_dim,feature,coefficient
global,all,z1,lag0_z1,0.529219
global,all,z1,lag0_z3,0.139046
global,all,z1,lag1_z1,0.158872
global,all,z1,lag3_z1,0.123042
global,all,z1,lag5_z2,0.066048
global,all,z1,lag5_z5,-0.059915
global,all,z1,lag5_z6,-0.074458
cluster_delta,0,z1,1,0.075329
cluster_delta,0,z1,lag0_z2,-0.171409
cluster_delta,0,z1,lag0_z5,-0.105889
cluster_delta,0,z1,lag1_z5,0.153221
cluster_delta,0,z1,lag2_z2,0.122226
cluster_delta,0,z1,lag2_z5,0.11482
cluster_delta,0,z1,lag3_z2,-0.148453
cluster_delta,0,z1,lag3_z5,-0.121115
cluster_delta,0,z1,lag4_z1,0.072362
cluster_delta,0,z1,lag4_z2,0.064971
cluster_delta,0,z1,lag4_z3,-0.066804
cluster_delta,0,z1,lag4_z4,0.091979
cluster_delta,0,z1,lag4_z5,0.227005
cluster_delta,0,z1,lag5_z1,-0.167508
cluster_delta,0,z1,lag5_z2,0.108589
cluster_delta,0,z1,lag5_z3,0.05018
cluster_delta,0,z1,lag5_z4,-0.138474
cluster_delta,0,z1,lag5_z5,-0.173557
cluster_delta,1,z1,1,0.240345
cluster_delta,1,z1,lag0_z1,-0.103951
cluster_delta,1,z1,lag0_z2,-0.201669
cluster_delta,1,z1,lag0_z3,0.094105
cluster_delta,1,z1,lag0_z5,-0.230552
cluster_delta,1,z1,lag0_z6,0.164737
cluster_delta,1,z1,lag1_z2,0.087247
cluster_delta,1,z1,lag1_z4,-0.069683
cluster_delta,1,z1,lag1_z5,0.115623
cluster_delta,1,z1,lag1_z6,-0.056621
cluster_delta,1,z1,lag2_z1,0.068171
cluster_delta,1,z1,lag2_z2,0.085464
cluster_delta,1,z1,lag2_z3,-0.117641
cluster_delta,1,z1,lag2_z5,0.189768
cluster_delta,1,z1,lag2_z6,-0.159332
cluster_delta,1,z1,lag4_z3,0.079699
cluster_delta,1,z1,lag5_z1,-0.076097
cluster_delta,1,z1,lag5_z4,-0.077619
cluster_delta,2,z1,1,-0.187888
cluster_delta,2,z1,lag0_z1,-0.127059
cluster_delta,2,z1,lag0_z2,-0.267776
cluster_delta,2,z1,lag0_z3,0.180891
cluster_delta,2,z1,lag0_z5,-0.244765
cluster_delta,2,z1,lag0_z6,0.135728
cluster_delta,2,z1,lag1_z2,0.065867
cluster_delta,2,z1,lag1_z5,0.133196
cluster_delta,2,z1,lag3_z4,0.089719
cluster_delta,2,z1,lag4_z1,0.120109
cluster_delta,2,z1,lag4_z2,0.100392
cluster_delta,2,z1,lag4_z3,-0.112572
cluster_delta,2,z1,lag4_z4,-0.093033
cluster_delta,2,z1,lag4_z5,0.113292
cluster_delta,2,z1,lag4_z6,-0.105717
cluster_delta,2,z1,lag5_z1,-0.072574
cluster_delta,2,z1,lag5_z4,-0.056524
cluster_delta,3,z1,lag0_z2,-0.104809
cluster_delta,3,z1,lag2_z2,0.069737
cluster_delta,4,z1,1,-0.065219
cluster_delta,4,z1,lag0_z3,0.073623
cluster_delta,4,z1,lag1_z1,-0.092616
cluster_delta,4,z1,lag1_z4,-0.06663
cluster_delta,4,z1,lag3_z1,-0.08959
cluster_delta,4,z1,lag4_z1,0.108403
cluster_delta,4,z1,lag4_z5,0.064643
cluster_delta,4,z1,lag4_z6,-0.096507
global,all,z2,lag0_z1,-0.16892
global,all,z2,lag0_z2,0.657774
global,all,z2,lag0_z3,0.152945
global,all,z2,lag0_z6,0.079214
global,all,z2,lag1_z2,0.158858
global,all,z2,lag1_z4,-0.062003
global,all,z2,lag2_z1,0.084552
global,all,z2,lag2_z2,0.089926
global,all,z2,lag2_z5,0.05761
global,all,z2,lag2_z6,-0.067113
global,all,z2,lag3_z3,-0.110756
global,all,z2,lag3_z6,-0.083834
global,all,z2,lag4_z6,0.094582
global,all,z2,lag5_z3,-0.097957
cluster_delta,0,z2,lag2_z5,0.065397
cluster_delta,0,z2,lag3_z2,-0.069573
cluster_delta,0,z2,lag4_z2,0.094317
cluster_delta,0,z2,lag4_z6,-0.087019
cluster_delta,0,z2,lag5_z6,0.064529
cluster_delta,1,z2,1,0.061888
cluster_delta,1,z2,lag0_z1,0.065032
cluster_delta,1,z2,lag0_z3,-0.060915
cluster_delta,1,z2,lag0_z5,0.10503
cluster_delta,1,z2,lag0_z6,-0.050732
cluster_delta,1,z2,lag2_z1,-0.086749
cluster_delta,1,z2,lag2_z5,-0.094214
cluster_delta,1,z2,lag3_z3,0.073712
cluster_delta,1,z2,lag3_z6,0.058242
global,all,z3,lag0_z2,0.120272
global,all,z3,lag0_z3,0.538797
global,all,z3,lag1_z3,0.106163
global,all,z3,lag2_z3,0.131446
global,all,z3,lag2_z5,-0.145509
global,all,z3,lag3_z4,-0.109191
global,all,z3,lag4_z3,0.105339
global,all,z3,lag4_z5,-0.055085
global,all,z3,lag5_z5,0.088106
cluster_delta,0,z3,lag0_z2,0.111291
cluster_delta,0,z3,lag1_z2,-0.116479
cluster_delta,0,z3,lag1_z5,-0.115858
cluster_delta,0,z3,lag2_z2,0.091399
cluster_delta,0,z3,lag2_z4,-0.080087
cluster_delta,0,z3,lag2_z5,0.077824
cluster_delta,0,z3,lag3_z2,-0.125402
cluster_delta,0,z3,lag3_z3,0.092387
cluster_delta,0,z3,lag3_z4,0.082358
cluster_delta,0,z3,lag4_z3,-0.08557
cluster_delta,1,z3,1,-0.050897
cluster_delta,2,z3,lag3_z2,-0.054196
cluster_delta,4,z3,lag0_z2,-0.118333
cluster_delta,4,z3,lag0_z4,0.075394
cluster_delta,4,z3,lag0_z5,-0.083123
cluster_delta,4,z3,lag0_z6,0.109585
cluster_delta,4,z3,lag2_z5,0.072847
cluster_delta,4,z3,lag3_z1,0.05079
cluster_delta,4,z3,lag3_z2,0.105758
cluster_delta,4,z3,lag3_z4,-0.072649
cluster_delta,4,z3,lag3_z6,-0.13629
cluster_delta,4,z3,lag4_z2,-0.071706
cluster_delta,4,z3,lag5_z1,-0.112315
cluster_delta,4,z3,lag5_z2,0.077106
cluster_delta,4,z3,lag5_z6,0.080607
global,all,z4,lag0_z1,-0.108896
global,all,z4,lag0_z3,0.084863
global,all,z4,lag0_z4,0.773612
global,all,z4,lag1_z3,-0.074475
global,all,z4,lag2_z1,0.130788
global,all,z4,lag2_z2,0.119946
global,all,z4,lag2_z5,0.147124
global,all,z4,lag2_z6,-0.125125
global,all,z4,lag3_z1,-0.103149
global,all,z4,lag3_z3,-0.059761
global,all,z4,lag4_z1,0.106092
global,all,z4,lag4_z2,-0.190054
global,all,z4,lag4_z3,0.180397
global,all,z4,lag4_z5,-0.109354
global,all,z4,lag4_z6,0.170603
global,all,z4,lag5_z3,-0.119062
cluster_delta,0,z4,lag0_z2,0.092867
cluster_delta,0,z4,lag0_z5,0.198624
cluster_delta,0,z4,lag1_z1,-0.130765
cluster_delta,0,z4,lag1_z2,-0.173045
cluster_delta,0,z4,lag1_z3,-0.087851
cluster_delta,0,z4,lag1_z4,0.079911
cluster_delta,0,z4,lag1_z5,-0.157648
cluster_delta,0,z4,lag2_z1,0.134371
cluster_delta,0,z4,lag2_z2,0.148882
