province,cluster_id,split,r2_latent,r2_incidence
01 Distrito Nacional,3,val,0.8412,0.7664
01 Distrito Nacional,3,test,0.7743,0.5645
02 Azua,0,val,0.795,0.7416
02 Azua,0,test,0.694,0.1296
03 Baoruco,1,val,0.7855,0.2544
03 Baoruco,1,test,0.712,0.2372
04 Barahona,3,val,0.8278,0.3713
04 Barahona,3,test,0.7952,0.5122
05 Dajabón,1,val,0.8693,-0.1986
05 Dajabón,1,test,0.8069,0.4062
06 Duarte,4,val,0.8741,0.8266
06 Duarte,4,test,0.8202,0.6583
07 Elías Piña,1,val,0.806,0.5485
07 Elías Piña,1,test,0.7439,0.2027
08 El Seibo,2,val,0.8574,-0.0118
08 El Seibo,2,test,0.7843,0.1681
09 Espaillat,3,val,0.8087,0.6954
09 Espaillat,3,test,0.7751,0.5198
10 Independencia,1,val,0.8188,0.2269
10 Independencia,1,test,0.8335,0.4977
11 La Altagracia,2,val,0.8926,0.5694
11 La Altagracia,2,test,0.8127,0.337
12 La Romana,2,val,0.8279,0.2586
12 La Romana,2,test,0.7721,0.4441
13 La Vega,4,val,0.8371,0.761
13 La Vega,4,test,0.7515,0.604
14 María Trinidad Sánchez,3,val,0.8523,0.5528
14 María Trinidad Sánchez,3,test,0.7843,0.3294
15 Monte Cristi,2,val,0.9143,0.367
15 Monte Cristi,2,test,0.8321,0.1592
16 Pedernales,2,val,0.8552,0.4034
16 Pedernales,2,test,0.8219,-0.0478
17 Peravia,3,val,0.7011,0.7163
17 Peravia,3,test,0.6722,0.2637
18 Puerto Plata,3,val,0.7798,0.6772
18 Puerto Plata,3,test,0.7595,0.342
19 Hermanas Mirabal,4,val,0.8625,0.6444
19 Hermanas Mirabal,4,test,0.7954,0.3506
20 Samaná,3,val,0.836,0.5977
20 Samaná,3,test,0.7539,0.2794
21 San Cristóbal,3,val,0.7654,0.6205
21 San Cristóbal,3,test,0.6935,0.4355
22 San Juan,0,val,0.8321,0.1143
22 San Juan,0,test,0.771,0.5503
23 San Pedro de Macorís,3,val,0.8098,0.654
23 San Pedro de Macorís,3,test,0.7589,0.3811
24 Sánchez Ramírez,4,val,0.8036,0.7471
24 Sánchez Ramírez,4,test,0.8044,0.4932
25 Santiago,4,val,0.8866,0.8941
25 Santiago,4,test,0.785,0.6269
26 Santiago Rodríguez,1,val,0.8254,0.3002
26 Santiago Rodríguez,1,test,0.7343,0.3193
27 Valverde,1,val,0.8198,0.2891
27 Valverde,1,test,0.753,0.4339
28 Monseñor Nouel,4,val,0.7453,0.7554
28 Monseñor Nouel,4,test,0.729,0.4785
29 Monte Plata,4,val,0.8584,0.2051
29 Monte Plata,4,test,0.7578,0.5056
30 Hato Mayor,3,val,0.8218,0.3959
30 Hato Mayor,3,test,0.7807,0.508
31 San José de Ocoa,0,val,0.7932,0.3914
31 San José de Ocoa,0,test,0.7277,0.3749
32 Santo Domingo,3,val,0.9195,0.7318
32 Santo Domingo,3,test,0.884,0.5376
