iteration,island,phase,program_id,n_lags,n_extra,score,spec
-1,0,init_bias,1cc57898,3,0,0.6341437492519617,"{""n_lags"": 3, ""extra_terms"": []}"
-1,0,init,d41ad768,4,0,0.6321622878313065,"{""n_lags"": 4, ""extra_terms"": []}"
-1,0,init,a5c578d6,2,1,0.6254931893199682,"{""n_lags"": 2, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 3, ""lag_z"": 0, ""z_idx"": 0}}]}"
-1,0,init,68337d95,3,1,0.6288638431578875,"{""n_lags"": 3, ""extra_terms"": [{""term_type"": ""z_sq"", ""params"": {""lag"": 3, ""z_idx"": 1}}]}"
-1,1,init_bias,badd386f,5,0,0.6286065597087145,"{""n_lags"": 5, ""extra_terms"": []}"
-1,1,init,3e5ba985,4,0,0.6321622878313065,"{""n_lags"": 4, ""extra_terms"": []}"
-1,1,init,2cd1d4d3,5,1,0.6270454302430153,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""cross_inc"", ""params"": {""lag1"": 5, ""lag2"": 3}}]}"
-1,1,init,de21f12b,6,0,0.6206358503550291,"{""n_lags"": 6, ""extra_terms"": []}"
-1,2,init_bias,20a99e6f,8,0,0.6202330831438303,"{""n_lags"": 8, ""extra_terms"": []}"
-1,2,init,bbc28b0c,7,0,0.6110660303384066,"{""n_lags"": 7, ""extra_terms"": []}"
-1,2,init,7e854756,8,1,0.6205061748623848,"{""n_lags"": 8, ""extra_terms"": [{""term_type"": ""z_prod"", ""params"": {""lag"": 8, ""z_idx1"": 0, ""z_idx2"": 4}}]}"
-1,2,init,1a02a7c9,6,1,0.49310991168022156,"{""n_lags"": 6, ""extra_terms"": [{""term_type"": ""inc_diff"", ""params"": {""lag1"": 4, ""lag2"": 1}}]}"
-1,3,init_bias,e46518f5,5,3,0.6429407522082329,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
-1,3,init,a13f5091,7,3,0.6340297721326351,"{""n_lags"": 7, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
-1,3,init,c9739b92,5,3,0.6413451004773378,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 4, ""lag_z"": 5, ""z_idx"": 1}}]}"
-1,3,init,8b5a8de2,5,4,0.6394866425544024,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}, {""term_type"": ""seasonal"", ""params"": {""use_cos"": 1}}]}"
1,0,evolve,f7b35dd5,4,1,0.6321622878313065,"{""n_lags"": 4, ""extra_terms"": [{""term_type"": ""z_sq"", ""params"": {""lag"": 0, ""z_idx"": 2}}]}"
1,1,evolve,af204be5,5,1,0.6270454302430153,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}]}"
1,2,evolve,97b24780,8,1,0.6202330831438303,"{""n_lags"": 8, ""extra_terms"": [{""term_type"": ""z_prod"", ""params"": {""lag"": 8, ""z_idx1"": 0, ""z_idx2"": 5}}]}"
1,3,evolve,fb6f3aa5,5,4,0.6394866425544024,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}, {""term_type"": ""seasonal"", ""params"": {""use_cos"": 1}}]}"
2,0,evolve,c2d6f041,5,0,0.6286065597087145,"{""n_lags"": 5, ""extra_terms"": []}"
2,1,evolve,78f0e884,5,1,0.6192849352955818,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 5, ""lag_z"": 4, ""z_idx"": 2}}]}"
2,2,evolve,a1e5fda0,6,0,0.6206358503550291,"{""n_lags"": 6, ""extra_terms"": []}"
2,3,evolve,e5309084,3,3,0.6422211229801178,"{""n_lags"": 3, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 3, ""lag_z"": 5, ""z_idx"": 1}}]}"
3,0,evolve,57e03087,4,0,0.6321622878313065,"{""n_lags"": 4, ""extra_terms"": []}"
3,1,evolve,cb6356bc,5,1,0.6131134126335382,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 3}}]}"
3,2,evolve,7e7db67a,5,0,0.6286065597087145,"{""n_lags"": 5, ""extra_terms"": []}"
3,3,evolve,75349efe,5,3,0.6417055148631334,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_sq"", ""params"": {""lag"": 5, ""z_idx"": 2}}]}"
4,0,evolve,df1b61b2,5,0,0.6286065597087145,"{""n_lags"": 5, ""extra_terms"": []}"
4,1,evolve,946b61b9,3,0,0.6341437492519617,"{""n_lags"": 3, ""extra_terms"": []}"
4,2,evolve,3221dbb0,5,3,0.6429407522082329,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
4,3,evolve,9a34e4f6,3,3,0.6422211229801178,"{""n_lags"": 3, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 3, ""lag_z"": 5, ""z_idx"": 1}}]}"
5,0,evolve,30cf508b,4,0,0.6321622878313065,"{""n_lags"": 4, ""extra_terms"": []}"
5,1,evolve,f7a1042e,5,1,0.6170381233096123,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 3, ""z_idx"": 5}}]}"
5,2,evolve,a9fee2a5,5,3,0.6349493619054556,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 5, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
5,3,evolve,f9e6686c,3,3,0.6309940256178379,"{""n_lags"": 3, ""extra_terms"": [{""term_type"": ""cross_inc"", ""params"": {""lag1"": 0, ""lag2"": 3}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 0, ""z_idx"": 0}}]}"
6,0,evolve,4e9a3a12,5,0,0.6286065597087145,"{""n_lags"": 5, ""extra_terms"": []}"
6,1,evolve,4417e3b2,4,0,0.6321622878313065,"{""n_lags"": 4, ""extra_terms"": []}"
6,2,evolve,7ed264e7,5,0,0.6286065597087145,"{""n_lags"": 5, ""extra_terms"": []}"
6,3,evolve,b0e8eea0,5,3,0.6271943673491478,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 0}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 1, ""z_idx"": 3}}]}"
7,0,evolve,39ca5ff1,3,1,0.6341437492519617,"{""n_lags"": 3, ""extra_terms"": [{""term_type"": ""inc_pow"", ""params"": {""lag"": 0, ""power"": 3}}]}"
7,1,evolve,21e87b55,4,1,0.6244408525526524,"{""n_lags"": 4, ""extra_terms"": [{""term_type"": ""z_sq"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
7,2,evolve,fbdb3409,5,2,0.6136853415518999,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 5, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
7,3,evolve,e7775913,5,3,0.6429407522082329,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
8,0,evolve,d7095097,2,1,0.6302750129252672,"{""n_lags"": 2, ""extra_terms"": [{""term_type"": ""inc_pow"", ""params"": {""lag"": 0, ""power"": 3}}]}"
8,1,evolve,11ab7511,4,1,0.6321622878313065,"{""n_lags"": 4, ""extra_terms"": [{""term_type"": ""inc_pow"", ""params"": {""lag"": 4, ""power"": 3}}]}"
8,2,evolve,1cd1519b,5,3,0.6305023841559887,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""z_prod"", ""params"": {""lag"": 1, ""z_idx1"": 2, ""z_idx2"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
8,3,evolve,ba0fbc5f,5,3,0.6429407522082329,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
9,0,evolve,04e33cf9,4,3,0.6321527678519487,"{""n_lags"": 4, ""extra_terms"": [{""term_type"": ""z_sq"", ""params"": {""lag"": 0, ""z_idx"": 2}}, {""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 5, ""z_idx2"": 2}}]}"
9,1,evolve,7ee86559,3,1,0.6341437492519617,"{""n_lags"": 3, ""extra_terms"": [{""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
9,2,evolve,eecd3228,5,3,0.5052310395985842,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_diff"", ""params"": {""lag1"": 1, ""lag2"": 5}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""z_cube"", ""params"": {""lag"": 2, ""z_idx"": 3}}]}"
9,3,evolve,99d4c720,5,3,0.5572003740817308,"{""n_lags"": 5, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 0, ""lag_z"": 5, ""z_idx"": 1}}, {""term_type"": ""z_prod"", ""params"": {""lag"": 0, ""z_idx1"": 0, ""z_idx2"": 2}}, {""term_type"": ""inc_diff"", ""params"": {""lag1"": 2, ""lag2"": 1}}]}"
10,0,evolve,56840ca3,3,1,0.6341437492519617,"{""n_lags"": 3, ""extra_terms"": [{""term_type"": ""inc_pow"", ""params"": {""lag"": 0, ""power"": 3}}]}"
10,1,evolve,ade12d00,3,2,0.6308372095227242,"{""n_lags"": 3, ""extra_terms"": [{""term_type"": ""inc_z_prod"", ""params"": {""lag_inc"": 2, ""lag_z"": 2, ""z_idx"": 3}}, {""term_type"": ""z_sq"", ""params"": {""lag"": 1, ""z_idx"": 0}}]}"
