model,province,r2_val,r2_test
GRU_global,01 Distrito Nacional,0.1771,0.3445
GRU_global,02 Azua,0.1748,-0.9001
GRU_global,03 Baoruco,-0.1669,0.1449
GRU_global,04 Barahona,-0.0202,0.4832
GRU_global,05 Dajabón,-0.194,0.2575
GRU_global,06 Duarte,0.2915,-0.0686
GRU_global,07 Elías Piña,0.1167,0.182
GRU_global,08 El Seibo,-0.2402,-0.1577
GRU_global,09 Espaillat,-0.172,0.2272
GRU_global,10 Independencia,-0.0446,0.4709
GRU_global,11 La Altagracia,-1.3834,-0.0461
GRU_global,12 La Romana,-0.2275,0.4232
GRU_global,13 La Vega,-0.0554,0.0376
GRU_global,14 María Trinidad Sánchez,0.2035,-0.0168
GRU_global,15 Monte Cristi,0.0331,-0.0246
GRU_global,16 Pedernales,0.1798,-0.5074
GRU_global,17 Peravia,0.2157,-0.1891
GRU_global,18 Puerto Plata,-0.7479,0.1263
GRU_global,19 Hermanas Mirabal,-0.1884,0.1717
GRU_global,20 Samaná,-0.0528,-0.0333
GRU_global,21 San Cristóbal,0.0455,0.1347
GRU_global,22 San Juan,-0.4375,0.1525
GRU_global,23 San Pedro de Macorís,-1.3458,-0.0144
GRU_global,24 Sánchez Ramírez,0.2277,0.3486
GRU_global,25 Santiago,0.3886,-0.239
GRU_global,26 Santiago Rodríguez,-0.8073,0.2423
GRU_global,27 Valverde,-1.195,0.2115
GRU_global,28 Monseñor Nouel,0.1795,0.3397
GRU_global,29 Monte Plata,-0.0566,0.1972
GRU_global,30 Hato Mayor,-0.2094,0.0224
GRU_global,31 San José de Ocoa,-0.0017,0.2005
GRU_global,32 Santo Domingo,-0.2773,0.4313
GRU_cluster0,02 Azua,-0.3546,-5.434
GRU_cluster0,22 San Juan,-3.4925,-1.0829
GRU_cluster0,31 San José de Ocoa,-0.6243,-0.0401
GRU_cluster1,03 Baoruco,-1.0898,0.0067
GRU_cluster1,05 Dajabón,-1.3086,0.1896
GRU_cluster1,07 Elías Piña,-0.1046,-0.0324
GRU_cluster1,10 Independencia,-0.5311,0.2778
GRU_cluster1,26 Santiago Rodríguez,-2.8585,0.1537
GRU_cluster1,27 Valverde,-2.3778,0.0931
GRU_cluster2,08 El Seibo,-0.805,-0.5437
GRU_cluster2,11 La Altagracia,-3.9833,-1.4929
GRU_cluster2,12 La Romana,-1.7068,0.4171
GRU_cluster2,15 Monte Cristi,-0.2085,-0.2224
GRU_cluster2,16 Pedernales,0.0246,-1.0542
GRU_cluster3,01 Distrito Nacional,0.1939,0.3306
GRU_cluster3,04 Barahona,-0.1145,0.3751
GRU_cluster3,09 Espaillat,-0.3734,0.3006
GRU_cluster3,14 María Trinidad Sánchez,-0.002,-0.0654
GRU_cluster3,17 Peravia,0.3142,-0.1776
GRU_cluster3,18 Puerto Plata,-0.113,0.1709
GRU_cluster3,20 Samaná,-0.4187,0.1717
GRU_cluster3,21 San Cristóbal,0.016,0.1948
GRU_cluster3,23 San Pedro de Macorís,-2.4475,0.1341
GRU_cluster3,30 Hato Mayor,-0.5507,0.2125
GRU_cluster3,32 Santo Domingo,0.2478,0.3236
GRU_cluster4,06 Duarte,-0.7014,-0.8981
GRU_cluster4,13 La Vega,-0.8351,-1.1237
GRU_cluster4,19 Hermanas Mirabal,-0.5367,-0.2845
GRU_cluster4,24 Sánchez Ramírez,-0.3315,0.1816
GRU_cluster4,25 Santiago,-0.1812,-0.7565
GRU_cluster4,28 Monseñor Nouel,-0.1104,-0.0376
GRU_cluster4,29 Monte Plata,-0.4856,-0.1027
