z1,z2,province,year,week,split
5.420519,12.966113,01 Distrito Nacional,2015,1,train
5.717043,13.862312,01 Distrito Nacional,2015,2,train
5.7018714,14.129349,01 Distrito Nacional,2015,3,train
5.658976,14.661063,01 Distrito Nacional,2015,4,train
11.338754,6.442664,01 Distrito Nacional,2015,5,train
11.547536,5.9521856,01 Distrito Nacional,2015,6,train
11.530283,5.4304605,01 Distrito Nacional,2015,7,train
13.180094,4.913684,01 Distrito Nacional,2015,8,train
13.066165,3.1962554,01 Distrito Nacional,2015,9,train
12.639716,2.6802793,01 Distrito Nacional,2015,10,train
13.084705,2.095695,01 Distrito Nacional,2015,11,train
13.937355,1.8413427,01 Distrito Nacional,2015,12,train
13.85822,0.8020781,01 Distrito Nacional,2015,13,train
14.084205,0.5745202,01 Distrito Nacional,2015,14,train
13.952992,-0.0993239,01 Distrito Nacional,2015,15,train
14.313877,-0.0062058647,01 Distrito Nacional,2015,16,train
5.250535,-18.065308,01 Distrito Nacional,2015,17,train
4.1967525,-16.866411,01 Distrito Nacional,2015,18,train
3.7090597,-16.3226,01 Distrito Nacional,2015,19,train
2.926484,-14.01323,01 Distrito Nacional,2015,20,train
3.5019984,-13.09671,01 Distrito Nacional,2015,21,train
3.0968568,-12.795225,01 Distrito Nacional,2015,22,train
1.8697673,-10.778013,01 Distrito Nacional,2015,23,train
0.24434906,-10.01631,01 Distrito Nacional,2015,24,train
-1.4052109,-9.713566,01 Distrito Nacional,2015,25,train
-0.92447954,-9.55248,01 Distrito Nacional,2015,26,train
-12.34086,-6.7932377,01 Distrito Nacional,2015,27,train
-12.173693,-7.042961,01 Distrito Nacional,2015,28,train
-11.852148,-6.7445607,01 Distrito Nacional,2015,29,train
-12.04326,-7.0602126,01 Distrito Nacional,2015,30,train
-11.831282,-7.343838,01 Distrito Nacional,2015,31,train
-11.248166,-6.961015,01 Distrito Nacional,2015,32,train
-11.155279,-7.1135125,01 Distrito Nacional,2015,33,train
-10.731438,-6.703418,01 Distrito Nacional,2015,34,train
-15.233467,11.838083,01 Distrito Nacional,2015,35,train
-3.2954206,-0.21450134,01 Distrito Nacional,2015,36,train
-3.0330458,-0.17225601,01 Distrito Nacional,2015,37,train
-3.0042553,-0.1158852,01 Distrito Nacional,2015,38,train
-3.014785,-0.1630253,01 Distrito Nacional,2015,39,train
-2.3270655,0.0138154905,01 Distrito Nacional,2015,40,train
-1.9079335,0.27050704,01 Distrito Nacional,2015,41,train
-1.7346233,0.49734575,01 Distrito Nacional,2015,42,train
-1.596985,0.6653334,01 Distrito Nacional,2015,43,train
-1.4822218,0.8782617,01 Distrito Nacional,2015,44,train
-1.3475771,1.2164648,01 Distrito Nacional,2015,45,train
-1.3027627,1.2929223,01 Distrito Nacional,2015,46,train
-1.2623171,1.5069377,01 Distrito Nacional,2015,47,train
9.648494,10.5219145,01 Distrito Nacional,2015,48,train
8.5465975,9.351312,01 Distrito Nacional,2015,49,train
8.787811,9.499879,01 Distrito Nacional,2015,50,train
8.829247,9.533209,01 Distrito Nacional,2015,51,train
7.0623636,10.919012,01 Distrito Nacional,2015,52,train
8.303634,12.626118,01 Distrito Nacional,2016,1,train
7.8959713,12.486617,01 Distrito Nacional,2016,2,train
7.972476,12.864528,01 Distrito Nacional,2016,3,train
7.5794983,12.607428,01 Distrito Nacional,2016,4,train
12.138055,5.4107895,01 Distrito Nacional,2016,5,train
11.814436,5.103749,01 Distrito Nacional,2016,6,train
12.144873,4.9293513,01 Distrito Nacional,2016,7,train
12.331815,4.5423307,01 Distrito Nacional,2016,8,train
11.949643,3.9435983,01 Distrito Nacional,2016,9,train
13.036941,2.722738,01 Distrito Nacional,2016,10,train
13.784383,2.188322,01 Distrito Nacional,2016,11,train
13.134512,0.84641385,01 Distrito Nacional,2016,12,train
14.078704,0.6904544,01 Distrito Nacional,2016,13,train
14.238256,-0.07871319,01 Distrito Nacional,2016,14,train
13.94587,0.50203454,01 Distrito Nacional,2016,15,train
13.684246,-0.628553,01 Distrito Nacional,2016,16,train
17.77973,-14.8542,01 Distrito Nacional,2016,17,train
8.963043,-15.748209,01 Distrito Nacional,2016,18,train
8.617986,-15.0505905,01 Distrito Nacional,2016,19,train
6.460156,-13.554248,01 Distrito Nacional,2016,20,train
6.3505235,-13.578267,01 Distrito Nacional,2016,21,train
13.994253,-16.69835,01 Distrito Nacional,2016,22,train
3.4199119,-11.411637,01 Distrito Nacional,2016,23,train
1.2348514,-10.18264,01 Distrito Nacional,2016,24,train
1.9343481,-10.176918,01 Distrito Nacional,2016,25,train
0.4824797,-9.404784,01 Distrito Nacional,2016,26,train
-15.36559,-2.4719317,01 Distrito Nacional,2016,27,train
-16.35438,-2.7075324,01 Distrito Nacional,2016,28,train
-16.121832,-2.6000211,01 Distrito Nacional,2016,29,train
-16.504974,-1.4220608,01 Distrito Nacional,2016,30,train
-20.313604,10.787174,01 Distrito Nacional,2016,31,train
-18.308027,-0.53075653,01 Distrito Nacional,2016,32,train
-16.869038,-2.6006298,01 Distrito Nacional,2016,33,train
-20.788477,1.8424202,01 Distrito Nacional,2016,34,train
-5.6604085,2.3511577,01 Distrito Nacional,2016,35,train
-5.896793,2.833469,01 Distrito Nacional,2016,36,train
-5.786972,2.686506,01 Distrito Nacional,2016,37,train
-5.8452263,2.8539648,01 Distrito Nacional,2016,38,train
-5.975145,3.1612155,01 Distrito Nacional,2016,39,train
-14.197799,13.904122,01 Distrito Nacional,2016,40,train
-5.386301,4.239824,01 Distrito Nacional,2016,41,train
-5.365864,5.2173905,01 Distrito Nacional,2016,42,train
-4.6732326,4.5061245,01 Distrito Nacional,2016,43,train
-4.6204076,4.9789095,01 Distrito Nacional,2016,44,train
-4.5115166,5.1336064,01 Distrito Nacional,2016,45,train
-4.526054,5.6339755,01 Distrito Nacional,2016,46,train
-4.0803795,5.614038,01 Distrito Nacional,2016,47,train
9.704067,7.868896,01 Distrito Nacional,2016,48,train
9.390651,7.677922,01 Distrito Nacional,2016,49,train
9.375343,7.6270995,01 Distrito Nacional,2016,50,train
9.402255,7.5751615,01 Distrito Nacional,2016,51,train
0.96174324,19.533016,01 Distrito Nacional,2016,52,train
2.084771,18.62074,01 Distrito Nacional,2017,1,train
2.6461675,16.605606,01 Distrito Nacional,2017,2,train
6.3827205,19.722754,01 Distrito Nacional,2017,3,train
4.6545553,17.29211,01 Distrito Nacional,2017,4,train
10.629363,7.024335,01 Distrito Nacional,2017,5,train
