z1,z2,z3,province,year,week,split
-8.333271,-4.0677958,-4.570325,01 Distrito Nacional,2015,1,train
-8.308353,-3.3158145,-3.9628053,01 Distrito Nacional,2015,2,train
-8.258505,-2.0434937,-4.0422096,01 Distrito Nacional,2015,3,train
-8.395402,-1.808321,-3.615717,01 Distrito Nacional,2015,4,train
-8.730023,0.62738115,-2.393533,01 Distrito Nacional,2015,5,train
-9.761224,1.5991448,-1.9481578,01 Distrito Nacional,2015,6,train
-9.88826,1.9925494,-1.6705815,01 Distrito Nacional,2015,7,train
-8.984423,2.4818223,-0.65581936,01 Distrito Nacional,2015,8,train
-10.381464,3.5597777,0.24772204,01 Distrito Nacional,2015,9,train
-11.326453,3.3541582,1.2160436,01 Distrito Nacional,2015,10,train
-11.520285,3.622284,2.4502583,01 Distrito Nacional,2015,11,train
-10.869326,4.5120425,3.0555418,01 Distrito Nacional,2015,12,train
-10.334272,6.04159,3.8466399,01 Distrito Nacional,2015,13,train
-10.287525,5.9007163,3.660233,01 Distrito Nacional,2015,14,train
-10.73172,7.048025,4.1051292,01 Distrito Nacional,2015,15,train
-9.538326,6.664435,4.9070334,01 Distrito Nacional,2015,16,train
-2.2716875,6.7242136,5.939145,01 Distrito Nacional,2015,17,train
-2.3615816,7.6604023,7.1006913,01 Distrito Nacional,2015,18,train
-2.126375,7.1031423,6.6337695,01 Distrito Nacional,2015,19,train
-1.9046131,7.395475,7.510787,01 Distrito Nacional,2015,20,train
-0.5866645,7.4176197,6.5503283,01 Distrito Nacional,2015,21,train
-0.07313531,7.0658765,5.64362,01 Distrito Nacional,2015,22,train
0.60862833,7.4060845,5.894369,01 Distrito Nacional,2015,23,train
1.2338035,6.8009553,5.9556856,01 Distrito Nacional,2015,24,train
1.807535,6.2192698,6.3377595,01 Distrito Nacional,2015,25,train
2.208311,6.3936195,5.504473,01 Distrito Nacional,2015,26,train
9.6855,1.5978465,3.2858708,01 Distrito Nacional,2015,27,train
9.231743,1.51466,3.2506375,01 Distrito Nacional,2015,28,train
9.597385,1.6256828,3.1304975,01 Distrito Nacional,2015,29,train
9.387072,1.4273157,3.0150032,01 Distrito Nacional,2015,30,train
10.088906,1.2237945,3.559541,01 Distrito Nacional,2015,31,train
10.333899,1.271234,3.2751136,01 Distrito Nacional,2015,32,train
10.106294,1.0824692,3.2204583,01 Distrito Nacional,2015,33,train
10.285355,1.1125764,3.1721892,01 Distrito Nacional,2015,34,train
12.247287,12.793542,-14.763063,01 Distrito Nacional,2015,35,train
8.967612,-5.1055756,-2.3943293,01 Distrito Nacional,2015,36,train
8.767443,-5.0912557,-2.236878,01 Distrito Nacional,2015,37,train
8.101589,-5.509045,-2.861502,01 Distrito Nacional,2015,38,train
8.288659,-5.7610044,-3.00459,01 Distrito Nacional,2015,39,train
8.7744255,-7.1770473,-3.451444,01 Distrito Nacional,2015,40,train
7.713018,-7.0347652,-3.269494,01 Distrito Nacional,2015,41,train
