z1,z2,z3,z4,province,year,week,split
-7.3087416,-5.0808716,13.371524,3.623933,01 Distrito Nacional,2015,1,train
-8.178736,-7.1856074,12.639214,3.6798368,01 Distrito Nacional,2015,2,train
-6.1047726,-7.977581,12.456358,4.5568433,01 Distrito Nacional,2015,3,train
-7.4722905,-10.03448,10.943243,3.8092492,01 Distrito Nacional,2015,4,train
-1.4885587,-14.824884,2.3994944,3.3412776,01 Distrito Nacional,2015,5,train
-2.8664563,-14.490017,0.31360936,3.985401,01 Distrito Nacional,2015,6,train
-3.6609774,-14.354939,-0.03563749,3.1983485,01 Distrito Nacional,2015,7,train
-4.9912167,-15.793582,-1.4080114,2.0007632,01 Distrito Nacional,2015,8,train
-5.2920256,-15.610583,-3.3412132,0.4699355,01 Distrito Nacional,2015,9,train
-5.238698,-15.242476,-2.8337717,-1.4694846,01 Distrito Nacional,2015,10,train
-7.139871,-15.782282,-3.0469391,-3.3919277,01 Distrito Nacional,2015,11,train
-6.151907,-16.109379,-4.8828964,-5.979884,01 Distrito Nacional,2015,12,train
-3.5174475,-14.268967,-6.1485314,-7.2596083,01 Distrito Nacional,2015,13,train
-5.2811055,-13.977275,-8.021839,-6.1847544,01 Distrito Nacional,2015,14,train
-3.0069177,-11.784111,-8.091839,-6.2519035,01 Distrito Nacional,2015,15,train
-4.4124284,-11.547465,-8.890316,-10.031062,01 Distrito Nacional,2015,16,train
-2.777538,-2.459021,-16.038586,-6.8384323,01 Distrito Nacional,2015,17,train
-2.9535468,-1.1995527,-14.436056,-7.2377634,01 Distrito Nacional,2015,18,train
-3.4404314,0.91596323,-15.281421,-6.730296,01 Distrito Nacional,2015,19,train
-4.1749854,2.571656,-13.445778,-7.013298,01 Distrito Nacional,2015,20,train
-1.4738787,2.716937,-13.020249,-6.0045047,01 Distrito Nacional,2015,21,train
-0.45610666,3.293986,-13.103643,-6.096083,01 Distrito Nacional,2015,22,train
0.63656056,3.883092,-11.82719,-6.4487844,01 Distrito Nacional,2015,23,train
