z1,z2,z3,z4,z5,province,year,week,split
8.373926,17.209326,3.446145,4.8407974,1.9260706,01 Distrito Nacional,2015,1,train
11.993806,18.317415,4.2826023,5.22382,0.7152594,01 Distrito Nacional,2015,2,train
9.356741,14.034408,7.7286286,5.993439,-0.3458426,01 Distrito Nacional,2015,3,train
13.754366,15.355155,6.7687616,5.690543,-2.4710708,01 Distrito Nacional,2015,4,train
9.665257,11.8677845,6.4362154,-3.3830702,3.4893305,01 Distrito Nacional,2015,5,train
12.472962,10.643397,3.455489,-1.2977227,1.8743687,01 Distrito Nacional,2015,6,train
13.836361,11.102633,3.5003572,-1.4158843,0.9772174,01 Distrito Nacional,2015,7,train
16.41036,10.319886,5.5224023,-3.1625369,0.45849413,01 Distrito Nacional,2015,8,train
16.187548,8.769367,5.467705,-1.7907473,-2.1815298,01 Distrito Nacional,2015,9,train
16.40725,8.934959,5.8719873,0.5281254,-4.6709614,01 Distrito Nacional,2015,10,train
19.131792,9.491874,6.566512,0.6240305,-7.3372097,01 Distrito Nacional,2015,11,train
18.569954,7.672563,8.238827,-0.44471493,-8.5322895,01 Distrito Nacional,2015,12,train
13.448139,3.8039806,8.8339405,-1.4232206,-8.833058,01 Distrito Nacional,2015,13,train
17.85298,4.8103757,7.6414123,0.8085866,-8.403128,01 Distrito Nacional,2015,14,train
13.300481,3.6455996,6.904528,1.7547635,-7.492618,01 Distrito Nacional,2015,15,train
15.116336,1.2157596,8.693379,0.02239724,-11.128613,01 Distrito Nacional,2015,16,train
1.2688018,-11.561445,9.579289,-2.9363885,-13.01577,01 Distrito Nacional,2015,17,train
0.46891555,-10.874167,8.767174,-1.212477,-13.714735,01 Distrito Nacional,2015,18,train
-2.2981884,-7.896758,12.543255,-5.1788363,-16.888308,01 Distrito Nacional,2015,19,train
-4.147553,-7.2268147,11.260469,-2.5327775,-19.64689,01 Distrito Nacional,2015,20,train
-5.024934,-8.16031,10.281822,-2.5342042,-12.949441,01 Distrito Nacional,2015,21,train
-5.963362,-8.872947,10.419315,-3.0222561,-10.816758,01 Distrito Nacional,2015,22,train
-5.607493,-9.694887,8.217892,-0.4913888,-8.944953,01 Distrito Nacional,2015,23,train
-7.1164103,-10.4643545,7.809983,0.26652384,-9.089876,01 Distrito Nacional,2015,24,train
-10.226952,-12.486656,6.712585,1.6600232,-9.2882185,01 Distrito Nacional,2015,25,train
-10.80129,-10.918917,7.1022463,1.1369499,-6.2872243,01 Distrito Nacional,2015,26,train
-8.447831,-6.229153,12.397787,8.766783,-12.593947,01 Distrito Nacional,2015,27,train
-10.10098,-6.9565215,12.494322,9.227485,-12.767501,01 Distrito Nacional,2015,28,train
-8.703359,-5.8967423,12.363797,8.203137,-11.772611,01 Distrito Nacional,2015,29,train
-10.9129925,-5.1440907,12.96827,9.605149,-11.700144,01 Distrito Nacional,2015,30,train
-12.537173,-6.7650766,11.985371,8.058429,-14.282245,01 Distrito Nacional,2015,31,train
-12.593395,-1.8836439,14.101178,6.0629535,-15.197559,01 Distrito Nacional,2015,32,train
-13.479775,-1.5894984,13.913069,5.5724254,-15.519814,01 Distrito Nacional,2015,33,train
-13.708123,-0.34603164,13.18182,5.587785,-13.768924,01 Distrito Nacional,2015,34,train
-15.28247,0.36431086,23.987219,-11.968993,3.7684882,01 Distrito Nacional,2015,35,train
-16.586113,2.5340772,12.101962,-4.379836,-8.59664,01 Distrito Nacional,2015,36,train
-17.4992,2.4948049,11.920605,-3.8488507,-7.9027104,01 Distrito Nacional,2015,37,train
-17.66312,6.237068,11.166209,-3.4927819,-4.2062163,01 Distrito Nacional,2015,38,train
-15.712703,6.476453,10.581763,-3.0208282,-4.6519923,01 Distrito Nacional,2015,39,train
-19.783506,12.120825,9.223935,-2.2617695,-6.8695064,01 Distrito Nacional,2015,40,train
-22.871843,12.544289,8.693897,-1.7632788,-3.7234032,01 Distrito Nacional,2015,41,train
-19.63132,13.5847845,9.516801,-1.85245,-2.6398308,01 Distrito Nacional,2015,42,train
-21.031567,15.7116375,7.856614,-1.544186,-1.0911344,01 Distrito Nacional,2015,43,train
-17.423733,16.85123,9.604382,-3.6653023,-0.43216637,01 Distrito Nacional,2015,44,train
-11.159675,13.826546,7.627397,-1.1344676,4.010465,01 Distrito Nacional,2015,45,train
-11.850085,14.901296,4.947462,0.8643187,4.2279625,01 Distrito Nacional,2015,46,train
-13.611504,20.807924,3.246629,0.6046634,8.170066,01 Distrito Nacional,2015,47,train
-3.8186078,22.140324,6.8319983,-3.170184,6.0616965,01 Distrito Nacional,2015,48,train
-2.516854,15.375,6.142148,-0.9128097,4.0724077,01 Distrito Nacional,2015,49,train
-0.46272206,16.669426,5.5341454,-0.8493773,4.714942,01 Distrito Nacional,2015,50,train
0.52087027,16.989962,6.6474185,-2.221094,5.5070057,01 Distrito Nacional,2015,51,train
0.34239343,18.331074,6.2483387,4.3431635,2.2498386,01 Distrito Nacional,2015,52,train
3.6641238,26.073097,12.063814,2.7221777,-3.5486672,01 Distrito Nacional,2016,1,train
6.469226,24.826376,10.984554,0.9963762,-5.4168844,01 Distrito Nacional,2016,2,train
