z1,z2,z3,z4,z5,z6,province,year,week,split
-0.62481856,-5.1853223,-6.3259954,-4.4201417,3.8213575,0.7795231,01 Distrito Nacional,2015,1,train
-0.8786809,-4.6232495,-7.4127517,-5.2718906,3.8262866,1.2073817,01 Distrito Nacional,2015,2,train
-3.8270476,-5.153728,-7.494541,-5.3367624,4.4513755,0.6173967,01 Distrito Nacional,2015,3,train
-2.855439,-3.8871944,-8.2734785,-5.8429923,3.4598806,1.4374089,01 Distrito Nacional,2015,4,train
-6.037175,-3.9257286,-5.924517,2.3573332,4.1044636,-3.473769,01 Distrito Nacional,2015,5,train
-4.8352046,-1.7675271,-6.0111146,2.129555,3.0703852,-1.1841093,01 Distrito Nacional,2015,6,train
-5.0508184,-1.5887736,-7.4293323,1.3014386,2.8842046,-0.6343945,01 Distrito Nacional,2015,7,train
-7.0559072,-0.59643155,-9.2618,1.7112496,3.2339041,-1.5848185,01 Distrito Nacional,2015,8,train
-5.9224963,0.24271533,-6.925585,1.5888112,1.8206098,-1.4161956,01 Distrito Nacional,2015,9,train
-4.0224276,0.69763905,-4.675789,2.535092,0.30647102,-3.306979,01 Distrito Nacional,2015,10,train
-3.451179,1.5542688,-5.474381,2.0733,-0.21010177,-3.067291,01 Distrito Nacional,2015,11,train
-4.75402,2.2691112,-5.5161643,1.6241473,-0.85247546,-3.596337,01 Distrito Nacional,2015,12,train
-5.972771,2.5078382,-3.7368734,0.29140097,-2.0858283,-4.1102734,01 Distrito Nacional,2015,13,train
-4.926165,3.4948306,-3.9887745,1.7821466,-1.0187057,-3.1864576,01 Distrito Nacional,2015,14,train
-4.4853463,2.7055688,-2.5572405,0.76287913,-1.0868804,-2.566486,01 Distrito Nacional,2015,15,train
-5.303947,5.0576878,-3.0954769,-1.0933361,-2.8951383,-2.7784467,01 Distrito Nacional,2015,16,train
-4.106258,6.220468,0.17097248,-0.40932864,-3.3663101,-4.3231792,01 Distrito Nacional,2015,17,train
-3.0239878,5.2132673,0.0564909,-1.1060447,-3.2515302,-3.0183306,01 Distrito Nacional,2015,18,train
-1.9448413,4.727299,-0.3829436,0.05076874,-2.892741,-5.5276527,01 Distrito Nacional,2015,19,train
-0.0020893265,2.8506768,-1.4277772,-0.00095466286,-2.3174424,-3.9916248,01 Distrito Nacional,2015,20,train
-0.9954914,3.2829676,0.6927877,-0.046032216,-2.0547755,-4.2920933,01 Distrito Nacional,2015,21,train
-1.1772158,3.1025891,1.1650981,-0.043478943,-2.0332482,-5.5057364,01 Distrito Nacional,2015,22,train
-1.9119759,3.6970465,1.8617601,-2.7555714,-2.904729,-3.7939954,01 Distrito Nacional,2015,23,train
-1.2001542,3.4408653,1.7049778,-2.9971752,-2.7851377,-3.4959705,01 Distrito Nacional,2015,24,train
0.10509133,3.0290637,1.0848253,-3.304407,-2.5041897,-3.218291,01 Distrito Nacional,2015,25,train
-0.17403336,2.9554749,2.7083802,-3.7775805,-2.3801231,-4.1248207,01 Distrito Nacional,2015,26,train
1.7349993,0.5358731,0.70109683,-9.06198,-0.8988359,-1.6611074,01 Distrito Nacional,2015,27,train
2.1208992,0.52700317,0.046574354,-9.163036,-0.65828633,-1.9147149,01 Distrito Nacional,2015,28,train
1.8505491,-0.35696322,0.29347515,-9.309234,-0.24940994,-1.5512252,01 Distrito Nacional,2015,29,train
2.3234563,0.40044123,1.6602267,-9.6304245,-1.0811721,-2.8535135,01 Distrito Nacional,2015,30,train
2.6666768,0.33867416,0.3565699,-8.227783,-1.5747269,-2.4935699,01 Distrito Nacional,2015,31,train
3.075488,-1.4046346,0.571649,-8.546145,-1.499749,-3.8181257,01 Distrito Nacional,2015,32,train
3.0430398,-1.6834033,-0.27642685,-7.877008,-1.2169014,-3.624581,01 Distrito Nacional,2015,33,train
2.9935389,-2.179356,0.41723588,-7.722503,-1.6115202,-4.2156277,01 Distrito Nacional,2015,34,train
-7.1148696,-6.7707176,9.959786,-5.119143,2.7548742,-13.120535,01 Distrito Nacional,2015,35,train
1.8997865,-2.1909187,2.6677163,-2.5463824,-1.8754328,-8.026969,01 Distrito Nacional,2015,36,train
1.9769671,-1.8699672,2.0441155,-1.8572462,-1.5787894,-8.1779995,01 Distrito Nacional,2015,37,train
1.4977522,-3.5329227,2.78206,-1.0347134,-0.7507527,-9.096168,01 Distrito Nacional,2015,38,train
1.4017506,-3.449167,2.24224,-2.1076105,-0.81179416,-7.4368267,01 Distrito Nacional,2015,39,train
2.9083738,-4.760229,-0.19392908,-2.0378633,-1.6143669,-6.754907,01 Distrito Nacional,2015,40,train
4.491015,-5.0899615,-0.016053494,-1.6087877,-0.92685,-7.86386,01 Distrito Nacional,2015,41,train
3.5580475,-6.222739,0.27378842,-1.7198734,-0.37159884,-8.028267,01 Distrito Nacional,2015,42,train
3.7732935,-6.007424,-0.5503428,-0.3138239,-0.30804223,-8.493311,01 Distrito Nacional,2015,43,train
2.0017622,-6.9356775,0.0917088,0.29808524,0.837668,-9.972084,01 Distrito Nacional,2015,44,train
1.5384439,-7.560917,0.56996,0.22577886,3.6104372,-6.9659944,01 Distrito Nacional,2015,45,train
2.393363,-6.4835443,-0.5436222,0.5590022,3.1198936,-5.4416566,01 Distrito Nacional,2015,46,train
2.4433596,-5.2293463,-2.632782,3.3970356,2.9076993,-6.9724746,01 Distrito Nacional,2015,47,train
0.5906229,-9.910561,-6.5105853,1.6237265,5.009114,-6.9782653,01 Distrito Nacional,2015,48,train
-1.0436528,-8.754268,-3.622746,0.17476629,4.771512,-4.895414,01 Distrito Nacional,2015,49,train
-1.1630342,-7.513757,-4.1361017,1.1049031,4.372502,-4.6812887,01 Distrito Nacional,2015,50,train
-2.0233994,-8.015667,-4.3404655,1.853882,5.211412,-5.249342,01 Distrito Nacional,2015,51,train
1.4203862,-8.413253,-4.973493,-4.0293584,4.354196,-2.0993845,01 Distrito Nacional,2015,52,train
-1.269154,-10.027105,-9.673738,-5.823385,2.7424586,-4.917799,01 Distrito Nacional,2016,1,train
-0.55652833,-8.1651535,-8.352835,-6.5659275,1.3724434,-3.8188121,01 Distrito Nacional,2016,2,train
-0.93950194,-6.8419433,-10.385572,-6.257398,0.962543,-3.6422184,01 Distrito Nacional,2016,3,train
-4.2481866,-7.8832703,-8.617043,-7.7757297,2.0482159,-3.9839509,01 Distrito Nacional,2016,4,train
-3.0775437,-5.9116464,-8.878952,0.9469221,0.31483215,-7.5504785,01 Distrito Nacional,2016,5,train
