z1,z2,z3,z4,z5,z6,z7,province,year,week,split
-8.547315,-5.7695,-12.579373,8.357556,7.0238075,-4.300799,-11.092713,01 Distrito Nacional,2015,1,train
-5.736307,-6.066557,-16.378685,11.166911,6.356843,-4.4271626,-13.798689,01 Distrito Nacional,2015,2,train
-3.520356,-5.1939826,-15.886816,10.624087,9.059865,-4.454514,-7.976351,01 Distrito Nacional,2015,3,train
-2.6185105,-4.971133,-17.121838,12.806237,5.9989266,-6.771664,-11.6521015,01 Distrito Nacional,2015,4,train
8.815391,-9.938332,-13.223525,4.908538,9.570678,2.687183,-4.381246,01 Distrito Nacional,2015,5,train
9.00637,-8.339664,-10.523103,8.285853,8.026572,-1.2507597,-8.500493,01 Distrito Nacional,2015,6,train
7.21553,-8.246086,-7.535459,7.4929476,3.7588596,0.3127411,-6.760862,01 Distrito Nacional,2015,7,train
7.5680804,-7.972781,-8.587774,9.2959385,1.5941693,3.2226133,-3.6802351,01 Distrito Nacional,2015,8,train
9.774315,-7.8461595,-9.562777,9.6594305,3.1157444,-1.0689276,-5.9634223,01 Distrito Nacional,2015,9,train
16.464386,-13.523497,-12.749528,8.141359,1.6181376,-4.337312,-7.1646233,01 Distrito Nacional,2015,10,train
14.775014,-12.849172,-11.912346,9.022605,-2.2759745,-3.3741965,-7.009621,01 Distrito Nacional,2015,11,train
14.713503,-9.847441,-16.966255,12.311101,-0.6865885,-7.3523726,-7.98422,01 Distrito Nacional,2015,12,train
12.620344,-8.522661,-17.000132,11.883577,0.73490113,-10.840367,-3.7753472,01 Distrito Nacional,2015,13,train
17.102293,-9.832581,-11.168248,13.005035,-3.5335,-7.650953,-2.8420253,01 Distrito Nacional,2015,14,train
16.250938,-11.018191,-8.128064,12.740771,-1.8822441,-10.938485,-0.71463823,01 Distrito Nacional,2015,15,train
11.277022,-5.7515473,-10.205585,14.698243,-6.3640456,-11.843088,0.5214471,01 Distrito Nacional,2015,16,train
6.2362204,-5.406863,-0.8690184,9.148869,-12.367466,-7.868643,12.420548,01 Distrito Nacional,2015,17,train
5.3776574,-6.494149,1.15357,8.74228,-13.401617,-10.333401,10.529732,01 Distrito Nacional,2015,18,train
3.7959,-9.700174,-3.936282,3.8843622,-12.723089,-4.6610317,9.9902315,01 Distrito Nacional,2015,19,train
2.928574,-13.608696,-0.115461506,2.4631412,-14.923003,-3.7884858,5.6499805,01 Distrito Nacional,2015,20,train
1.6197996,-9.548907,-0.08590866,2.9676213,-9.668502,-2.8189723,8.509486,01 Distrito Nacional,2015,21,train
1.5823799,-9.522271,-0.4265547,2.64743,-9.829542,-1.1044406,11.348951,01 Distrito Nacional,2015,22,train
-1.1699551,-6.0658345,0.0011974962,5.1917,-8.342421,-6.673853,12.593516,01 Distrito Nacional,2015,23,train
-1.5457052,-6.3011127,2.3858683,4.633922,-9.217601,-5.8635817,11.706573,01 Distrito Nacional,2015,24,train
-2.4037633,-6.9986024,6.0203323,4.1913366,-12.993239,-3.0253708,12.017488,01 Distrito Nacional,2015,25,train
-3.661857,-6.144894,5.6413918,3.7533872,-11.187877,-2.072312,14.873816,01 Distrito Nacional,2015,26,train
-19.050854,-0.0050581153,-4.67722,10.744968,-7.0931196,-10.4099865,5.2601376,01 Distrito Nacional,2015,27,train
-22.939827,0.31431815,-3.9734168,11.755971,-9.196542,-8.7486725,6.797219,01 Distrito Nacional,2015,28,train
-20.598057,-0.37413147,-5.668778,11.972505,-6.479927,-9.886132,5.3408203,01 Distrito Nacional,2015,29,train
