z1,z2,z3,z4,z5,z6,z7,z8,province,year,week,split
-2.5553334,8.008591,0.9305021,2.6600292,-6.914692,-6.127983,12.3914795,-0.769946,01 Distrito Nacional,2015,1,train
-1.159233,8.797409,1.3448457,1.6825137,-5.7244897,-7.3130126,12.919244,1.5174882,01 Distrito Nacional,2015,2,train
1.8830543,8.445165,-0.23389888,1.8570585,-6.101791,-8.753623,14.437211,-4.58566,01 Distrito Nacional,2015,3,train
1.3911716,6.9826045,0.536503,3.2254977,-2.7535512,-9.60154,15.643666,-2.180991,01 Distrito Nacional,2015,4,train
6.5465493,13.237224,0.88248086,4.259041,-7.7123566,-6.8989387,3.685727,-3.2467449,01 Distrito Nacional,2015,5,train
2.341787,8.975636,3.5800676,5.8267994,-3.9851906,-4.1832094,-0.5647404,-0.16515897,01 Distrito Nacional,2015,6,train
2.997871,7.2156396,1.6825261,5.7241774,-2.2024293,-3.7554774,1.6409384,-0.7046462,01 Distrito Nacional,2015,7,train
4.3019576,6.1288257,1.8088824,2.9910247,-0.5331428,-5.6823497,0.55120736,-1.5075821,01 Distrito Nacional,2015,8,train
2.6110954,5.266624,3.2311082,5.7373133,0.3216122,-5.664952,0.031511836,-1.0917588,01 Distrito Nacional,2015,9,train
5.516565,6.8365164,3.930657,11.566354,1.4919755,-12.053155,7.107575,-2.804351,01 Distrito Nacional,2015,10,train
4.9579477,4.2382617,2.5848546,9.251602,3.1529684,-10.829638,7.022393,-1.2792097,01 Distrito Nacional,2015,11,train
6.4615474,3.1371377,2.0990274,8.398882,4.103862,-12.033814,5.3605666,-1.3485,01 Distrito Nacional,2015,12,train
5.5911217,0.7803886,1.7598486,9.483314,2.982386,-12.790246,2.6137967,-4.3649073,01 Distrito Nacional,2015,13,train
6.145646,3.5437052,3.2817092,10.844169,5.7256017,-11.846294,6.90603,-4.9181747,01 Distrito Nacional,2015,14,train
3.4593709,2.5980592,4.874564,12.995442,3.1575396,-10.774662,6.1927395,-6.689892,01 Distrito Nacional,2015,15,train
3.1731303,-1.9472047,2.4136217,9.211064,6.835066,-10.516368,3.51278,-5.4953337,01 Distrito Nacional,2015,16,train
0.37188774,-4.915988,5.972464,5.9911356,8.583688,-11.307989,-4.595534,-3.4397426,01 Distrito Nacional,2015,17,train
-1.8012329,-5.906737,6.0324774,7.723553,8.046454,-9.1701975,-2.5528288,-3.1377006,01 Distrito Nacional,2015,18,train
-1.9453485,-3.796068,2.8612363,4.759125,3.9818563,-9.8387785,-3.889918,-0.3113337,01 Distrito Nacional,2015,19,train
-4.624749,-3.314012,4.3143473,4.5048203,3.162117,-6.096854,-2.2268217,4.464337,01 Distrito Nacional,2015,20,train
-4.8374534,-2.9573984,3.733959,3.1386144,2.2065442,-5.043003,-4.3015,0.7965569,01 Distrito Nacional,2015,21,train
-6.223587,-2.5629773,3.590318,2.4962964,1.8584013,-5.8923917,-5.913968,-0.028648257,01 Distrito Nacional,2015,22,train
-6.098081,-5.8197565,3.3995721,3.0281916,2.3949192,-5.539958,-5.224054,-3.9623804,01 Distrito Nacional,2015,23,train
-7.2232046,-5.9019656,2.9804802,3.7755222,2.6355524,-4.6504006,-4.3630457,-4.318684,01 Distrito Nacional,2015,24,train
-7.420239,-4.843805,3.926136,1.2858421,2.9632044,-2.998078,-4.1802144,1.3289417,01 Distrito Nacional,2015,25,train
-8.324118,-5.46347,3.3143795,1.0152339,1.7267139,-3.9905505,-5.4324594,-2.650729,01 Distrito Nacional,2015,26,train
-11.18959,-6.6698213,2.3460894,-2.2263596,0.6316575,-5.821602,4.091097,-1.8801539,01 Distrito Nacional,2015,27,train
-10.587564,-4.0723777,2.8332095,-3.4771395,-0.18271951,-5.050835,2.040405,2.2047966,01 Distrito Nacional,2015,28,train
-11.788254,-4.3402166,2.7552717,-2.9008713,-0.7225815,-5.6773796,3.0785267,-0.05500274,01 Distrito Nacional,2015,29,train
-10.467204,-6.786759,1.4639349,-4.1279764,0.008255651,-6.8236523,3.7528565,-1.922956,01 Distrito Nacional,2015,30,train
-10.606963,-8.39896,0.48181495,-0.8660534,1.4389902,-6.8033357,5.630332,-2.7725677,01 Distrito Nacional,2015,31,train
-9.748708,-6.415538,-0.33161303,-1.598991,-1.8143836,-6.103596,4.0954394,-1.0359839,01 Distrito Nacional,2015,32,train
-9.927548,-5.0205545,-0.18212989,-1.4302044,-2.421216,-5.5026455,3.472173,0.53804886,01 Distrito Nacional,2015,33,train
-10.107205,-5.9395623,-0.39810702,-2.032143,-2.991218,-5.9507127,4.009438,-0.20331843,01 Distrito Nacional,2015,34,train
1.4296517,-5.676591,-5.2727365,-11.142864,-1.9415798,-7.4924536,-4.1217933,-8.905921,01 Distrito Nacional,2015,35,train
-5.8559856,-4.561017,-2.5014732,2.886846,-5.7655478,-5.843032,-4.7174277,-4.285934,01 Distrito Nacional,2015,36,train
-6.4197755,-3.967919,-2.1568398,1.9215127,-4.9826255,-4.415272,-3.8603623,-2.5529613,01 Distrito Nacional,2015,37,train
-7.347589,-3.0142457,-1.972988,0.10234531,-6.9357066,-4.855406,-5.1745253,-2.0770557,01 Distrito Nacional,2015,38,train
-5.4410567,-3.2948449,-2.0137322,4.0935745,-8.767122,-4.9981213,-5.007413,-5.537568,01 Distrito Nacional,2015,39,train
-7.331877,-3.4769607,-2.668345,5.754721,-9.976658,-3.60503,-1.2183795,-0.3892919,01 Distrito Nacional,2015,40,train
-4.6066847,-2.784943,-4.794944,1.0933119,-7.745855,-3.2889535,-1.4573772,0.12480786,01 Distrito Nacional,2015,41,train
-5.5218644,-1.6765279,-4.388417,3.3666475,-10.98479,-4.128138,-2.1037166,-1.7276254,01 Distrito Nacional,2015,42,train
-5.39733,-1.1319715,-5.2551265,1.3893374,-9.929359,-4.172665,-2.5187976,0.9370632,01 Distrito Nacional,2015,43,train
-6.374401,0.07408616,-4.120592,-1.2529174,-12.258436,-5.2038803,-4.0658,1.0759795,01 Distrito Nacional,2015,44,train
-4.687525,4.6529026,-1.3478737,-0.124567926,-14.471151,-2.7925253,-4.3162894,-1.6180512,01 Distrito Nacional,2015,45,train
-4.312337,4.871318,-0.46215245,2.2802205,-13.2284565,-2.172246,-3.4030783,0.54428995,01 Distrito Nacional,2015,46,train
-4.508242,8.51661,-1.3080629,-0.16715084,-12.146278,-3.9625976,-2.9930148,6.0654945,01 Distrito Nacional,2015,47,train
0.33335128,9.568657,-5.1751747,-0.67490524,-12.810052,-3.2196536,1.1469886,1.3141258,01 Distrito Nacional,2015,48,train
-0.19658066,8.549881,-1.3536518,2.9599292,-15.666098,-2.662614,1.0930669,-2.668394,01 Distrito Nacional,2015,49,train
-0.46527022,10.380863,-0.8396246,3.531915,-14.153738,-3.3863623,-0.07909957,-0.08358708,01 Distrito Nacional,2015,50,train
1.1021812,13.203137,-1.3557118,1.076802,-15.888368,-3.8271883,0.79483867,1.6848886,01 Distrito Nacional,2015,51,train
-7.1791863,5.856783,0.20589504,-0.56158376,-12.207045,-5.9051223,10.638589,-0.33720794,01 Distrito Nacional,2015,52,train
0.0715152,7.700558,-4.072799,-1.921562,-12.123218,-11.012749,10.97685,3.2405486,01 Distrito Nacional,2016,1,train
-1.1959578,6.1633534,-2.7020428,1.2165711,-9.716947,-12.194555,12.212724,3.2014368,01 Distrito Nacional,2016,2,train
-0.8862801,4.074106,-2.1671655,0.35630313,-7.1465216,-12.194972,11.007991,4.0310464,01 Distrito Nacional,2016,3,train
0.8018189,5.666597,-2.3265505,2.0191793,-8.672292,-14.894317,12.17534,-1.9182411,01 Distrito Nacional,2016,4,train
4.943719,9.044353,-3.9139721,4.621914,-8.96294,-10.971408,5.376654,3.24091,01 Distrito Nacional,2016,5,train
4.002531,5.009978,-2.6735165,5.5145874,-6.994076,-9.716901,2.0359545,1.1455503,01 Distrito Nacional,2016,6,train
4.208029,5.208691,-2.2706466,5.4251423,-6.00702,-10.957464,3.027891,0.20006655,01 Distrito Nacional,2016,7,train
3.8256757,3.1903052,-2.4350393,6.3965225,-4.944994,-10.978546,2.2348266,-0.06683879,01 Distrito Nacional,2016,8,train
3.1316228,1.9836112,-2.4273229,8.246819,-5.817017,-10.600832,2.9082317,-1.5909798,01 Distrito Nacional,2016,9,train
0.74730664,4.8084316,2.354067,7.0752196,2.5258265,-7.430715,0.21241598,0.7779905,01 Distrito Nacional,2016,10,train
2.3419611,2.7203858,1.1362143,5.111632,0.30463594,-5.8346586,-1.4207385,-1.3782836,01 Distrito Nacional,2016,11,train
0.27971292,2.2004802,2.0804942,7.770882,-0.4782285,-4.785227,-0.7212335,-1.7327272,01 Distrito Nacional,2016,12,train
