z1,z2,z3,z4,z5,z6,z7,z8,z9,province,year,week,split
-0.38654274,-9.167316,-4.706857,-0.6960207,-5.073009,1.0279641,-0.845717,1.17868,-13.996762,01 Distrito Nacional,2015,1,train
0.7701081,-9.283687,-5.5795913,-1.1670357,-4.3424397,2.0760844,-2.1661365,-0.7888305,-14.229153,01 Distrito Nacional,2015,2,train
2.3527267,-8.484576,-5.380543,0.6827256,-6.8074646,-0.6521837,-4.9042587,0.44131067,-13.806055,01 Distrito Nacional,2015,3,train
4.7494607,-8.310802,-8.263353,-0.20223616,-7.5877633,-0.8544659,-3.2773006,-2.4258726,-14.243828,01 Distrito Nacional,2015,4,train
-3.4120235,-7.4392185,-0.6664611,1.6740712,-2.2075424,3.9783487,-11.372076,-2.6243,-9.974291,01 Distrito Nacional,2015,5,train
-3.5762177,-8.821451,0.26962668,-1.8733932,-2.6016984,2.1079552,-10.924267,-5.8244686,-4.9223256,01 Distrito Nacional,2015,6,train
-1.7891939,-9.773671,-1.8280395,-4.182854,-4.058474,1.4065914,-10.389769,-5.7905164,-4.310945,01 Distrito Nacional,2015,7,train
1.5076368,-10.080325,-3.0113418,-4.2389517,-5.0833,0.8382824,-11.388608,-5.9312725,-5.8296576,01 Distrito Nacional,2015,8,train
0.22032908,-8.164716,-3.5266628,-3.3042176,-5.509932,0.8365132,-10.991207,-7.6380377,-4.5350494,01 Distrito Nacional,2015,9,train
-0.7089124,-5.848641,-6.530669,0.1993419,-6.0626764,0.7211263,-10.43852,-12.887617,-5.369439,01 Distrito Nacional,2015,10,train
1.3947235,-6.086935,-8.222891,-1.2706144,-5.7584624,1.2124064,-8.302622,-11.493363,-4.063913,01 Distrito Nacional,2015,11,train
2.5446115,-4.7320275,-6.249476,-0.006277125,-5.470846,2.2439725,-9.272488,-11.536385,-2.287663,01 Distrito Nacional,2015,12,train
2.68545,-3.2232754,-2.0988212,2.0212398,-7.7428784,1.4784001,-8.329147,-10.430431,0.20482963,01 Distrito Nacional,2015,13,train
