model,province,r2_val,r2_test
PP_ExtraTrees,01 Distrito Nacional,0.7032,0.5888
PP_RandomForest,01 Distrito Nacional,0.7054,0.656
PP_HistGradientBoosting,01 Distrito Nacional,0.7286,0.6039
PP_ExtraTrees,02 Azua,0.5519,-0.616
PP_RandomForest,02 Azua,0.6209,-0.2557
PP_HistGradientBoosting,02 Azua,0.6058,-0.5383
PP_ExtraTrees,03 Baoruco,-0.1341,0.3189
PP_RandomForest,03 Baoruco,-0.2696,0.2829
PP_HistGradientBoosting,03 Baoruco,-0.2894,0.2163
PP_ExtraTrees,04 Barahona,-0.2742,0.5649
PP_RandomForest,04 Barahona,-0.135,0.5173
PP_HistGradientBoosting,04 Barahona,-0.1317,0.5758
PP_ExtraTrees,05 Dajabón,-0.5285,0.3976
PP_RandomForest,05 Dajabón,-0.3327,0.4545
PP_HistGradientBoosting,05 Dajabón,-0.7559,0.2979
PP_ExtraTrees,06 Duarte,0.7903,0.5259
PP_RandomForest,06 Duarte,0.7849,0.6013
PP_HistGradientBoosting,06 Duarte,0.6832,0.3815
PP_ExtraTrees,07 Elías Piña,0.3276,0.2563
PP_RandomForest,07 Elías Piña,0.2787,0.2535
PP_HistGradientBoosting,07 Elías Piña,-0.0111,0.2284
PP_ExtraTrees,08 El Seibo,-0.2004,0.0449
PP_RandomForest,08 El Seibo,-0.234,0.0852
PP_HistGradientBoosting,08 El Seibo,-0.2596,-0.0854
PP_ExtraTrees,09 Espaillat,0.6603,0.491
PP_RandomForest,09 Espaillat,0.6944,0.4495
PP_HistGradientBoosting,09 Espaillat,0.6219,0.4074
PP_ExtraTrees,10 Independencia,-0.4415,0.4726
PP_RandomForest,10 Independencia,-0.3169,0.3772
PP_HistGradientBoosting,10 Independencia,-0.6665,0.4046
PP_ExtraTrees,11 La Altagracia,0.0689,0.3337
PP_RandomForest,11 La Altagracia,-0.2903,0.3399
PP_HistGradientBoosting,11 La Altagracia,-0.4119,0.2272
PP_ExtraTrees,12 La Romana,0.0822,0.3753
PP_RandomForest,12 La Romana,-0.0538,0.3884
PP_HistGradientBoosting,12 La Romana,-0.5082,0.3085
PP_ExtraTrees,13 La Vega,0.7688,0.518
PP_RandomForest,13 La Vega,0.7722,0.6334
PP_HistGradientBoosting,13 La Vega,0.6662,0.1792
PP_ExtraTrees,14 María Trinidad Sánchez,0.5322,0.3968
PP_RandomForest,14 María Trinidad Sánchez,0.5321,0.4191
PP_HistGradientBoosting,14 María Trinidad Sánchez,0.5179,0.2885
PP_ExtraTrees,15 Monte Cristi,0.0486,0.1028
PP_RandomForest,15 Monte Cristi,0.2317,0.1715
PP_HistGradientBoosting,15 Monte Cristi,-0.0739,0.1107
PP_ExtraTrees,16 Pedernales,0.0623,-1.3418
PP_RandomForest,16 Pedernales,0.0872,-0.8684
PP_HistGradientBoosting,16 Pedernales,-0.1824,-1.7057
PP_ExtraTrees,17 Peravia,0.3725,0.1989
PP_RandomForest,17 Peravia,0.402,0.0917
PP_HistGradientBoosting,17 Peravia,0.2736,-0.0063
PP_ExtraTrees,18 Puerto Plata,0.3645,0.3874
PP_RandomForest,18 Puerto Plata,0.4719,0.4265
PP_HistGradientBoosting,18 Puerto Plata,0.4428,0.4143
PP_ExtraTrees,19 Hermanas Mirabal,0.4517,0.2535
PP_RandomForest,19 Hermanas Mirabal,0.432,0.3663
PP_HistGradientBoosting,19 Hermanas Mirabal,0.3929,0.328
PP_ExtraTrees,20 Samaná,0.3879,0.2993
PP_RandomForest,20 Samaná,0.395,0.3076
PP_HistGradientBoosting,20 Samaná,0.243,0.0693
PP_ExtraTrees,21 San Cristóbal,0.4311,0.5327
PP_RandomForest,21 San Cristóbal,0.376,0.5353
PP_HistGradientBoosting,21 San Cristóbal,0.39,0.5548
PP_ExtraTrees,22 San Juan,0.1109,0.5801
PP_RandomForest,22 San Juan,-0.0419,0.6153
PP_HistGradientBoosting,22 San Juan,-0.3592,0.4857
PP_ExtraTrees,23 San Pedro de Macorís,0.2368,0.5461
PP_RandomForest,23 San Pedro de Macorís,0.3291,0.5546
PP_HistGradientBoosting,23 San Pedro de Macorís,0.2091,0.4544
PP_ExtraTrees,24 Sánchez Ramírez,0.6115,0.5139
PP_RandomForest,24 Sánchez Ramírez,0.5844,0.5417
PP_HistGradientBoosting,24 Sánchez Ramírez,0.458,0.3978
PP_ExtraTrees,25 Santiago,0.8057,0.6675
PP_RandomForest,25 Santiago,0.8589,0.6993
PP_HistGradientBoosting,25 Santiago,0.7456,0.6739
PP_ExtraTrees,26 Santiago Rodríguez,-0.5371,0.3094
PP_RandomForest,26 Santiago Rodríguez,-0.3609,0.2907
PP_HistGradientBoosting,26 Santiago Rodríguez,-1.3949,0.2103
PP_ExtraTrees,27 Valverde,0.5565,0.4665
PP_RandomForest,27 Valverde,0.4903,0.2712
PP_HistGradientBoosting,27 Valverde,0.3484,0.4067
PP_ExtraTrees,28 Monseñor Nouel,0.6672,0.4227
PP_RandomForest,28 Monseñor Nouel,0.6413,0.438
PP_HistGradientBoosting,28 Monseñor Nouel,0.4611,0.3115
PP_ExtraTrees,29 Monte Plata,-0.0721,0.5294
PP_RandomForest,29 Monte Plata,-0.0717,0.5025
PP_HistGradientBoosting,29 Monte Plata,-0.161,0.4474
PP_ExtraTrees,30 Hato Mayor,0.2888,0.3456
PP_RandomForest,30 Hato Mayor,0.3687,0.3155
PP_HistGradientBoosting,30 Hato Mayor,0.1873,-0.0164
PP_ExtraTrees,31 San José de Ocoa,-0.3851,0.3272
PP_RandomForest,31 San José de Ocoa,-0.8253,0.2871
