trial,val_r2,seq_len,hidden_size,num_layers,dropout,lr,batch_size,weight_decay,epochs
42,0.1668,8,256,1,0.261,0.00035,64,0.000152,42
57,0.1275,8,128,1,0.312,0.0001,64,4.6e-05,80
58,0.1142,8,128,1,0.261,0.00011,64,3.3e-05,65
52,0.0981,8,256,1,0.333,0.00023,64,0.000227,55
59,0.0963,8,128,1,0.234,0.0001,64,3.5e-05,79
38,0.0946,8,256,1,0.251,0.00023,64,0.000171,67
43,0.0846,8,256,1,0.262,0.00034,64,0.000216,35
32,0.0824,8,256,1,0.286,0.00088,64,0.000153,32
56,0.073,8,128,1,0.317,0.00019,64,0.000162,68
21,0.0651,4,64,2,0.33,0.00039,256,0.000181,80
60,0.0647,8,128,1,0.238,0.00012,128,1e-05,80
46,0.0603,8,256,1,0.329,0.00022,64,0.000178,46
6,0.0595,8,64,1,0.124,0.00036,256,0.000472,80
30,0.0484,8,256,1,0.276,0.00143,64,0.000147,41
23,0.0456,4,64,2,0.301,0.00074,256,0.000444,64
33,0.0402,8,256,1,0.324,0.00136,64,0.000128,35
27,0.0381,4,64,2,0.276,0.00055,256,0.0004,65
24,0.0304,4,64,2,0.399,0.00068,256,0.000457,79
37,0.0284,8,256,1,0.221,0.00087,64,1.5e-05,36
53,0.0222,8,256,1,0.287,0.00015,64,0.000216,46
4,0.0196,4,64,3,0.239,0.00368,128,0.000325,24
17,0.0131,8,64,1,0.083,0.00097,128,0.000118,62
22,0.0127,4,64,2,0.352,0.00041,256,0.000201,78
13,0.0121,4,64,3,0.307,0.00028,128,0.000437,50
1,-0.0015,8,256,2,0.283,0.00011,64,0.000182,69
44,-0.0027,8,256,1,0.26,0.00032,64,8e-05,35
19,-0.0104,4,64,3,0.156,0.00062,128,0.000317,40
54,-0.0171,8,256,1,0.375,0.00025,64,0.000103,54
16,-0.0181,4,128,3,0.244,0.00492,256,0.000348,30
25,-0.0219,8,64,2,0.304,0.00035,256,2.5e-05,79
12,-0.0356,4,64,3,0.112,0.00109,128,0.000405,58
39,-0.0403,8,256,1,0.16,0.00021,64,0.000262,58
48,-0.0416,8,256,1,0.228,0.00013,64,0.000377,69
29,-0.0729,16,128,2,0.208,0.00083,256,0.000132,43
9,-0.078,8,256,1,0.204,0.00051,256,0.000943,36
14,-0.0781,4,64,2,0.139,0.00113,128,0.000712,41
18,-0.08,8,64,2,0.226,0.00027,256,0.00061,80
34,-0.0881,8,256,1,0.375,0.00047,64,6e-05,36
8,-0.0924,12,256,3,0.253,0.00302,256,0.000539,32
31,-0.0966,8,256,1,0.268,0.0015,64,0.000202,24
47,-0.1036,12,256,1,0.292,0.00041,64,0.000304,52
49,-0.1066,8,256,1,0.255,0.00029,64,8.7e-05,54
41,-0.1081,16,256,1,0.369,0.00022,64,0.000331,46
15,-0.1143,16,64,2,0.343,0.00026,128,0.000688,66
10,-0.117,12,32,1,0.114,0.00012,64,0.000279,80
50,-0.117,8,32,2,0.193,0.00045,64,0.000165,55
45,-0.1178,8,256,1,0.298,0.00056,64,0.000239,34
20,-0.145,16,128,1,0.075,0.00164,64,0.000814,30
26,-0.1461,4,64,1,0.353,0.00017,256,0.000498,80
40,-0.1762,12,32,1,0.243,0.00013,64,0.00018,80
11,-0.2227,8,128,2,0.007,0.00043,128,0.000547,57
55,-0.2305,8,256,1,0.338,0.00037,64,0.000271,40
36,-0.2417,8,256,1,0.182,0.00222,64,7.7e-05,53
35,-0.2647,8,256,1,0.279,0.00034,64,0.000237,41
2,-0.2679,12,64,2,0.182,0.00216,256,4.6e-05,47
51,-0.2876,12,256,3,0.312,0.00025,64,0.000284,48
5,-0.3684,12,256,1,0.395,0.00205,256,0.000707,38
28,-0.4001,8,32,1,0.327,0.00018,256,0.000634,80
3,-0.5474,16,32,3,0.176,0.00016,256,0.000259,80
7,-0.6682,12,32,1,0.043,0.00011,64,0.000908,66
