trial,val_r2,val_mse,hidden_dims,use_batchnorm,lr,dropout,weight_decay,batch_size,activation,mse_weight,optimizer,n_params,epochs
73,0.8696,0.018032,"[512, 256]",True,0.00292,0.251,0.000306,64,leakyrelu,0.229,adamw,303655,300
56,0.8696,0.018031,"[512, 256]",True,0.00218,0.158,0.000329,64,leakyrelu,0.26,adamw,303655,300
75,0.8693,0.018073,"[512, 256]",True,0.00333,0.321,0.000465,64,leakyrelu,0.225,adamw,303655,296
59,0.8691,0.018094,"[512, 256]",True,0.003,0.248,0.000343,64,leakyrelu,0.2,adamw,303655,287
94,0.8685,0.018179,"[512, 256]",True,0.00192,0.29,0.000234,64,leakyrelu,0.219,adamw,303655,265
55,0.8685,0.018183,"[512, 256]",True,0.00025,0.168,0.000336,64,leakyrelu,0.234,adamw,303655,284
66,0.8683,0.018209,"[512, 256]",True,0.00328,0.276,0.00042,64,leakyrelu,0.2,adamw,303655,236
64,0.8683,0.018203,"[512, 256]",True,0.00487,0.257,0.00033,64,leakyrelu,0.227,adamw,303655,300
52,0.8682,0.018226,"[512, 256]",True,0.00025,0.19,0.000272,64,leakyrelu,0.288,adamw,303655,300
89,0.8676,0.018306,"[512, 256]",True,0.00104,0.305,0.000313,64,leakyrelu,0.284,adamw,303655,235
97,0.8676,0.018306,"[512, 256]",True,0.00439,0.295,0.00019,64,leakyrelu,0.202,adamw,303655,216
83,0.8676,0.0183,"[512, 256]",True,0.00312,0.264,0.000314,64,leakyrelu,0.223,adamw,303655,263
100,0.8675,0.01832,"[512, 256]",True,0.00231,0.231,0.000301,64,leakyrelu,0.216,adamw,303655,200
96,0.8675,0.018324,"[512, 256]",True,0.00243,0.264,0.000231,64,leakyrelu,0.232,adamw,303655,300
65,0.8674,0.018339,"[512, 256]",True,0.00488,0.257,0.000422,64,leakyrelu,0.229,adamw,303655,180
95,0.8672,0.018358,"[512, 256]",True,0.00192,0.288,0.000218,64,leakyrelu,0.214,adamw,303655,300
62,0.8672,0.018363,"[512, 256]",True,0.00471,0.25,0.000333,64,leakyrelu,0.232,adamw,303655,175
92,0.8672,0.018366,"[512, 256]",True,0.00115,0.314,0.000318,64,leakyrelu,0.285,adamw,303655,257
67,0.8671,0.018379,"[512, 256]",True,0.00336,0.284,0.000408,64,leakyrelu,0.279,adamw,303655,268
72,0.8671,0.018376,"[512, 256]",True,0.00476,0.239,0.000414,64,leakyrelu,0.239,adamw,303655,252
82,0.867,0.018393,"[512, 256]",True,0.00244,0.178,0.000427,64,leakyrelu,0.201,adamw,303655,129
63,0.867,0.018384,"[512, 256]",True,0.00438,0.253,0.000341,64,leakyrelu,0.222,adamw,303655,259
68,0.8667,0.018429,"[512, 256]",True,0.00362,0.332,0.000478,64,relu,0.205,adamw,303655,262
22,0.8666,0.018448,"[128, 128, 64]",True,0.00034,0.058,0.000291,64,leakyrelu,0.318,adamw,60327,300
77,0.8666,0.018437,"[512, 256]",True,0.0032,0.316,0.000521,64,leakyrelu,0.262,adamw,303655,223
41,0.8665,0.018457,"[512, 64]",True,0.00037,0.052,0.00029,256,leakyrelu,0.308,adamw,103591,186
54,0.8665,0.018451,"[512, 256]",True,0.00025,0.165,0.000345,64,leakyrelu,0.256,adamw,303655,279
60,0.8664,0.018465,"[512, 256]",True,0.00286,0.274,0.000961,64,leakyrelu,0.206,adamw,303655,169
33,0.8663,0.018486,"[512, 128, 32]",True,0.00021,0.03,0.000278,256,leakyrelu,0.383,adamw,177511,300
81,0.8662,0.018502,"[512, 256]",True,0.00381,0.347,0.000142,128,leakyrelu,0.248,adamw,303655,247
49,0.8661,0.018516,"[512, 256]",True,0.0002,0.206,0.000286,64,leakyrelu,0.235,adamw,303655,300
98,0.866,0.018529,"[512, 256]",True,0.00359,0.278,0.000271,64,leakyrelu,0.271,adamw,303655,300
85,0.8659,0.01854,"[512, 256]",True,0.00264,0.28,0.000307,64,leakyrelu,0.262,adamw,303655,204
79,0.8657,0.018565,"[512, 256]",True,0.00412,0.192,0.000474,64,leakyrelu,0.221,adamw,303655,124
24,0.8653,0.018629,"[128, 128, 64]",True,0.00028,0.04,0.000245,64,leakyrelu,0.357,adamw,60327,242
30,0.8653,0.018624,"[256, 128, 32]",True,0.00029,0.036,0.000382,256,leakyrelu,0.392,adamw,93543,239
93,0.8651,0.018645,"[512, 256]",True,0.00272,0.309,0.000348,64,leakyrelu,0.242,adamw,303655,109
84,0.8649,0.018675,"[512, 256]",True,0.00316,0.242,0.000212,64,leakyrelu,0.22,adamw,303655,124
16,0.8649,0.018684,"[128, 512, 64]",True,0.00017,0.034,0.000358,64,leakyrelu,0.585,adamw,210087,300
45,0.8648,0.018699,"[64, 64]",True,0.00049,0.066,0.000453,256,leakyrelu,0.445,adamw,13991,300
91,0.8648,0.018691,"[512, 256]",True,0.0034,0.201,0.000463,128,elu,0.262,adamw,303655,300
20,0.8647,0.018708,"[128, 128, 64]",True,0.00034,0.107,0.000323,64,leakyrelu,0.336,adamw,60327,300
31,0.8646,0.018721,"[256, 128]",True,0.00027,0.065,9.5e-05,256,leakyrelu,0.379,adamw,86311,258
57,0.8644,0.018748,"[512, 256]",True,0.00126,0.163,0.000335,64,relu,0.249,adamw,303655,133
80,0.8643,0.018756,"[512, 256]",True,0.00179,0.273,0.000548,64,leakyrelu,0.303,adamw,303655,130
35,0.8642,0.018776,"[512, 128, 32]",True,0.00021,0.06,0.000486,256,leakyrelu,0.452,adamw,177511,282
36,0.864,0.018797,"[512, 128, 32]",True,0.00042,0.019,0.000612,256,leakyrelu,0.399,adamw,177511,161
26,0.8639,0.018813,"[128, 128, 64]",True,0.00027,0.032,0.000248,64,leakyrelu,0.361,adamw,60327,300
53,0.8638,0.01883,"[512, 256]",True,0.00023,0.19,0.000276,64,leakyrelu,0.295,adamw,303655,168
19,0.8637,0.018843,"[128, 128, 64]",True,0.00037,0.052,0.000354,64,leakyrelu,0.513,adamw,60327,211
17,0.8636,0.018854,"[128, 512, 64]",True,0.00048,0.048,0.000407,64,leakyrelu,0.551,adamw,210087,148
23,0.8633,0.018903,"[128, 128, 64]",True,0.00033,0.088,0.000305,64,leakyrelu,0.319,adamw,60327,300
48,0.8629,0.018951,"[64, 128]",True,0.00043,0.002,0.000322,256,leakyrelu,0.407,adamw,23335,239
32,0.8627,0.018978,"[256, 128, 32]",True,0.00014,0.033,0.000429,256,leakyrelu,0.291,adamw,93543,300
12,0.8627,0.018988,"[32, 512]",True,0.0001,0.004,4e-06,128,leakyrelu,0.657,adamw,44327,300
43,0.8625,0.019013,"[512, 64]",True,0.00028,0.08,0.000219,256,leakyrelu,0.253,adamw,103591,300
34,0.8623,0.019041,"[512, 128, 32]",True,0.0003,0.085,0.000278,256,leakyrelu,0.379,adamw,177511,260
25,0.8616,0.019137,"[256, 32, 64]",True,0.00017,0.038,0.000159,64,leakyrelu,0.213,adamw,40295,296
44,0.8615,0.019149,[512],True,0.00022,0.055,0.000392,256,leakyrelu,0.39,adamw,43047,300
18,0.8612,0.019184,"[128, 512, 64]",True,0.00054,0.159,0.000444,64,relu,0.571,adamw,210087,259
69,0.861,0.019211,"[512, 256]",False,0.0017,0.232,0.000431,64,leakyrelu,0.235,adamw,300583,189
38,0.8606,0.019267,"[256, 64, 32]",True,0.00135,0.099,0.000369,256,elu,0.422,adamw,56295,300
14,0.8605,0.019283,"[32, 512]",True,0.00019,0.005,3e-06,128,leakyrelu,0.72,adamw,44327,300
42,0.8604,0.019306,"[512, 64]",True,0.00039,0.048,0.000284,256,leakyrelu,0.297,adamw,103591,175
13,0.86,0.019362,"[32, 512]",True,0.0001,0.003,4.2e-05,128,leakyrelu,0.684,adamw,44327,300
47,0.8599,0.01937,[256],True,0.00031,0.042,0.000814,256,relu,0.347,adamw,21543,300
21,0.8598,0.019377,"[128, 128, 32]",True,0.00016,0.106,0.000541,64,relu,0.241,adamw,51559,274
71,0.8596,0.019408,"[64, 256]",True,0.00372,0.264,0.00037,64,leakyrelu,0.201,adamw,42023,177
88,0.8591,0.019487,"[64, 256]",True,0.00309,0.264,0.000388,64,leakyrelu,0.22,adamw,42023,226
