province,cluster_id,z1,z2,z3,z4,z5,z6
01 Distrito Nacional,3,-0.03408525320000003,-0.029151458,-0.02322935399999997,-0.6865935573999999,0.9125344759999999,-0.11548437599999997
02 Azua,0,-0.35888116800000003,0.6578287119999999,0.7280867609999999,0.35692404,0.034060394800000005,0.9201684059999999
03 Baoruco,1,-0.13554710799999997,-0.25601367,-0.31411975280000004,1.175460188,0.10875132679999999,0.32679841600000004
04 Barahona,3,0.432529404,0.31619056,-0.30077096200000003,-0.34770887000000006,-0.14101248719999998,0.023252095792000004
05 Dajabón,1,0.166980477,-0.713691666,-0.7185599645,1.58383162,-0.755568156,0.04295200079999999
06 Duarte,4,-0.747683704,-0.875728872,0.5804901431999999,-0.04503979100000001,0.030015391999999995,-0.868876778
07 Elías Piña,1,-1.210884168,-1.32444877,-0.07217193400000003,2.7305212,-0.773349288,-0.019479360000000057
08 El Seibo,2,0.290792662,1.437556312,-0.6332104860000001,-0.38170198099999997,-1.5905194120000001,-0.05701388400000003
09 Espaillat,3,0.02525756599999998,-0.133694466,0.06528380599999999,-0.644889042,-0.031299080000000014,-0.399600494
10 Independencia,1,0.226383562,0.11244823200000002,-0.8474859,1.60368368,-0.9884505000000001,0.479015594
11 La Altagracia,2,0.924487424,0.490806334,-1.3783039599999998,-0.771537512,-0.9315161599999999,-0.8620426699999999
12 La Romana,2,0.55695151,0.801594984,-0.9710386879999999,-0.203533658,-0.525762909,-0.247648854
13 La Vega,4,-1.405288026,-1.231705132,1.1203401320000002,0.6296777440000001,0.6938151568,-0.38808589200000004
14 María Trinidad Sánchez,3,-0.21750502959999998,0.1456377884,0.5117240582,-0.9121035080000001,-0.327302498,-0.5994080399999999
15 Monte Cristi,2,1.7023181700000003,1.2828979,-1.628630732,-0.649192736,-0.21741765759999998,0.8097448679999999
16 Pedernales,2,1.1022755119999998,0.43105857140000003,-1.4034808,1.0643018311,-1.4074977,0.43873242799999995
17 Peravia,3,-0.2708893976,0.8995787420000001,-0.10279287019999998,-0.01987869200000001,0.508142986,0.714862368
18 Puerto Plata,3,0.504930244,0.94447165,-0.39596593680000003,-1.38906222,-0.21346523099999998,0.189408882
19 Hermanas Mirabal,4,-0.876663972,-0.9389251059999999,0.695125605,0.2878672318,0.027709205999999997,-0.7575606558800001
20 Samaná,3,0.060260346000000034,0.21407054439999995,-0.03146199000000001,-0.9157005440000001,-0.1998073084,-0.5103761448
21 San Cristóbal,3,-0.22644212599999997,0.165092124,0.341822246,-0.6361783928,0.49192683,-0.10089070600000002
22 San Juan,0,-1.525228488,-0.651793996,1.439927194,1.52822967,-0.015071853399999979,0.42501062
23 San Pedro de Macorís,3,0.6288672787999999,0.425536692,-0.6013917414,-0.32931055200000003,0.134503724,0.16443775900000002
24 Sánchez Ramírez,4,-1.179093982,-0.958602298,0.758584694,0.13242954304000001,0.07956957500000002,-0.9857828645000002
25 Santiago,4,-0.60385678,-1.353373666,0.11659102800000001,0.5474501,1.339194292,-0.21028458800000002
26 Santiago Rodríguez,1,-0.60870964,-0.639504072,-0.03929582999999999,1.7496408200000002,-0.249301642,0.41333648
27 Valverde,1,-0.194033128,-0.862649616,-0.32985334340000005,1.2095304,0.584167022,0.440937
28 Monseñor Nouel,4,-1.7226794699999999,-0.89746235,1.6402102200000002,0.38370409800000005,0.143787904,-0.5852652299999999
29 Monte Plata,4,-0.751345526,-0.396319834,0.35777442600000003,0.36387807600000005,-0.63841853,-0.9422537419999999
30 Hato Mayor,3,-0.13156787999999997,-0.011823821999999994,-0.057649396,0.12828304,-0.5135653579999999,-0.475213282
31 San José de Ocoa,0,-1.490097126,0.42941787800000003,1.80020542,0.45191389400000004,0.234338084,0.820078752
32 Santo Domingo,3,0.184796398,-0.491164386,-0.45624989939999994,-1.42726422,2.27060766,-0.25789845999999994
