province,year,month,week,total_cases
01 Distrito Nacional,2014,1,53,1
01 Distrito Nacional,2015,1,1,5
01 Distrito Nacional,2015,1,2,11
01 Distrito Nacional,2015,1,3,2
01 Distrito Nacional,2015,1,4,5
01 Distrito Nacional,2015,2,5,6
01 Distrito Nacional,2015,2,6,6
01 Distrito Nacional,2015,2,7,7
01 Distrito Nacional,2015,2,8,5
01 Distrito Nacional,2015,3,9,13
01 Distrito Nacional,2015,3,10,4
01 Distrito Nacional,2015,3,11,4
01 Distrito Nacional,2015,3,12,4
01 Distrito Nacional,2015,3,13,1
01 Distrito Nacional,2015,4,13,5
01 Distrito Nacional,2015,4,14,8
01 Distrito Nacional,2015,4,15,10
01 Distrito Nacional,2015,4,16,19
01 Distrito Nacional,2015,4,17,5
01 Distrito Nacional,2015,5,17,5
01 Distrito Nacional,2015,5,18,17
01 Distrito Nacional,2015,5,19,16
01 Distrito Nacional,2015,5,20,18
01 Distrito Nacional,2015,5,21,24
01 Distrito Nacional,2015,5,22,2
01 Distrito Nacional,2015,6,22,18
01 Distrito Nacional,2015,6,23,23
01 Distrito Nacional,2015,6,24,31
01 Distrito Nacional,2015,6,25,14
01 Distrito Nacional,2015,6,26,7
01 Distrito Nacional,2015,7,26,18
01 Distrito Nacional,2015,7,27,28
01 Distrito Nacional,2015,7,28,25
01 Distrito Nacional,2015,7,29,32
01 Distrito Nacional,2015,7,30,31
01 Distrito Nacional,2015,8,30,3
01 Distrito Nacional,2015,8,31,40
01 Distrito Nacional,2015,8,32,35
01 Distrito Nacional,2015,8,33,35
01 Distrito Nacional,2015,8,34,41
01 Distrito Nacional,2015,8,35,19
01 Distrito Nacional,2015,9,35,50
01 Distrito Nacional,2015,9,36,80
01 Distrito Nacional,2015,9,37,66
01 Distrito Nacional,2015,9,38,93
01 Distrito Nacional,2015,9,39,49
01 Distrito Nacional,2015,10,39,53
01 Distrito Nacional,2015,10,40,117
01 Distrito Nacional,2015,10,41,97
01 Distrito Nacional,2015,10,42,139
01 Distrito Nacional,2015,10,43,105
01 Distrito Nacional,2015,11,44,95
