Index,province_clean,10_19,1_4,20_29,30_39,40_49,50_59,5_9,60 o más,<1
1,Azua,25.9,19.08,8.16,4.11,2.39,2.86,24.02,6.08,7.38
2,Baoruco,21.33,21.67,6.31,3.24,1.88,1.88,29.01,2.9,11.77
3,Barahona,26.07,21.62,6.42,2.17,1.85,1.42,28.2,2.01,10.24
4,Dajabón,39.39,11.47,10.52,2.68,2.68,2.68,22.37,3.82,4.4
5,Distrito Nacional,33.91,13.98,10.59,5.21,2.9,2.28,21.98,2.94,6.2
6,Duarte,35.34,11.13,10.99,4.87,3.04,2.99,22.12,3.89,5.63
7,El Seibo,36.03,7.57,15.14,6.79,2.61,4.18,16.71,7.57,3.39
8,Elías Piña,30.82,16.31,10.57,5.74,3.02,1.81,21.75,2.72,7.25
9,Espaillat,36.17,11.68,10.19,4.91,3.05,1.8,22.81,4.35,5.03
10,Extranjero,0.0,7.14,7.14,42.86,21.43,14.29,0.0,0.0,7.14
11,Hato Mayor,38.64,10.49,12.59,6.05,3.7,1.85,20.86,3.09,2.72
12,Hermanas Mirabal,38.64,8.55,12.49,4.69,4.78,2.18,20.7,4.86,3.1
13,Independencia,30.24,13.23,10.24,3.94,2.83,0.94,27.24,2.2,9.13
14,La Altagracia,34.95,10.51,15.57,7.19,5.06,2.67,16.28,4.03,3.76
15,La Romana,33.69,15.1,10.85,3.64,2.96,1.82,23.07,2.88,5.99
16,La Vega,36.34,8.77,13.65,6.23,4.01,3.77,19.22,4.67,3.35
17,María Trinidad Sánchez,40.41,10.52,12.2,5.84,2.74,3.18,16.89,5.22,3.01
18,Monseñor Nouel,39.49,10.4,10.97,4.69,2.6,3.1,21.08,3.9,3.75
19,Monte Cristi,32.06,13.16,11.43,6.3,4.09,3.53,21.19,4.22,4.02
20,Monte Plata,35.84,14.25,6.91,2.71,1.31,1.49,26.75,4.02,6.73
21,Pedernales,21.77,24.35,8.86,7.38,1.11,3.69,22.14,3.32,7.38
22,Peravia,22.96,25.75,3.74,1.76,1.91,1.32,28.76,2.79,11.01
23,Puerto Plata,34.66,8.63,12.18,6.51,4.68,3.9,19.23,6.85,3.35
24,Samaná,35.99,9.08,10.64,6.26,4.85,4.23,19.87,5.48,3.6
25,San Cristóbal,30.13,18.81,5.28,2.24,1.67,1.07,30.16,2.24,8.39
26,San José de Ocoa,34.91,12.09,9.86,4.46,4.55,4.2,19.13,6.26,4.55
27,San Juan,29.84,8.89,15.59,6.46,5.24,3.9,18.64,7.49,3.96
28,San Pedro de Macorís,29.8,15.62,9.74,3.92,2.62,1.96,26.31,3.92,6.1
29,Santiago,35.53,14.23,8.14,3.64,2.56,1.98,25.76,2.93,5.24
30,Santiago Rodríguez,44.24,9.89,11.51,7.19,2.88,4.14,14.75,3.42,1.98
31,Santo Domingo,33.28,17.18,6.42,2.82,1.88,1.35,28.28,1.53,7.26
32,Sánchez Ramírez,39.79,11.36,10.53,4.0,2.3,2.3,22.95,3.36,3.4
33,Valverde,34.16,14.43,10.95,3.99,2.03,1.6,25.16,2.61,5.08
