province,shape_score,tier,total_cases,zero_pct,cv,AR1_R2,AR1_coef,AR_memory_wks,AR_useful,dominant_period_wks,peak_month,seasonal_ratio,strong_seasonality,lag1_R2,month_R2,year_trend_R2,best_lag,lag_useful,month_useful
25 Santiago,94.0,T1-Excellent,9223,7.3,1.438,0.8384,0.9159,20,YES,156.0,Nov,1.963,YES,0.838,0.096,0.036,1,YES,YES
32 Santo Domingo,92.8,T1-Excellent,21596,4.1,1.695,0.82,0.9058,13,YES,234.0,Aug,1.979,YES,0.82,0.104,0.0,1,YES,YES
01 Distrito Nacional,92.1,T1-Excellent,7268,10.7,1.627,0.8253,0.9086,15,YES,234.0,Oct,1.857,YES,0.825,0.094,0.035,1,YES,YES
21 San Cristóbal,80.3,T1-Excellent,3649,20.1,1.634,0.7684,0.8769,13,YES,66.9,Aug,2.02,YES,0.768,0.102,0.0,1,YES,YES
13 La Vega,78.2,T1-Excellent,3339,27.6,1.758,0.8312,0.9118,17,YES,234.0,Oct,2.324,YES,0.831,0.124,0.118,1,YES,YES
04 Barahona,71.9,T1-Excellent,2530,25.4,1.527,0.6609,0.8133,19,YES,234.0,Nov,1.661,YES,0.661,0.047,0.004,1,YES,WEAK
06 Duarte,68.9,T1-Excellent,2235,37.4,1.642,0.7675,0.8764,20,YES,234.0,Nov,2.099,YES,0.767,0.099,0.095,1,YES,YES
02 Azua,66.6,T1-Excellent,1917,31.4,1.5,0.6561,0.8103,20,YES,234.0,Oct,1.979,YES,0.656,0.094,0.028,1,YES,YES
24 Sánchez Ramírez,66.3,T1-Excellent,2172,35.3,1.807,0.6935,0.8329,12,YES,234.0,Oct,2.274,YES,0.693,0.128,0.001,1,YES,YES
18 Puerto Plata,64.9,T1-Excellent,2027,32.7,1.576,0.5933,0.7705,15,YES,234.0,Oct,1.886,YES,0.593,0.102,0.008,1,YES,YES
09 Espaillat,64.9,T1-Excellent,1607,27.4,1.603,0.6652,0.8159,13,YES,52.0,Oct,1.982,YES,0.665,0.119,0.031,1,YES,YES
22 San Juan,64.5,T1-Excellent,1640,33.5,1.793,0.71,0.8426,12,YES,52.0,Oct,2.532,YES,0.71,0.138,0.003,1,YES,YES
11 La Altagracia,63.5,T1-Excellent,1837,42.7,2.109,0.7823,0.8845,17,YES,234.0,Oct,2.354,YES,0.782,0.103,0.011,1,YES,YES
23 San Pedro de Macorís,60.3,T1-Excellent,1376,36.1,1.693,0.6205,0.7879,15,YES,52.0,Oct,2.145,YES,0.62,0.123,0.0,1,YES,YES
17 Peravia,60.2,T1-Excellent,1362,38.9,1.566,0.5845,0.7647,16,YES,156.0,Jun,1.7,YES,0.584,0.072,0.001,1,YES,YES
27 Valverde,59.4,T1-Excellent,1379,43.8,1.92,0.6559,0.81,19,YES,234.0,Oct,2.375,YES,0.656,0.108,0.001,1,YES,YES
28 Monseñor Nouel,59.2,T1-Excellent,1385,40.0,1.867,0.6049,0.7778,9,YES,52.0,Aug,2.243,YES,0.605,0.14,0.023,1,YES,YES
14 María Trinidad Sánchez,58.4,T1-Excellent,1131,40.0,1.615,0.6083,0.7802,16,YES,234.0,Nov,2.013,YES,0.608,0.119,0.001,1,YES,YES
31 San José de Ocoa,58.3,T1-Excellent,1165,41.9,1.75,0.5941,0.771,12,YES,156.0,Aug,1.947,YES,0.594,0.117,0.018,1,YES,YES
19 Hermanas Mirabal,57.8,T1-Excellent,1193,41.0,1.625,0.5581,0.7472,20,YES,234.0,Oct,1.896,YES,0.558,0.091,0.141,1,YES,YES
29 Monte Plata,57.5,T1-Excellent,1144,44.4,1.686,0.619,0.7867,13,YES,52.0,Sep,2.409,YES,0.619,0.139,0.073,1,YES,YES
15 Monte Cristi,55.5,T1-Excellent,1444,42.1,1.615,0.395,0.6285,23,YES,234.0,Sep,1.594,YES,0.395,0.035,0.301,1,YES,WEAK
30 Hato Mayor,49.2,T2-Good,810,58.3,2.132,0.5751,0.7585,15,YES,117.0,Oct,2.964,YES,0.575,0.155,0.001,1,YES,YES
20 Samaná,48.6,T2-Good,639,53.4,1.792,0.4325,0.6578,12,YES,117.0,Aug,2.207,YES,0.433,0.107,0.005,1,YES,YES
03 Baoruco,47.7,T2-Good,586,52.6,1.814,0.3796,0.6163,9,YES,234.0,Oct,2.432,YES,0.38,0.067,0.0,1,YES,YES
10 Independencia,47.4,T2-Good,631,57.3,2.043,0.4435,0.666,11,YES,234.0,Aug,1.667,YES,0.443,0.046,0.231,1,YES,WEAK
12 La Romana,47.1,T2-Good,1316,46.2,3.019,0.6614,0.8133,6,YES,234.0,Aug,3.629,YES,0.661,0.106,0.263,1,YES,YES
26 Santiago Rodríguez,45.5,T2-Good,556,59.2,2.051,0.4309,0.6565,8,YES,468.0,Oct,1.971,YES,0.431,0.098,0.004,1,YES,YES
05 Dajabón,44.0,T2-Good,523,63.5,2.238,0.5207,0.7216,10,YES,468.0,Aug,2.632,YES,0.521,0.185,0.151,1,YES,YES
08 El Seibo,39.5,T2-Good,382,69.9,2.404,0.465,0.6819,12,YES,234.0,Aug,2.183,YES,0.465,0.102,0.044,1,YES,YES
07 Elías Piña,38.9,T2-Good,331,68.6,2.236,0.3405,0.5837,5,YES,52.0,Nov,2.532,YES,0.341,0.159,0.015,1,YES,YES
16 Pedernales,36.6,T2-Good,271,70.7,2.051,0.1069,0.327,2,WEAK,234.0,Nov,1.966,YES,0.107,0.054,0.117,1,WEAK,YES
