province,total_cases,mean_wk,median_wk,std_wk,cv,peak,zero_pct,active_weeks
32 Santo Domingo,21596,46.15,20.5,78.21,1.695,797,4.1,449
25 Santiago,9223,19.71,7.0,28.33,1.438,173,7.3,434
01 Distrito Nacional,7268,15.53,6.0,25.26,1.627,206,10.7,418
21 San Cristóbal,3649,7.8,3.0,12.74,1.634,119,20.1,374
13 La Vega,3339,7.13,2.0,12.54,1.758,86,27.6,339
04 Barahona,2530,5.41,2.0,8.26,1.527,50,25.4,349
06 Duarte,2235,4.78,1.0,7.84,1.642,41,37.4,293
24 Sánchez Ramírez,2172,4.64,2.0,8.39,1.807,78,35.3,303
18 Puerto Plata,2027,4.33,1.5,6.83,1.576,64,32.7,315
02 Azua,1917,4.1,2.0,6.14,1.5,39,31.4,321
11 La Altagracia,1837,3.93,1.0,8.28,2.109,49,42.7,268
22 San Juan,1640,3.5,1.0,6.28,1.793,46,33.5,311
09 Espaillat,1607,3.43,1.0,5.5,1.603,49,27.4,340
15 Monte Cristi,1444,3.09,1.0,4.98,1.615,55,42.1,271
28 Monseñor Nouel,1385,2.96,1.0,5.53,1.867,48,40.0,281
27 Valverde,1379,2.95,1.0,5.66,1.92,41,43.8,263
23 San Pedro de Macorís,1376,2.94,1.0,4.98,1.693,47,36.1,299
17 Peravia,1362,2.91,1.0,4.56,1.566,30,38.9,286
12 La Romana,1316,2.81,1.0,8.49,3.019,105,46.2,252
19 Hermanas Mirabal,1193,2.55,1.0,4.14,1.625,32,41.0,276
31 San José de Ocoa,1165,2.49,1.0,4.36,1.75,27,41.9,272
29 Monte Plata,1144,2.44,1.0,4.12,1.686,31,44.4,260
14 María Trinidad Sánchez,1131,2.42,1.0,3.9,1.615,30,40.0,281
30 Hato Mayor,810,1.73,0.0,3.69,2.132,30,58.3,195
20 Samaná,639,1.37,0.0,2.45,1.792,23,53.4,218
10 Independencia,631,1.35,0.0,2.76,2.043,22,57.3,200
03 Baoruco,586,1.25,0.0,2.27,1.814,21,52.6,222
26 Santiago Rodríguez,556,1.19,0.0,2.44,2.051,24,59.2,191
05 Dajabón,523,1.12,0.0,2.5,2.238,22,63.5,171
08 El Seibo,382,0.82,0.0,1.96,2.404,16,69.9,141
07 Elías Piña,331,0.71,0.0,1.58,2.236,14,68.6,147
16 Pedernales,271,0.58,0.0,1.19,2.051,10,70.7,137
