province,AR1_coef,AR1_R2,AR1_pvalue,ACF_lag1,ACF_lag4,ACF_lag13,ACF_lag52,AR_memory_wks,AR_useful
25 Santiago,0.9159,0.8384,0.0,0.915,0.7546,0.4387,-0.119,20,YES
13 La Vega,0.9118,0.8312,0.0,0.9112,0.7003,0.3279,-0.0573,17,YES
01 Distrito Nacional,0.9086,0.8253,0.0,0.9079,0.6592,0.2362,-0.0804,15,YES
32 Santo Domingo,0.9058,0.82,0.0,0.9052,0.5707,0.1738,-0.0669,13,YES
11 La Altagracia,0.8845,0.7823,0.0,0.8841,0.6892,0.2769,-0.097,17,YES
21 San Cristóbal,0.8769,0.7684,0.0,0.8762,0.6164,0.1928,-0.0762,13,YES
06 Duarte,0.8764,0.7675,0.0,0.8757,0.7423,0.3912,-0.1445,20,YES
22 San Juan,0.8426,0.71,0.0,0.842,0.6259,0.1513,-0.0534,12,YES
24 Sánchez Ramírez,0.8329,0.6935,0.0,0.8323,0.4878,0.1473,-0.0412,12,YES
09 Espaillat,0.8159,0.6652,0.0,0.8152,0.4656,0.1855,-0.0176,13,YES
12 La Romana,0.8133,0.6614,0.0,0.8131,0.3482,0.05,-0.0037,6,YES
04 Barahona,0.8133,0.6609,0.0,0.8126,0.6153,0.2688,-0.114,19,YES
02 Azua,0.8103,0.6561,0.0,0.8095,0.7201,0.3717,-0.1527,20,YES
27 Valverde,0.81,0.6559,0.0,0.8096,0.5988,0.3216,-0.1148,19,YES
23 San Pedro de Macorís,0.7879,0.6205,0.0,0.7873,0.4715,0.2192,-0.0241,15,YES
29 Monte Plata,0.7867,0.619,0.0,0.7862,0.6005,0.1992,0.0685,13,YES
14 María Trinidad Sánchez,0.7802,0.6083,0.0,0.7796,0.5499,0.2617,-0.0318,16,YES
28 Monseñor Nouel,0.7778,0.6049,0.0,0.7773,0.3661,0.0705,0.0948,9,YES
31 San José de Ocoa,0.771,0.5941,0.0,0.7705,0.5314,0.181,-0.0345,12,YES
18 Puerto Plata,0.7705,0.5933,0.0,0.7698,0.5216,0.2585,-0.015,15,YES
17 Peravia,0.7647,0.5845,0.0,0.764,0.5701,0.2475,-0.2024,16,YES
30 Hato Mayor,0.7585,0.5751,0.0,0.7581,0.4894,0.2964,-0.1003,15,YES
19 Hermanas Mirabal,0.7472,0.5581,0.0,0.7466,0.5724,0.2836,-0.0709,20,YES
05 Dajabón,0.7216,0.5207,0.0,0.7213,0.5415,0.0399,0.0193,10,YES
08 El Seibo,0.6819,0.465,0.0,0.6817,0.4179,0.2158,-0.0819,12,YES
10 Independencia,0.666,0.4435,0.0,0.6656,0.5233,0.0963,0.0176,11,YES
20 Samaná,0.6578,0.4325,0.0,0.6574,0.4509,0.1649,-0.0859,12,YES
26 Santiago Rodríguez,0.6565,0.4309,0.0,0.6561,0.3565,0.0781,0.006,8,YES
15 Monte Cristi,0.6285,0.395,0.0,0.6279,0.3897,0.2511,0.0819,23,YES
03 Baoruco,0.6163,0.3796,0.0,0.6159,0.3218,0.1142,-0.0308,9,YES
07 Elías Piña,0.5837,0.3405,0.0,0.5834,0.2627,0.0607,0.0292,5,YES
16 Pedernales,0.327,0.1069,0.0,0.3268,0.1977,0.0356,-0.0146,2,WEAK
