,01 Distrito Nacional,02 Azua,03 Baoruco,04 Barahona,05 Dajabón,06 Duarte,07 Elías Piña,08 El Seibo,09 Espaillat,10 Independencia,11 La Altagracia,12 La Romana,13 La Vega,14 María Trinidad Sánchez,15 Monte Cristi,16 Pedernales,17 Peravia,18 Puerto Plata,19 Hermanas Mirabal,20 Samaná,21 San Cristóbal,22 San Juan,23 San Pedro de Macorís,24 Sánchez Ramírez,25 Santiago,26 Santiago Rodríguez,27 Valverde,28 Monseñor Nouel,29 Monte Plata,30 Hato Mayor,31 San José de Ocoa,32 Santo Domingo
01 Distrito Nacional,0.999999999999999,0.7409599496459217,0.7153332183952638,0.8040100667291712,0.6289788045597836,0.709743028711109,0.6825993380039591,0.7651790209864483,0.6898266473866976,0.5150862933389868,0.7118941189647338,0.722760376651756,0.80924952233037,0.7500258363744463,0.5992359024397764,0.15787086792475155,0.5542543556938841,0.7898262943240507,0.7497769102046146,0.6566373130117155,0.8981760529909092,0.8234063598592032,0.7753922729009526,0.7629060237984113,0.6874854077100441,0.6975115986990182,0.7420449383445553,0.7806571767601678,0.7763690416606619,0.4793127258766846,0.6862928419217759,0.9457896274264911
02 Azua,0.7409599496459217,1.0000000000000007,0.5566595081898496,0.692834023845879,0.4007503508641353,0.686739874390768,0.5652887117801528,0.6746997367750608,0.5566962158475806,0.3710184184618103,0.6738452916732344,0.4443725826398062,0.6727225080338717,0.6194237049843225,0.387546494712708,0.14844309409488005,0.5085356948447908,0.6183354035110056,0.6280932899569799,0.4956157878117448,0.7447654007116833,0.6958984460623128,0.647105490862779,0.4929223178009532,0.6952809480516653,0.4517363643628644,0.7597364376437362,0.48709053773813016,0.5762982645544731,0.5242948541753533,0.6338689129825833,0.7213159230330202
03 Baoruco,0.7153332183952638,0.5566595081898496,0.9999999999999923,0.6882584516812787,0.45134948736432223,0.487728273335408,0.5594078728360096,0.5180916785559172,0.5536882472870247,0.5589606291877681,0.44684128536803824,0.6443461668498658,0.5604112905002023,0.5810027718846584,0.5148333516356761,0.11777106112550502,0.5332312380025098,0.56060485576994,0.5571008914873901,0.48166584095449744,0.7087199150446895,0.6424173144468373,0.553953831168694,0.5409431588541217,0.4906116349465444,0.5266719756822291,0.5154366173951207,0.6227422376315587,0.5869938606094484,0.2974770971402582,0.5661839124219039,0.7316840822126555
04 Barahona,0.8040100667291712,0.692834023845879,0.6882584516812787,0.9999999999999999,0.4978166224304103,0.5404825215182494,0.5996097112751532,0.5913641967363364,0.5365380265747239,0.5944328097814476,0.5684034569216283,0.67165879404024,0.5562749679660464,0.5421080703129506,0.5544252550466703,0.17934561800145407,0.599415432859634,0.6082216005914441,0.5381814425939969,0.41570072472363523,0.7985631691046807,0.679401210095713,0.6272535904051002,0.5644237790873861,0.563778615642821,0.5547981917886566,0.7461484118187438,0.5628140194415319,0.6697470974990465,0.35393113142734717,0.6587249139624832,0.8231627201981289
05 Dajabón,0.6289788045597836,0.4007503508641353,0.45134948736432223,0.4978166224304103,1.0000000000000016,0.47245719282058546,0.4876988246448892,0.48756560384834646,0.5785230829574732,0.5208266447522556,0.45123661976920015,0.586060776284326,0.5534039908278756,0.5310816855550523,0.5998488606100676,0.026002012205487327,0.21445070111460876,0.56517057164708,0.49398798350143824,0.5863876514856555,0.621437437038641,0.6134440426711184,0.5702730209997563,0.6927104983630943,0.5485547785433948,0.6208490902222233,0.5123191598567801,0.6083108249504285,0.6985616789408159,0.3152462799554488,0.5405026753389072,0.6494527475806487
06 Duarte,0.709743028711109,0.686739874390768,0.487728273335408,0.5404825215182494,0.47245719282058546,0.9999999999999992,0.49336308905213994,0.6488417903837375,0.7288039941294246,0.22491708413486028,0.6377150907682454,0.34806887711213336,0.8478539998151491,0.7408894769785788,0.44221064618643185,0.10850419905414871,0.3750194534197363,0.7346026768962806,0.786687692492916,0.6741973794710916,0.6489513469157349,0.7860523180781019,0.6960536228446326,0.6602185571865133,0.78733004192475,0.5683068675669222,0.6066498904692891,0.5970356270221641,0.6706599614890016,0.5532840554671459,0.6154043687132027,0.6522673794056567
07 Elías Piña,0.6825993380039591,0.5652887117801528,0.5594078728360096,0.5996097112751532,0.4876988246448892,0.49336308905213994,1.0000000000000067,0.5939672513371091,0.5853216648699215,0.39457816469009765,0.4615043658289146,0.599812877461718,0.5564740456615335,0.5298363404279668,0.5057909379962576,0.06748814701078536,0.4289158340543182,0.6091690762001077,0.5368141081888294,0.5338497601077135,0.6960052153706348,0.6683990866539313,0.5744620078559738,0.5752062169834187,0.5439051196471935,0.543851909774306,0.5356291408146865,0.6019864150790297,0.5896222771746211,0.3379531142189732,0.574199828834919,0.7120831392974781
08 El Seibo,0.7651790209864483,0.6746997367750608,0.5180916785559172,0.5913641967363364,0.48756560384834646,0.6488417903837375,0.5939672513371091,1.000000000000001,0.6243239165165597,0.25569438395153543,0.7303157462509402,0.5711577139476874,0.7423465560689588,0.6183493476313507,0.4593990597174953,0.14101206397395544,0.33032898088553553,0.6987091272018887,0.6547926674972873,0.5973295884355908,0.7420248985137723,0.7149212456193113,0.7294837979884242,0.5612940733014339,0.6824627491484105,0.5762170012328766,0.685302632476573,0.6024860704047723,0.6092964495740478,0.5075139846303266,0.5917906484355788,0.774973021626377
09 Espaillat,0.6898266473866976,0.5566962158475806,0.5536882472870247,0.5365380265747239,0.5785230829574732,0.7288039941294246,0.5853216648699215,0.6243239165165597,0.9999999999999986,0.375070420529849,0.7109557929482629,0.6398571187602803,0.7519759566284279,0.7124123696894852,0.5734732121545962,0.04232317841498414,0.33653645563165385,0.7884316134475983,0.7816329085172292,0.7262064696961495,0.6955928759368151,0.7602632282294508,0.7810525557877668,0.7514239138364739,0.8228783575926215,0.7019028716394144,0.6282468315786085,0.7425967827299857,0.7287901360613984,0.46464839418229115,0.6422100210524171,0.7296839506425529
10 Independencia,0.5150862933389868,0.3710184184618103,0.5589606291877681,0.5944328097814476,0.5208266447522556,0.22491708413486028,0.39457816469009765,0.25569438395153543,0.375070420529849,0.9999999999999977,0.3196114977484487,0.6193181847483054,0.2993039466597826,0.3693604126780322,0.5240678957488566,0.08137990681968091,0.42496631469943785,0.40877847244550763,0.28540764615862885,0.2711227553211615,0.5111469284077392,0.41284992316706715,0.38262548236122984,0.42766371994347574,0.36704478970200516,0.4362724870946416,0.49625506801705066,0.414135893819738,0.5117714512075462,0.15362357242298022,0.4065969745566264,0.571949300976798
11 La Altagracia,0.7118941189647338,0.6738452916732344,0.44684128536803824,0.5684034569216283,0.45123661976920015,0.6377150907682454,0.4615043658289146,0.7303157462509402,0.7109557929482629,0.3196114977484487,1.0000000000000009,0.6038604537501461,0.6638238435004794,0.5887795295723683,0.42051478439661605,0.14738178017668885,0.29194934135780165,0.672369290379628,0.7014823402195063,0.5468649866731854,0.7037458160975788,0.6355505469983512,0.7535664280192396,0.614848265817798,0.7572368462224791,0.5435850054908882,0.7652387414612194,0.5650077437664482,0.6291129336822423,0.5190334052599735,0.6535660892881486,0.7525893410995214
12 La Romana,0.722760376651756,0.4443725826398062,0.6443461668498658,0.67165879404024,0.586060776284326,0.34806887711213336,0.599812877461718,0.5711577139476874,0.6398571187602803,0.6193181847483054,0.6038604537501461,0.9999999999999986,0.440198195132006,0.5141396825802171,0.6904444061290254,0.09070368586599642,0.37432787125220024,0.666466629038877,0.5198155648349134,0.4700863314413061,0.7828185767039679,0.5804339475350194,0.6921882715909181,0.6794475154467543,0.5381398042117238,0.6567786226932687,0.6452674086055061,0.6770040399130604,0.6989268835116924,0.2287462612033289,0.637367136418532,0.8567286637390599
13 La Vega,0.80924952233037,0.6727225080338717,0.5604112905002023,0.5562749679660464,0.5534039908278756,0.8478539998151491,0.5564740456615335,0.7423465560689588,0.7519759566284279,0.2993039466597826,0.6638238435004794,0.440198195132006,0.9999999999999974,0.8174219313691395,0.44134488406888883,0.12057671366737722,0.368734016612538,0.7939771100322461,0.8307791434427587,0.7321293930850744,0.6923262282561201,0.8300608769912856,0.7284516253873312,0.6881080299478154,0.7774876591428274,0.6856446938720344,0.6112830980177588,0.7305047575412331,0.6828490180960923,0.5379397342461106,0.5653252315073668,0.7352900740874144
14 María Trinidad Sánchez,0.7500258363744463,0.6194237049843225,0.5810027718846584,0.5421080703129506,0.5310816855550523,0.7408894769785788,0.5298363404279668,0.6183493476313507,0.7124123696894852,0.3693604126780322,0.5887795295723683,0.5141396825802171,0.8174219313691395,0.999999999999999,0.46941265134148324,0.12171563406774512,0.4106658772488287,0.7558299281607599,0.7400357998871159,0.644590567040427,0.6697180213423752,0.7747082810550786,0.7034988113374144,0.6410372607131687,0.7748472398734243,0.6307722347521977,0.5869049355265116,0.632070365321017,0.6364694141304867,0.4289282358505293,0.5858605778734757,0.7140394104147622
15 Monte Cristi,0.5992359024397764,0.387546494712708,0.5148333516356761,0.5544252550466703,0.5998488606100676,0.44221064618643185,0.5057909379962576,0.4593990597174953,0.5734732121545962,0.5240678957488566,0.42051478439661605,0.6904444061290254,0.44134488406888883,0.46941265134148324,1.0000000000000013,0.011856622756497612,0.3610626173971536,0.6462224994486817,0.45099187406034413,0.5129695199648926,0.6229844642227256,0.583845306451924,0.5919304594416196,0.6408412667595871,0.5675367055994003,0.6353414528562796,0.5014390847779173,0.5962557595364644,0.7092871662193699,0.2774839842914322,0.567105850623782,0.668336864919829
16 Pedernales,0.15787086792475155,0.14844309409488005,0.11777106112550502,0.17934561800145407,0.026002012205487327,0.10850419905414871,0.06748814701078536,0.14101206397395544,0.04232317841498414,0.08137990681968091,0.14738178017668885,0.09070368586599642,0.12057671366737722,0.12171563406774512,0.011856622756497612,1.000000000000003,0.02381878161732667,0.08993860698095786,0.08129396624359493,0.052923140894531005,0.12148705033709961,0.14187647917581814,0.10345074516528144,0.06676525058063669,0.09362960818647674,0.11081410458157133,0.2128632845654649,-0.00911609258752209,0.05655721877556322,0.035575982766226664,0.10339563121548553,0.14713870924097944
17 Peravia,0.5542543556938841,0.5085356948447908,0.5332312380025098,0.599415432859634,0.21445070111460876,0.3750194534197363,0.4289158340543182,0.33032898088553553,0.33653645563165385,0.42496631469943785,0.29194934135780165,0.37432787125220024,0.368734016612538,0.4106658772488287,0.3610626173971536,0.02381878161732667,0.9999999999999964,0.38571756461173207,0.34832071815753657,0.3164571467019495,0.53801894019533,0.42815402331318353,0.34711066204094837,0.3592916852532361,0.34491787371586563,0.3287679830650048,0.4595934982286897,0.44590869670783917,0.40491789964228925,0.23698331144797175,0.382029705711396,0.5496739919203084
18 Puerto Plata,0.7898262943240507,0.6183354035110056,0.56060485576994,0.6082216005914441,0.56517057164708,0.7346026768962806,0.6091690762001077,0.6987091272018887,0.7884316134475983,0.40877847244550763,0.672369290379628,0.666466629038877,0.7939771100322461,0.7558299281607599,0.6462224994486817,0.08993860698095786,0.38571756461173207,0.9999999999999964,0.780632518987726,0.6984300415911544,0.7284468429184401,0.7589291267666062,0.7825638235422198,0.729469721308087,0.8081333540613939,0.7184689877268368,0.6480779465073195,0.7346360085134178,0.7394932407130212,0.4659328324640747,0.6502077566760422,0.7914645170346342
19 Hermanas Mirabal,0.7497769102046146,0.6280932899569799,0.5571008914873901,0.5381814425939969,0.49398798350143824,0.786687692492916,0.5368141081888294,0.6547926674972873,0.7816329085172292,0.28540764615862885,0.7014823402195063,0.5198155648349134,0.8307791434427587,0.7400357998871159,0.45099187406034413,0.08129396624359493,0.34832071815753657,0.780632518987726,1.0000000000000007,0.6648019766959602,0.6988094471746606,0.754701732882604,0.7154115169384555,0.712590816547145,0.7747460458783412,0.6600839691628572,0.590440883294142,0.6786289888673979,0.6523632096394926,0.465500854258556,0.5633812538745631,0.7316303086479394
20 Samaná,0.6566373130117155,0.4956157878117448,0.48166584095449744,0.41570072472363523,0.5863876514856555,0.6741973794710916,0.5338497601077135,0.5973295884355908,0.7262064696961495,0.2711227553211615,0.5468649866731854,0.4700863314413061,0.7321293930850744,0.644590567040427,0.5129695199648926,0.052923140894531005,0.3164571467019495,0.6984300415911544,0.6648019766959602,0.9999999999999961,0.6262435269911659,0.7213992260853576,0.646793777813645,0.7170279136268336,0.67115013274878,0.6322124486630908,0.478374750320042,0.6805737043503014,0.6203336602883125,0.47967510968081334,0.5409458273376476,0.6408727186401615
21 San Cristóbal,0.8981760529909092,0.7447654007116833,0.7087199150446895,0.7985631691046807,0.621437437038641,0.6489513469157349,0.6960052153706348,0.7420248985137723,0.6955928759368151,0.5111469284077392,0.7037458160975788,0.7828185767039679,0.6923262282561201,0.6697180213423752,0.6229844642227256,0.12148705033709961,0.53801894019533,0.7284468429184401,0.6988094471746606,0.6262435269911659,0.9999999999999988,0.7763157296253392,0.7761462642515415,0.7289939329614108,0.7104187301510172,0.6741801786395578,0.7638893442025858,0.7442517124104728,0.8017819469045284,0.5056413364098454,0.7514444923801413,0.9424856205794759
22 San Juan,0.8234063598592032,0.6958984460623128,0.6424173144468373,0.679401210095713,0.6134440426711184,0.7860523180781019,0.6683990866539313,0.7149212456193113,0.7602632282294508,0.41284992316706715,0.6355505469983512,0.5804339475350194,0.8300608769912856,0.7747082810550786,0.583845306451924,0.14187647917581814,0.42815402331318353,0.7589291267666062,0.754701732882604,0.7213992260853576,0.7763157296253392,1.0000000000000009,0.7387753815231975,0.7222718864447228,0.7602049711820734,0.7208568962035502,0.6989631201924944,0.6926829417939229,0.7546959095213165,0.4856815163652814,0.6931307393483588,0.8067064183478001
