prov_A,prov_B,similarity
01 Distrito Nacional,32 Santo Domingo,0.9458
21 San Cristóbal,32 Santo Domingo,0.9425
01 Distrito Nacional,21 San Cristóbal,0.8982
12 La Romana,32 Santo Domingo,0.8567
06 Duarte,13 La Vega,0.8479
13 La Vega,19 Hermanas Mirabal,0.8308
13 La Vega,22 San Juan,0.8301
01 Distrito Nacional,22 San Juan,0.8234
04 Barahona,32 Santo Domingo,0.8232
09 Espaillat,25 Santiago,0.8229
29 Monte Plata,32 Santo Domingo,0.8217
13 La Vega,14 María Trinidad Sánchez,0.8174
23 San Pedro de Macorís,32 Santo Domingo,0.8162
01 Distrito Nacional,13 La Vega,0.8092
18 Puerto Plata,25 Santiago,0.8081
22 San Juan,32 Santo Domingo,0.8067
01 Distrito Nacional,04 Barahona,0.804
21 San Cristóbal,29 Monte Plata,0.8018
23 San Pedro de Macorís,25 Santiago,0.8014
04 Barahona,21 San Cristóbal,0.7986
13 La Vega,18 Puerto Plata,0.794
28 Monseñor Nouel,32 Santo Domingo,0.7931
27 Valverde,32 Santo Domingo,0.7925
18 Puerto Plata,32 Santo Domingo,0.7915
01 Distrito Nacional,18 Puerto Plata,0.7898
09 Espaillat,18 Puerto Plata,0.7884
23 San Pedro de Macorís,29 Monte Plata,0.7879
06 Duarte,25 Santiago,0.7873
06 Duarte,19 Hermanas Mirabal,0.7867
24 Sánchez Ramírez,29 Monte Plata,0.7862
06 Duarte,22 San Juan,0.7861
12 La Romana,21 San Cristóbal,0.7828
18 Puerto Plata,23 San Pedro de Macorís,0.7826
09 Espaillat,19 Hermanas Mirabal,0.7816
09 Espaillat,23 San Pedro de Macorís,0.7811
01 Distrito Nacional,28 Monseñor Nouel,0.7807
18 Puerto Plata,19 Hermanas Mirabal,0.7806
24 Sánchez Ramírez,32 Santo Domingo,0.7786
13 La Vega,25 Santiago,0.7775
01 Distrito Nacional,29 Monte Plata,0.7764
21 San Cristóbal,22 San Juan,0.7763
21 San Cristóbal,23 San Pedro de Macorís,0.7761
01 Distrito Nacional,23 San Pedro de Macorís,0.7754
08 El Seibo,32 Santo Domingo,0.775
14 María Trinidad Sánchez,25 Santiago,0.7748
19 Hermanas Mirabal,25 Santiago,0.7747
14 María Trinidad Sánchez,22 San Juan,0.7747
24 Sánchez Ramírez,28 Monseñor Nouel,0.7715
01 Distrito Nacional,08 El Seibo,0.7652
11 La Altagracia,27 Valverde,0.7652
21 San Cristóbal,27 Valverde,0.7639
01 Distrito Nacional,24 Sánchez Ramírez,0.7629
09 Espaillat,22 San Juan,0.7603
22 San Juan,25 Santiago,0.7602
02 Azua,27 Valverde,0.7597
25 Santiago,29 Monte Plata,0.7596
18 Puerto Plata,22 San Juan,0.7589
11 La Altagracia,25 Santiago,0.7572
14 María Trinidad Sánchez,18 Puerto Plata,0.7558
22 San Juan,29 Monte Plata,0.7547
19 Hermanas Mirabal,22 San Juan,0.7547
11 La Altagracia,23 San Pedro de Macorís,0.7536
11 La Altagracia,32 Santo Domingo,0.7526
31 San José de Ocoa,32 Santo Domingo,0.7521
09 Espaillat,13 La Vega,0.752
09 Espaillat,24 Sánchez Ramírez,0.7514
21 San Cristóbal,31 San José de Ocoa,0.7514
23 San Pedro de Macorís,24 Sánchez Ramírez,0.7501
01 Distrito Nacional,14 María Trinidad Sánchez,0.75
01 Distrito Nacional,19 Hermanas Mirabal,0.7498
04 Barahona,27 Valverde,0.7461
02 Azua,21 San Cristóbal,0.7448
21 San Cristóbal,28 Monseñor Nouel,0.7443
09 Espaillat,28 Monseñor Nouel,0.7426
08 El Seibo,13 La Vega,0.7423
08 El Seibo,21 San Cristóbal,0.742
01 Distrito Nacional,27 Valverde,0.742
01 Distrito Nacional,02 Azua,0.741
06 Duarte,14 María Trinidad Sánchez,0.7409
14 María Trinidad Sánchez,19 Hermanas Mirabal,0.74
18 Puerto Plata,29 Monte Plata,0.7395
22 San Juan,23 San Pedro de Macorís,0.7388
28 Monseñor Nouel,29 Monte Plata,0.7369
13 La Vega,32 Santo Domingo,0.7353
18 Puerto Plata,28 Monseñor Nouel,0.7346
06 Duarte,18 Puerto Plata,0.7346
13 La Vega,20 Samaná,0.7321
03 Baoruco,32 Santo Domingo,0.7317
19 Hermanas Mirabal,32 Santo Domingo,0.7316
25 Santiago,27 Valverde,0.731
13 La Vega,28 Monseñor Nouel,0.7305
08 El Seibo,11 La Altagracia,0.7303
09 Espaillat,32 Santo Domingo,0.7297
18 Puerto Plata,24 Sánchez Ramírez,0.7295
08 El Seibo,23 San Pedro de Macorís,0.7295
21 San Cristóbal,24 Sánchez Ramírez,0.729
09 Espaillat,29 Monte Plata,0.7288
06 Duarte,09 Espaillat,0.7288
13 La Vega,23 San Pedro de Macorís,0.7285
18 Puerto Plata,21 San Cristóbal,0.7284
26 Santiago Rodríguez,32 Santo Domingo,0.728
09 Espaillat,20 Samaná,0.7262
01 Distrito Nacional,12 La Romana,0.7228
22 San Juan,24 Sánchez Ramírez,0.7223
20 Samaná,22 San Juan,0.7214
02 Azua,32 Santo Domingo,0.7213
22 San Juan,26 Santiago Rodríguez,0.7209
25 Santiago,32 Santo Domingo,0.7188
18 Puerto Plata,26 Santiago Rodríguez,0.7185
23 San Pedro de Macorís,27 Valverde,0.7185
20 Samaná,24 Sánchez Ramírez,0.717
19 Hermanas Mirabal,23 San Pedro de Macorís,0.7154
01 Distrito Nacional,03 Baoruco,0.7153
08 El Seibo,22 San Juan,0.7149
14 María Trinidad Sánchez,32 Santo Domingo,0.714
24 Sánchez Ramírez,26 Santiago Rodríguez,0.7132
19 Hermanas Mirabal,24 Sánchez Ramírez,0.7126
09 Espaillat,14 María Trinidad Sánchez,0.7124
07 Elías Piña,32 Santo Domingo,0.7121
01 Distrito Nacional,11 La Altagracia,0.7119
09 Espaillat,11 La Altagracia,0.711
21 San Cristóbal,25 Santiago,0.7104
01 Distrito Nacional,06 Duarte,0.7097
15 Monte Cristi,29 Monte Plata,0.7093
26 Santiago Rodríguez,28 Monseñor Nouel,0.709
03 Baoruco,21 San Cristóbal,0.7087
11 La Altagracia,21 San Cristóbal,0.7037
23 San Pedro de Macorís,31 San José de Ocoa,0.7035
14 María Trinidad Sánchez,23 San Pedro de Macorís,0.7035
09 Espaillat,26 Santiago Rodríguez,0.7019
11 La Altagracia,19 Hermanas Mirabal,0.7015
23 San Pedro de Macorís,28 Monseñor Nouel,0.7011
22 San Juan,27 Valverde,0.699
12 La Romana,29 Monte Plata,0.6989
19 Hermanas Mirabal,21 San Cristóbal,0.6988
08 El Seibo,18 Puerto Plata,0.6987
05 Dajabón,29 Monte Plata,0.6986
18 Puerto Plata,20 Samaná,0.6984
29 Monte Plata,31 San José de Ocoa,0.6978
01 Distrito Nacional,26 Santiago Rodríguez,0.6975
06 Duarte,23 San Pedro de Macorís,0.6961
07 Elías Piña,21 San Cristóbal,0.696
02 Azua,22 San Juan,0.6959
09 Espaillat,21 San Cristóbal,0.6956
02 Azua,25 Santiago,0.6953
26 Santiago Rodríguez,29 Monte Plata,0.694
22 San Juan,31 San José de Ocoa,0.6931
02 Azua,04 Barahona,0.6928
22 San Juan,28 Monseñor Nouel,0.6927
05 Dajabón,24 Sánchez Ramírez,0.6927
13 La Vega,21 San Cristóbal,0.6923
12 La Romana,23 San Pedro de Macorís,0.6922
23 San Pedro de Macorís,26 Santiago Rodríguez,0.6906
12 La Romana,15 Monte Cristi,0.6904
01 Distrito Nacional,09 Espaillat,0.6898
03 Baoruco,04 Barahona,0.6883
13 La Vega,24 Sánchez Ramírez,0.6881
01 Distrito Nacional,25 Santiago,0.6875
02 Azua,06 Duarte,0.6867
01 Distrito Nacional,31 San José de Ocoa,0.6863
13 La Vega,26 Santiago Rodríguez,0.6856
08 El Seibo,27 Valverde,0.6853
13 La Vega,29 Monte Plata,0.6828
01 Distrito Nacional,07 Elías Piña,0.6826
08 El Seibo,25 Santiago,0.6825
25 Santiago,31 San José de Ocoa,0.6813
20 Samaná,28 Monseñor Nouel,0.6806
12 La Romana,24 Sánchez Ramírez,0.6794
04 Barahona,22 San Juan,0.6794
19 Hermanas Mirabal,28 Monseñor Nouel,0.6786
12 La Romana,28 Monseñor Nouel,0.677
02 Azua,08 El Seibo,0.6747
06 Duarte,20 Samaná,0.6742
21 San Cristóbal,26 Santiago Rodríguez,0.6742
02 Azua,11 La Altagracia,0.6738
02 Azua,13 La Vega,0.6727
11 La Altagracia,18 Puerto Plata,0.6724
04 Barahona,12 La Romana,0.6717
20 Samaná,25 Santiago,0.6712
06 Duarte,29 Monte Plata,0.6707
04 Barahona,29 Monte Plata,0.6697
14 María Trinidad Sánchez,21 San Cristóbal,0.6697
07 Elías Piña,22 San Juan,0.6684
15 Monte Cristi,32 Santo Domingo,0.6683
12 La Romana,18 Puerto Plata,0.6665
19 Hermanas Mirabal,20 Samaná,0.6648
11 La Altagracia,13 La Vega,0.6638
06 Duarte,24 Sánchez Ramírez,0.6602
19 Hermanas Mirabal,26 Santiago Rodríguez,0.6601
04 Barahona,31 San José de Ocoa,0.6587
25 Santiago,26 Santiago Rodríguez,0.6586
27 Valverde,29 Monte Plata,0.6575
27 Valverde,31 San José de Ocoa,0.6573
24 Sánchez Ramírez,25 Santiago,0.6571
12 La Romana,26 Santiago Rodríguez,0.6568
01 Distrito Nacional,20 Samaná,0.6566
08 El Seibo,19 Hermanas Mirabal,0.6548
11 La Altagracia,31 San José de Ocoa,0.6536
19 Hermanas Mirabal,29 Monte Plata,0.6524
06 Duarte,32 Santo Domingo,0.6523
25 Santiago,30 Hato Mayor,0.6515
18 Puerto Plata,31 San José de Ocoa,0.6502
05 Dajabón,32 Santo Domingo,0.6495
06 Duarte,21 San Cristóbal,0.649
06 Duarte,08 El Seibo,0.6488
18 Puerto Plata,27 Valverde,0.6481
02 Azua,23 San Pedro de Macorís,0.6471
20 Samaná,23 San Pedro de Macorís,0.6468
15 Monte Cristi,18 Puerto Plata,0.6462
12 La Romana,27 Valverde,0.6453
14 María Trinidad Sánchez,20 Samaná,0.6446
03 Baoruco,12 La Romana,0.6443
03 Baoruco,22 San Juan,0.6424
09 Espaillat,31 San José de Ocoa,0.6422
14 María Trinidad Sánchez,24 Sánchez Ramírez,0.641
20 Samaná,32 Santo Domingo,0.6409
15 Monte Cristi,24 Sánchez Ramírez,0.6408
09 Espaillat,12 La Romana,0.6399
06 Duarte,11 La Altagracia,0.6377
12 La Romana,31 San José de Ocoa,0.6374
14 María Trinidad Sánchez,29 Monte Plata,0.6365
25 Santiago,28 Monseñor Nouel,0.6363
11 La Altagracia,22 San Juan,0.6356
15 Monte Cristi,26 Santiago Rodríguez,0.6353
02 Azua,31 San José de Ocoa,0.6339
20 Samaná,26 Santiago Rodríguez,0.6322
14 María Trinidad Sánchez,28 Monseñor Nouel,0.6321
14 María Trinidad Sánchez,26 Santiago Rodríguez,0.6308
11 La Altagracia,29 Monte Plata,0.6291
01 Distrito Nacional,05 Dajabón,0.629
09 Espaillat,27 Valverde,0.6282
02 Azua,19 Hermanas Mirabal,0.6281
04 Barahona,23 San Pedro de Macorís,0.6273
20 Samaná,21 San Cristóbal,0.6262
08 El Seibo,09 Espaillat,0.6243
15 Monte Cristi,21 San Cristóbal,0.623
03 Baoruco,28 Monseñor Nouel,0.6227
05 Dajabón,21 San Cristóbal,0.6214
05 Dajabón,26 Santiago Rodríguez,0.6208
20 Samaná,29 Monte Plata,0.6203
02 Azua,14 María Trinidad Sánchez,0.6194
10 Independencia,12 La Romana,0.6193
08 El Seibo,14 María Trinidad Sánchez,0.6183
02 Azua,18 Puerto Plata,0.6183
06 Duarte,31 San José de Ocoa,0.6154
11 La Altagracia,24 Sánchez Ramírez,0.6148
05 Dajabón,22 San Juan,0.6134
13 La Vega,27 Valverde,0.6113
08 El Seibo,29 Monte Plata,0.6093
07 Elías Piña,18 Puerto Plata,0.6092
05 Dajabón,28 Monseñor Nouel,0.6083
04 Barahona,18 Puerto Plata,0.6082
06 Duarte,27 Valverde,0.6066
11 La Altagracia,12 La Romana,0.6039
08 El Seibo,28 Monseñor Nouel,0.6025
07 Elías Piña,28 Monseñor Nouel,0.602
07 Elías Piña,12 La Romana,0.5998
05 Dajabón,15 Monte Cristi,0.5998
04 Barahona,07 Elías Piña,0.5996
04 Barahona,17 Peravia,0.5994
01 Distrito Nacional,15 Monte Cristi,0.5992
08 El Seibo,20 Samaná,0.5973
06 Duarte,28 Monseñor Nouel,0.597
24 Sánchez Ramírez,31 San José de Ocoa,0.5969
15 Monte Cristi,28 Monseñor Nouel,0.5963
04 Barahona,10 Independencia,0.5944
07 Elías Piña,08 El Seibo,0.594
15 Monte Cristi,23 San Pedro de Macorís,0.5919
08 El Seibo,31 San José de Ocoa,0.5918
04 Barahona,08 El Seibo,0.5914
19 Hermanas Mirabal,27 Valverde,0.5904
07 Elías Piña,29 Monte Plata,0.5896
11 La Altagracia,14 María Trinidad Sánchez,0.5888
03 Baoruco,29 Monte Plata,0.587
