province,lag1_R2,lag2_R2,lag4_R2,lag8_R2,month_R2,year_trend_R2,best_lag,lag_useful,month_useful,trend_useful
25 Santiago,0.838,0.703,0.573,0.35,0.096,0.036,1,YES,YES,WEAK
13 La Vega,0.831,0.715,0.493,0.228,0.124,0.118,1,YES,YES,YES
01 Distrito Nacional,0.825,0.653,0.437,0.205,0.094,0.035,1,YES,YES,WEAK
32 Santo Domingo,0.82,0.573,0.327,0.126,0.104,0.0,1,YES,YES,WEAK
11 La Altagracia,0.782,0.643,0.477,0.246,0.103,0.011,1,YES,YES,WEAK
21 San Cristóbal,0.768,0.569,0.381,0.148,0.102,0.0,1,YES,YES,WEAK
06 Duarte,0.767,0.698,0.553,0.342,0.099,0.095,1,YES,YES,WEAK
22 San Juan,0.71,0.545,0.394,0.123,0.138,0.003,1,YES,YES,WEAK
24 Sánchez Ramírez,0.693,0.437,0.239,0.109,0.128,0.001,1,YES,YES,WEAK
09 Espaillat,0.665,0.414,0.218,0.106,0.119,0.031,1,YES,YES,WEAK
12 La Romana,0.661,0.343,0.121,0.015,0.106,0.263,1,YES,YES,YES
04 Barahona,0.661,0.607,0.38,0.182,0.047,0.004,1,YES,WEAK,WEAK
02 Azua,0.656,0.622,0.522,0.274,0.094,0.028,1,YES,YES,WEAK
27 Valverde,0.656,0.499,0.36,0.258,0.108,0.001,1,YES,YES,WEAK
23 San Pedro de Macorís,0.62,0.337,0.223,0.13,0.123,0.0,1,YES,YES,WEAK
29 Monte Plata,0.619,0.512,0.362,0.168,0.139,0.073,1,YES,YES,WEAK
14 María Trinidad Sánchez,0.608,0.449,0.304,0.202,0.119,0.001,1,YES,YES,WEAK
28 Monseñor Nouel,0.605,0.383,0.135,0.045,0.14,0.023,1,YES,YES,WEAK
31 San José de Ocoa,0.594,0.415,0.284,0.138,0.117,0.018,1,YES,YES,WEAK
18 Puerto Plata,0.593,0.365,0.273,0.144,0.102,0.008,1,YES,YES,WEAK
17 Peravia,0.584,0.515,0.327,0.193,0.072,0.001,1,YES,YES,WEAK
30 Hato Mayor,0.575,0.424,0.24,0.121,0.155,0.001,1,YES,YES,WEAK
19 Hermanas Mirabal,0.558,0.399,0.329,0.167,0.091,0.141,1,YES,YES,YES
05 Dajabón,0.521,0.321,0.294,0.122,0.185,0.151,1,YES,YES,YES
08 El Seibo,0.465,0.337,0.175,0.077,0.102,0.044,1,YES,YES,WEAK
10 Independencia,0.443,0.425,0.275,0.124,0.046,0.231,1,YES,WEAK,YES
20 Samaná,0.433,0.303,0.204,0.084,0.107,0.005,1,YES,YES,WEAK
26 Santiago Rodríguez,0.431,0.241,0.128,0.027,0.098,0.004,1,YES,YES,WEAK
15 Monte Cristi,0.395,0.207,0.153,0.088,0.035,0.301,1,YES,WEAK,YES
03 Baoruco,0.38,0.232,0.104,0.048,0.067,0.0,1,YES,YES,WEAK
07 Elías Piña,0.341,0.157,0.069,0.015,0.159,0.015,1,YES,YES,WEAK
16 Pedernales,0.107,0.04,0.039,0.024,0.054,0.117,1,WEAK,YES,YES
