province,year,month,week,total_cases
02 Azua,2015,1,1,2
02 Azua,2015,1,2,0
02 Azua,2015,1,3,0
02 Azua,2015,1,4,2
02 Azua,2015,2,5,7
02 Azua,2015,2,6,4
02 Azua,2015,2,7,3
02 Azua,2015,2,8,3
02 Azua,2015,3,9,5
02 Azua,2015,3,10,3
02 Azua,2015,3,11,5
02 Azua,2015,3,12,6
02 Azua,2015,4,13,7
02 Azua,2015,4,14,4
02 Azua,2015,4,15,3
02 Azua,2015,4,16,3
02 Azua,2015,5,17,2
02 Azua,2015,5,18,5
02 Azua,2015,5,19,4
02 Azua,2015,5,20,1
02 Azua,2015,5,21,3
02 Azua,2015,5,22,0
02 Azua,2015,6,23,1
02 Azua,2015,6,24,1
02 Azua,2015,6,25,3
02 Azua,2015,6,26,0
02 Azua,2015,7,27,6
02 Azua,2015,7,28,8
02 Azua,2015,7,29,2
02 Azua,2015,7,30,2
02 Azua,2015,8,31,3
02 Azua,2015,8,32,2
02 Azua,2015,8,33,2
02 Azua,2015,8,34,4
02 Azua,2015,9,35,7
02 Azua,2015,9,36,10
02 Azua,2015,9,37,10
02 Azua,2015,9,38,18
02 Azua,2015,10,39,12
02 Azua,2015,10,40,28
02 Azua,2015,10,41,23
02 Azua,2015,10,42,30
02 Azua,2015,10,43,25
02 Azua,2015,11,44,27
02 Azua,2015,11,45,26
02 Azua,2015,11,46,25
02 Azua,2015,11,47,16
02 Azua,2015,12,48,22
02 Azua,2015,12,49,16
02 Azua,2015,12,50,14
02 Azua,2015,12,51,6
02 Azua,2015,12,52,6
02 Azua,2016,1,1,9
02 Azua,2016,1,2,10
02 Azua,2016,1,3,11
02 Azua,2016,1,4,5
02 Azua,2016,2,5,4
02 Azua,2016,2,6,8
02 Azua,2016,2,7,7
02 Azua,2016,2,8,13
02 Azua,2016,3,9,8
02 Azua,2016,3,10,1
02 Azua,2016,3,11,0
02 Azua,2016,3,12,3
02 Azua,2016,4,13,3
02 Azua,2016,4,14,6
02 Azua,2016,4,15,1
02 Azua,2016,4,16,6
02 Azua,2016,4,17,2
02 Azua,2016,5,18,2
02 Azua,2016,5,19,0
02 Azua,2016,5,20,3
02 Azua,2016,5,21,9
02 Azua,2016,6,22,2
02 Azua,2016,6,23,3
02 Azua,2016,6,24,6
02 Azua,2016,6,25,2
02 Azua,2016,6,26,0
02 Azua,2016,7,27,2
02 Azua,2016,7,28,3
02 Azua,2016,7,29,6
02 Azua,2016,7,30,1
02 Azua,2016,8,31,1
02 Azua,2016,8,32,0
02 Azua,2016,8,33,0
02 Azua,2016,8,34,2
02 Azua,2016,8,35,2
02 Azua,2016,9,36,1
02 Azua,2016,9,37,2
02 Azua,2016,9,38,3
02 Azua,2016,9,39,1
02 Azua,2016,9,40,0
02 Azua,2016,9,41,0
02 Azua,2016,9,42,0
02 Azua,2016,9,43,0
02 Azua,2016,9,44,0
02 Azua,2016,9,45,0
02 Azua,2016,9,46,0
02 Azua,2016,9,47,0
02 Azua,2016,9,48,0
02 Azua,2016,9,49,0
02 Azua,2016,9,50,0
02 Azua,2016,9,51,0
02 Azua,2016,12,52,1
02 Azua,2017,12,1,0
02 Azua,2017,12,2,0
02 Azua,2017,12,3,0
02 Azua,2017,12,4,0
02 Azua,2017,12,5,0
02 Azua,2017,12,6,0
02 Azua,2017,12,7,0
02 Azua,2017,12,8,0
02 Azua,2017,12,9,0
02 Azua,2017,3,10,1
02 Azua,2017,3,11,1
02 Azua,2017,3,12,0
02 Azua,2017,3,13,0
02 Azua,2017,4,14,2
02 Azua,2017,4,15,2
02 Azua,2017,4,16,2
02 Azua,2017,4,17,0
02 Azua,2017,4,18,0
02 Azua,2017,4,19,0
02 Azua,2017,5,20,1
02 Azua,2017,5,21,0
02 Azua,2017,5,22,2
