province,year,month,week,total_cases
03 Baoruco,2015,1,1,1
03 Baoruco,2015,1,2,2
03 Baoruco,2015,1,3,4
03 Baoruco,2015,1,4,1
03 Baoruco,2015,2,5,3
03 Baoruco,2015,2,6,0
03 Baoruco,2015,2,7,1
03 Baoruco,2015,2,8,2
03 Baoruco,2015,3,9,5
03 Baoruco,2015,3,10,3
03 Baoruco,2015,3,11,1
03 Baoruco,2015,3,12,2
03 Baoruco,2015,4,13,2
03 Baoruco,2015,4,14,1
03 Baoruco,2015,4,15,0
03 Baoruco,2015,4,16,1
03 Baoruco,2015,4,17,1
03 Baoruco,2015,5,18,2
03 Baoruco,2015,5,19,1
03 Baoruco,2015,5,20,0
03 Baoruco,2015,5,21,0
03 Baoruco,2015,5,22,0
03 Baoruco,2015,6,23,1
03 Baoruco,2015,6,24,3
03 Baoruco,2015,6,25,1
03 Baoruco,2015,6,26,0
03 Baoruco,2015,6,27,0
03 Baoruco,2015,7,28,1
03 Baoruco,2015,7,29,0
03 Baoruco,2015,7,30,0
03 Baoruco,2015,7,31,0
03 Baoruco,2015,8,32,1
03 Baoruco,2015,8,33,3
03 Baoruco,2015,8,34,0
03 Baoruco,2015,8,35,0
03 Baoruco,2015,9,36,1
03 Baoruco,2015,9,37,2
03 Baoruco,2015,9,38,2
03 Baoruco,2015,10,39,9
03 Baoruco,2015,10,40,11
03 Baoruco,2015,10,41,6
03 Baoruco,2015,10,42,9
03 Baoruco,2015,10,43,8
03 Baoruco,2015,11,44,3
03 Baoruco,2015,11,45,7
03 Baoruco,2015,11,46,5
03 Baoruco,2015,11,47,7
03 Baoruco,2015,12,48,4
03 Baoruco,2015,12,49,2
03 Baoruco,2015,12,50,6
03 Baoruco,2015,12,51,6
03 Baoruco,2015,12,52,7
03 Baoruco,2016,1,1,1
03 Baoruco,2016,1,2,3
03 Baoruco,2016,1,3,4
03 Baoruco,2016,1,4,2
03 Baoruco,2016,1,5,0
03 Baoruco,2016,1,6,0
03 Baoruco,2016,1,7,0
03 Baoruco,2016,2,8,2
03 Baoruco,2016,2,9,0
03 Baoruco,2016,2,10,0
03 Baoruco,2016,2,11,0
03 Baoruco,2016,2,12,0
03 Baoruco,2016,3,13,1
03 Baoruco,2016,4,14,1
03 Baoruco,2016,4,15,0
03 Baoruco,2016,4,16,0
03 Baoruco,2016,4,17,0
03 Baoruco,2016,5,18,1
03 Baoruco,2016,5,19,0
03 Baoruco,2016,5,20,2
03 Baoruco,2016,5,21,1
03 Baoruco,2016,5,22,0
03 Baoruco,2016,6,23,1
03 Baoruco,2016,6,24,0
03 Baoruco,2016,6,25,1
03 Baoruco,2016,6,26,0
03 Baoruco,2016,7,27,1
03 Baoruco,2016,7,28,0
03 Baoruco,2016,7,29,0
03 Baoruco,2016,7,30,1
03 Baoruco,2016,7,31,0
03 Baoruco,2016,7,32,0
03 Baoruco,2016,7,33,0
03 Baoruco,2016,7,34,0
