province,year,month,week,total_cases
04 Barahona,2015,1,1,6
04 Barahona,2015,1,2,7
04 Barahona,2015,1,3,1
04 Barahona,2015,1,4,4
04 Barahona,2015,2,5,4
04 Barahona,2015,2,6,6
04 Barahona,2015,2,7,6
04 Barahona,2015,2,8,8
04 Barahona,2015,3,9,10
04 Barahona,2015,3,10,8
04 Barahona,2015,3,11,5
04 Barahona,2015,3,12,7
04 Barahona,2015,4,13,7
04 Barahona,2015,4,14,3
04 Barahona,2015,4,15,6
04 Barahona,2015,4,16,9
04 Barahona,2015,5,17,2
04 Barahona,2015,5,18,8
04 Barahona,2015,5,19,6
04 Barahona,2015,5,20,4
04 Barahona,2015,5,21,4
04 Barahona,2015,6,22,16
04 Barahona,2015,6,23,5
04 Barahona,2015,6,24,10
04 Barahona,2015,6,25,8
04 Barahona,2015,7,26,9
04 Barahona,2015,7,27,2
04 Barahona,2015,7,28,2
04 Barahona,2015,7,29,6
04 Barahona,2015,7,30,2
04 Barahona,2015,8,31,4
04 Barahona,2015,8,32,6
04 Barahona,2015,8,33,1
04 Barahona,2015,8,34,6
04 Barahona,2015,9,35,8
04 Barahona,2015,9,36,17
04 Barahona,2015,9,37,13
04 Barahona,2015,9,38,9
04 Barahona,2015,10,39,19
04 Barahona,2015,10,40,17
04 Barahona,2015,10,41,23
04 Barahona,2015,10,42,20
04 Barahona,2015,10,43,30
04 Barahona,2015,11,44,29
04 Barahona,2015,11,45,25
04 Barahona,2015,11,46,35
04 Barahona,2015,11,47,19
04 Barahona,2015,12,48,11
04 Barahona,2015,12,49,13
04 Barahona,2015,12,50,16
04 Barahona,2015,12,51,6
04 Barahona,2015,12,52,18
04 Barahona,2016,1,1,18
04 Barahona,2016,1,2,12
04 Barahona,2016,1,3,13
04 Barahona,2016,1,4,2
04 Barahona,2016,2,5,12
04 Barahona,2016,2,6,7
04 Barahona,2016,2,7,19
04 Barahona,2016,2,8,5
04 Barahona,2016,3,9,7
04 Barahona,2016,3,10,6
04 Barahona,2016,3,11,5
04 Barahona,2016,3,12,4
04 Barahona,2016,3,13,2
04 Barahona,2016,3,14,0
04 Barahona,2016,4,15,2
04 Barahona,2016,4,16,1
04 Barahona,2016,4,17,1
04 Barahona,2016,4,18,0
04 Barahona,2016,5,19,5
04 Barahona,2016,5,20,3
04 Barahona,2016,5,21,2
04 Barahona,2016,6,22,3
04 Barahona,2016,6,23,12
04 Barahona,2016,6,24,9
04 Barahona,2016,6,25,4
04 Barahona,2016,6,26,0
04 Barahona,2016,7,27,2
04 Barahona,2016,7,28,3
04 Barahona,2016,7,29,2
04 Barahona,2016,7,30,1
04 Barahona,2016,8,31,1
04 Barahona,2016,8,32,0
04 Barahona,2016,8,33,1
04 Barahona,2016,8,34,0
04 Barahona,2016,8,35,0
04 Barahona,2016,9,36,1
04 Barahona,2016,9,37,0
04 Barahona,2016,9,38,0
04 Barahona,2016,9,39,0
04 Barahona,2016,9,40,0
04 Barahona,2016,10,41,1
04 Barahona,2016,10,42,1
04 Barahona,2016,10,43,0
04 Barahona,2016,10,44,0
04 Barahona,2016,10,45,0
04 Barahona,2016,10,46,0
04 Barahona,2016,10,47,0
04 Barahona,2016,10,48,0
04 Barahona,2016,10,49,0
04 Barahona,2016,10,50,0
04 Barahona,2016,10,51,0
04 Barahona,2016,12,52,2
04 Barahona,2017,12,1,0
04 Barahona,2017,12,2,0
04 Barahona,2017,12,3,0
04 Barahona,2017,12,4,0
04 Barahona,2017,12,5,0
04 Barahona,2017,12,6,0
04 Barahona,2017,2,7,1
04 Barahona,2017,2,8,0
04 Barahona,2017,2,9,0
04 Barahona,2017,3,10,1
04 Barahona,2017,3,11,0
04 Barahona,2017,3,12,0
04 Barahona,2017,3,13,1
04 Barahona,2017,3,14,0
04 Barahona,2017,3,15,0
04 Barahona,2017,3,16,0
04 Barahona,2017,3,17,0
04 Barahona,2017,5,18,1
04 Barahona,2017,5,19,1
04 Barahona,2017,5,20,0
04 Barahona,2017,5,21,2
04 Barahona,2017,6,22,1
04 Barahona,2017,6,23,1
04 Barahona,2017,6,24,0
04 Barahona,2017,6,25,2
04 Barahona,2017,7,26,2
04 Barahona,2017,7,27,2
04 Barahona,2017,7,28,1
04 Barahona,2017,7,29,0
04 Barahona,2017,7,30,0
