province,year,month,week,total_cases
05 Dajabón,2015,0,1,0
05 Dajabón,2015,0,2,0
05 Dajabón,2015,0,3,0
05 Dajabón,2015,1,4,2
05 Dajabón,2015,1,5,0
05 Dajabón,2015,2,6,1
05 Dajabón,2015,2,7,0
05 Dajabón,2015,2,8,0
05 Dajabón,2015,3,9,1
05 Dajabón,2015,3,10,0
05 Dajabón,2015,3,11,0
05 Dajabón,2015,3,12,0
05 Dajabón,2015,3,13,0
05 Dajabón,2015,3,14,0
05 Dajabón,2015,3,15,0
05 Dajabón,2015,4,16,1
05 Dajabón,2015,4,17,0
05 Dajabón,2015,4,18,0
05 Dajabón,2015,4,19,0
05 Dajabón,2015,5,20,1
05 Dajabón,2015,5,21,0
05 Dajabón,2015,5,22,0
05 Dajabón,2015,5,23,0
05 Dajabón,2015,5,24,0
05 Dajabón,2015,6,25,3
05 Dajabón,2015,6,26,1
05 Dajabón,2015,7,27,1
05 Dajabón,2015,7,28,2
05 Dajabón,2015,7,29,4
05 Dajabón,2015,8,30,5
05 Dajabón,2015,8,31,4
05 Dajabón,2015,8,32,2
05 Dajabón,2015,8,33,5
05 Dajabón,2015,8,34,12
05 Dajabón,2015,9,35,10
05 Dajabón,2015,9,36,6
05 Dajabón,2015,9,37,2
05 Dajabón,2015,9,38,7
05 Dajabón,2015,10,39,4
05 Dajabón,2015,10,40,3
05 Dajabón,2015,10,41,5
05 Dajabón,2015,10,42,9
05 Dajabón,2015,10,43,4
05 Dajabón,2015,11,44,4
05 Dajabón,2015,11,45,5
05 Dajabón,2015,11,46,2
05 Dajabón,2015,11,47,2
05 Dajabón,2015,11,48,0
05 Dajabón,2015,11,49,0
05 Dajabón,2015,11,50,0
05 Dajabón,2015,11,51,0
05 Dajabón,2015,11,52,0
05 Dajabón,2016,1,1,1
05 Dajabón,2016,1,2,1
05 Dajabón,2016,1,3,0
05 Dajabón,2016,1,4,2
05 Dajabón,2016,2,5,1
05 Dajabón,2016,2,6,1
05 Dajabón,2016,2,7,2
05 Dajabón,2016,2,8,0
05 Dajabón,2016,2,9,0
05 Dajabón,2016,3,10,2
05 Dajabón,2016,3,11,0
05 Dajabón,2016,3,12,1
05 Dajabón,2016,3,13,1
05 Dajabón,2016,3,14,0
05 Dajabón,2016,4,15,1
05 Dajabón,2016,4,16,0
05 Dajabón,2016,4,17,1
05 Dajabón,2016,5,18,1
05 Dajabón,2016,5,19,0
05 Dajabón,2016,5,20,0
05 Dajabón,2016,5,21,0
05 Dajabón,2016,6,22,1
05 Dajabón,2016,6,23,0
05 Dajabón,2016,6,24,0
05 Dajabón,2016,6,25,2
05 Dajabón,2016,6,26,0
05 Dajabón,2016,6,27,0
05 Dajabón,2016,7,28,1
05 Dajabón,2016,7,29,0
05 Dajabón,2016,7,30,0
05 Dajabón,2016,7,31,0
05 Dajabón,2016,8,32,1
05 Dajabón,2016,8,33,0
05 Dajabón,2016,8,34,0
05 Dajabón,2016,8,35,0
05 Dajabón,2016,8,36,0
05 Dajabón,2016,8,37,0
05 Dajabón,2016,8,38,0
05 Dajabón,2016,8,39,0
05 Dajabón,2016,8,40,0
05 Dajabón,2016,8,41,0
05 Dajabón,2016,10,42,2
05 Dajabón,2016,10,43,0
05 Dajabón,2016,11,44,1
05 Dajabón,2016,11,45,1
05 Dajabón,2016,11,46,1
05 Dajabón,2016,11,47,0
05 Dajabón,2016,11,48,0
05 Dajabón,2016,11,49,0
05 Dajabón,2016,11,50,0
05 Dajabón,2016,11,51,0
05 Dajabón,2016,11,52,0
05 Dajabón,2017,11,1,0
05 Dajabón,2017,11,2,0
05 Dajabón,2017,11,3,0
05 Dajabón,2017,1,4,1
05 Dajabón,2017,1,5,0
05 Dajabón,2017,1,6,0
05 Dajabón,2017,1,7,0
05 Dajabón,2017,1,8,0
05 Dajabón,2017,1,9,0
05 Dajabón,2017,1,10,0
05 Dajabón,2017,1,11,0
05 Dajabón,2017,1,12,0
05 Dajabón,2017,1,13,0
05 Dajabón,2017,1,14,0
05 Dajabón,2017,1,15,0
05 Dajabón,2017,1,16,0
05 Dajabón,2017,1,17,0
05 Dajabón,2017,1,18,0
05 Dajabón,2017,1,19,0
05 Dajabón,2017,1,20,0
05 Dajabón,2017,1,21,0
05 Dajabón,2017,6,22,1
05 Dajabón,2017,6,23,0
05 Dajabón,2017,6,24,0
05 Dajabón,2017,6,25,0
05 Dajabón,2017,6,26,0
05 Dajabón,2017,6,27,0
05 Dajabón,2017,7,28,1
05 Dajabón,2017,7,29,0
05 Dajabón,2017,7,30,0
05 Dajabón,2017,7,31,0
05 Dajabón,2017,7,32,0
05 Dajabón,2017,7,33,0
05 Dajabón,2017,8,34,1
05 Dajabón,2017,8,35,1
05 Dajabón,2017,9,36,1
05 Dajabón,2017,9,37,0
05 Dajabón,2017,9,38,0
05 Dajabón,2017,9,39,0
05 Dajabón,2017,9,40,0
05 Dajabón,2017,9,41,0
05 Dajabón,2017,9,42,0
05 Dajabón,2017,9,43,0
05 Dajabón,2017,9,44,0
05 Dajabón,2017,9,45,0
05 Dajabón,2017,9,46,0
05 Dajabón,2017,9,47,0
05 Dajabón,2017,9,48,0
05 Dajabón,2017,9,49,0
05 Dajabón,2017,9,50,0
05 Dajabón,2017,12,51,1
05 Dajabón,2017,12,52,1
05 Dajabón,2018,12,1,0
05 Dajabón,2018,12,2,0
05 Dajabón,2018,12,3,0
05 Dajabón,2018,12,4,0
05 Dajabón,2018,12,5,0
05 Dajabón,2018,12,6,0
05 Dajabón,2018,12,7,0
05 Dajabón,2018,12,8,0
05 Dajabón,2018,12,9,0
05 Dajabón,2018,12,10,0
05 Dajabón,2018,12,11,0
05 Dajabón,2018,12,12,0
05 Dajabón,2018,12,13,0
05 Dajabón,2018,12,14,0
05 Dajabón,2018,12,15,0
05 Dajabón,2018,12,16,0
05 Dajabón,2018,12,17,0
05 Dajabón,2018,12,18,0
05 Dajabón,2018,12,19,0
05 Dajabón,2018,12,20,0
05 Dajabón,2018,12,21,0
05 Dajabón,2018,12,22,0
05 Dajabón,2018,12,23,0
05 Dajabón,2018,6,24,1
05 Dajabón,2018,6,25,0
05 Dajabón,2018,6,26,0
05 Dajabón,2018,6,27,0
05 Dajabón,2018,6,28,0
05 Dajabón,2018,6,29,0
05 Dajabón,2018,6,30,0
05 Dajabón,2018,6,31,0
05 Dajabón,2018,6,32,0
05 Dajabón,2018,6,33,0
05 Dajabón,2018,6,34,0
05 Dajabón,2018,6,35,0
05 Dajabón,2018,6,36,0
05 Dajabón,2018,6,37,0
05 Dajabón,2018,6,38,0
05 Dajabón,2018,6,39,0
05 Dajabón,2018,6,40,0
05 Dajabón,2018,6,41,0
05 Dajabón,2018,6,42,0
05 Dajabón,2018,6,43,0
05 Dajabón,2018,10,44,1
05 Dajabón,2018,10,45,0
05 Dajabón,2018,10,46,0
05 Dajabón,2018,10,47,0
05 Dajabón,2018,12,48,1
05 Dajabón,2018,12,49,0
05 Dajabón,2018,12,50,0
05 Dajabón,2018,12,51,0
05 Dajabón,2018,12,52,0
05 Dajabón,2019,12,1,0
05 Dajabón,2019,12,2,0
05 Dajabón,2019,12,3,0
05 Dajabón,2019,12,4,0
05 Dajabón,2019,12,5,0
05 Dajabón,2019,12,6,0
05 Dajabón,2019,2,7,1
05 Dajabón,2019,2,8,0
05 Dajabón,2019,2,9,0
05 Dajabón,2019,2,10,0
05 Dajabón,2019,3,11,2
05 Dajabón,2019,3,12,1
05 Dajabón,2019,3,13,0
05 Dajabón,2019,3,14,0
05 Dajabón,2019,3,15,0
05 Dajabón,2019,4,16,1
05 Dajabón,2019,4,17,1
05 Dajabón,2019,5,18,1
05 Dajabón,2019,5,19,1
05 Dajabón,2019,5,20,0
05 Dajabón,2019,5,21,0
05 Dajabón,2019,5,22,0
05 Dajabón,2019,6,23,2
05 Dajabón,2019,6,24,0
05 Dajabón,2019,6,25,1
05 Dajabón,2019,6,26,2
05 Dajabón,2019,7,27,3
05 Dajabón,2019,7,28,3
05 Dajabón,2019,7,29,2
05 Dajabón,2019,7,30,3
05 Dajabón,2019,8,31,8
05 Dajabón,2019,8,32,8
05 Dajabón,2019,8,33,10
05 Dajabón,2019,8,34,5
05 Dajabón,2019,8,35,3
05 Dajabón,2019,9,36,6
05 Dajabón,2019,9,37,1
05 Dajabón,2019,9,38,1
05 Dajabón,2019,9,39,0
05 Dajabón,2019,9,40,0
05 Dajabón,2019,10,41,1
05 Dajabón,2019,10,42,1
05 Dajabón,2019,10,43,0
05 Dajabón,2019,10,44,0
05 Dajabón,2019,11,45,1
05 Dajabón,2019,11,46,1
05 Dajabón,2019,11,47,3
05 Dajabón,2019,11,48,0
05 Dajabón,2019,12,49,1
05 Dajabón,2019,12,50,0
05 Dajabón,2019,12,51,0
05 Dajabón,2019,12,52,0
05 Dajabón,2020,1,1,1
05 Dajabón,2020,1,2,0
05 Dajabón,2020,1,3,0
05 Dajabón,2020,1,4,0
05 Dajabón,2020,1,5,0
05 Dajabón,2020,1,6,0
05 Dajabón,2020,1,7,0
05 Dajabón,2020,2,8,1
05 Dajabón,2020,2,9,0
05 Dajabón,2020,2,10,0
05 Dajabón,2020,2,11,0
05 Dajabón,2020,2,12,0
05 Dajabón,2020,2,13,0
05 Dajabón,2020,2,14,0
05 Dajabón,2020,2,15,0
05 Dajabón,2020,2,16,0
05 Dajabón,2020,2,17,0
05 Dajabón,2020,2,18,0
05 Dajabón,2020,2,19,0
05 Dajabón,2020,2,20,0
05 Dajabón,2020,2,21,0
05 Dajabón,2020,2,22,0
05 Dajabón,2020,2,23,0
05 Dajabón,2020,2,24,0
05 Dajabón,2020,2,25,0
05 Dajabón,2020,2,26,0
05 Dajabón,2020,2,27,0
05 Dajabón,2020,2,28,0
05 Dajabón,2020,2,29,0
05 Dajabón,2020,2,30,0
05 Dajabón,2020,2,31,0
05 Dajabón,2020,2,32,0
05 Dajabón,2020,2,33,0
05 Dajabón,2020,2,34,0
05 Dajabón,2020,2,35,0
05 Dajabón,2020,2,36,0
05 Dajabón,2020,2,37,0
05 Dajabón,2020,2,38,0
05 Dajabón,2020,2,39,0
05 Dajabón,2020,2,40,0
05 Dajabón,2020,2,41,0
05 Dajabón,2020,2,42,0
05 Dajabón,2020,2,43,0
05 Dajabón,2020,2,44,0
05 Dajabón,2020,2,45,0
05 Dajabón,2020,2,46,0
05 Dajabón,2020,2,47,0
05 Dajabón,2020,2,48,0
05 Dajabón,2020,12,49,1
05 Dajabón,2020,12,50,0
05 Dajabón,2020,12,51,0
05 Dajabón,2020,12,52,1
05 Dajabón,2021,12,1,0
05 Dajabón,2021,12,2,0
05 Dajabón,2021,12,3,0
05 Dajabón,2021,12,4,0
05 Dajabón,2021,12,5,0
05 Dajabón,2021,12,6,0
05 Dajabón,2021,12,7,0
05 Dajabón,2021,12,8,0
05 Dajabón,2021,12,9,0
05 Dajabón,2021,12,10,0
05 Dajabón,2021,3,11,1
05 Dajabón,2021,3,12,0
05 Dajabón,2021,4,13,1
05 Dajabón,2021,4,14,2
05 Dajabón,2021,4,15,0
05 Dajabón,2021,4,16,0
05 Dajabón,2021,4,17,0
05 Dajabón,2021,5,18,1
05 Dajabón,2021,5,19,0
05 Dajabón,2021,5,20,1
05 Dajabón,2021,5,21,0
05 Dajabón,2021,5,22,0
05 Dajabón,2021,5,23,0
