province,year,month,week,total_cases
06 Duarte,2015,1,1,5
06 Duarte,2015,1,2,5
06 Duarte,2015,1,3,8
06 Duarte,2015,1,4,4
06 Duarte,2015,2,5,3
06 Duarte,2015,2,6,1
06 Duarte,2015,2,7,2
06 Duarte,2015,2,8,2
06 Duarte,2015,3,9,2
06 Duarte,2015,3,10,4
06 Duarte,2015,3,11,1
06 Duarte,2015,3,12,1
06 Duarte,2015,4,13,4
06 Duarte,2015,4,14,4
06 Duarte,2015,4,15,4
06 Duarte,2015,4,16,3
06 Duarte,2015,5,17,5
06 Duarte,2015,5,18,1
06 Duarte,2015,5,19,6
06 Duarte,2015,5,20,3
06 Duarte,2015,5,21,2
06 Duarte,2015,6,22,2
06 Duarte,2015,6,23,0
06 Duarte,2015,6,24,3
06 Duarte,2015,6,25,5
06 Duarte,2015,7,26,7
06 Duarte,2015,7,27,7
06 Duarte,2015,7,28,6
06 Duarte,2015,7,29,13
06 Duarte,2015,8,30,9
06 Duarte,2015,8,31,17
06 Duarte,2015,8,32,10
06 Duarte,2015,8,33,14
06 Duarte,2015,8,34,23
06 Duarte,2015,9,35,16
06 Duarte,2015,9,36,21
06 Duarte,2015,9,37,18
06 Duarte,2015,9,38,28
06 Duarte,2015,10,39,30
06 Duarte,2015,10,40,30
06 Duarte,2015,10,41,40
06 Duarte,2015,10,42,26
06 Duarte,2015,10,43,37
06 Duarte,2015,11,44,36
06 Duarte,2015,11,45,41
06 Duarte,2015,11,46,27
06 Duarte,2015,11,47,23
06 Duarte,2015,12,48,17
06 Duarte,2015,12,49,17
06 Duarte,2015,12,50,13
06 Duarte,2015,12,51,21
06 Duarte,2015,12,52,21
06 Duarte,2016,1,1,12
06 Duarte,2016,1,2,18
06 Duarte,2016,1,3,8
06 Duarte,2016,1,4,12
06 Duarte,2016,2,5,32
06 Duarte,2016,2,6,14
06 Duarte,2016,2,7,11
06 Duarte,2016,2,8,13
06 Duarte,2016,3,9,8
06 Duarte,2016,3,10,12
06 Duarte,2016,3,11,12
06 Duarte,2016,3,12,7
06 Duarte,2016,4,13,9
06 Duarte,2016,4,14,14
06 Duarte,2016,4,15,10
06 Duarte,2016,4,16,4
06 Duarte,2016,4,17,6
06 Duarte,2016,5,18,7
06 Duarte,2016,5,19,2
06 Duarte,2016,5,20,5
06 Duarte,2016,5,21,1
06 Duarte,2016,6,22,3
06 Duarte,2016,6,23,0
06 Duarte,2016,6,24,1
06 Duarte,2016,6,25,2
06 Duarte,2016,6,26,0
06 Duarte,2016,7,27,5
06 Duarte,2016,7,28,1
06 Duarte,2016,7,29,4
06 Duarte,2016,7,30,2
06 Duarte,2016,7,31,0
06 Duarte,2016,8,32,5
06 Duarte,2016,8,33,2
06 Duarte,2016,8,34,3
06 Duarte,2016,8,35,0
06 Duarte,2016,9,36,1
06 Duarte,2016,9,37,0
06 Duarte,2016,9,38,0
06 Duarte,2016,9,39,0
06 Duarte,2016,9,40,0
06 Duarte,2016,9,41,0
06 Duarte,2016,9,42,0
06 Duarte,2016,9,43,0
06 Duarte,2016,11,44,5
06 Duarte,2016,11,45,0
06 Duarte,2016,11,46,2
06 Duarte,2016,11,47,2
06 Duarte,2016,12,48,1
06 Duarte,2016,12,49,5
06 Duarte,2016,12,50,1
06 Duarte,2016,12,51,0
06 Duarte,2016,12,52,2
06 Duarte,2017,12,1,0
06 Duarte,2017,1,2,1
06 Duarte,2017,1,3,0
06 Duarte,2017,1,4,0
06 Duarte,2017,1,5,0
06 Duarte,2017,1,6,0
06 Duarte,2017,1,7,0
06 Duarte,2017,1,8,0
06 Duarte,2017,1,9,0
06 Duarte,2017,1,10,0
06 Duarte,2017,1,11,0
06 Duarte,2017,3,12,1
06 Duarte,2017,3,13,0
06 Duarte,2017,3,14,0
06 Duarte,2017,3,15,0
06 Duarte,2017,3,16,0
06 Duarte,2017,4,17,1
06 Duarte,2017,5,18,2
06 Duarte,2017,5,19,1
06 Duarte,2017,5,20,1
06 Duarte,2017,5,21,0
06 Duarte,2017,6,22,1
06 Duarte,2017,6,23,0
06 Duarte,2017,6,24,3
06 Duarte,2017,6,25,1
06 Duarte,2017,6,26,0
06 Duarte,2017,6,27,0
06 Duarte,2017,7,28,3
06 Duarte,2017,7,29,4
06 Duarte,2017,7,30,1
06 Duarte,2017,8,31,2
06 Duarte,2017,8,32,1
06 Duarte,2017,8,33,2
06 Duarte,2017,8,34,2
06 Duarte,2017,8,35,1
06 Duarte,2017,9,36,3
06 Duarte,2017,9,37,0
06 Duarte,2017,9,38,2
06 Duarte,2017,9,39,1
06 Duarte,2017,10,40,1
06 Duarte,2017,10,41,3
06 Duarte,2017,10,42,0
06 Duarte,2017,10,43,0
06 Duarte,2017,10,44,0
06 Duarte,2017,10,45,0
06 Duarte,2017,10,46,0
06 Duarte,2017,10,47,0
06 Duarte,2017,10,48,0
06 Duarte,2017,10,49,0
06 Duarte,2017,10,50,0
06 Duarte,2017,10,51,0
06 Duarte,2017,10,52,0
06 Duarte,2018,10,1,0
06 Duarte,2018,10,2,0
06 Duarte,2018,1,3,1
06 Duarte,2018,1,4,0
06 Duarte,2018,2,5,2
06 Duarte,2018,2,6,3
06 Duarte,2018,2,7,1
06 Duarte,2018,2,8,2
06 Duarte,2018,3,9,1
06 Duarte,2018,3,10,4
06 Duarte,2018,3,11,2
06 Duarte,2018,3,12,1
06 Duarte,2018,3,13,0
06 Duarte,2018,3,14,0
06 Duarte,2018,3,15,0
06 Duarte,2018,3,16,0
06 Duarte,2018,4,17,3
06 Duarte,2018,4,18,0
06 Duarte,2018,5,19,1
06 Duarte,2018,5,20,0
06 Duarte,2018,5,21,0
06 Duarte,2018,5,22,0
06 Duarte,2018,5,23,0
06 Duarte,2018,6,24,1
06 Duarte,2018,6,25,0
06 Duarte,2018,6,26,0
06 Duarte,2018,6,27,0
06 Duarte,2018,6,28,0
06 Duarte,2018,6,29,0
06 Duarte,2018,6,30,0
06 Duarte,2018,8,31,2
06 Duarte,2018,8,32,0
06 Duarte,2018,8,33,1
06 Duarte,2018,8,34,0
06 Duarte,2018,8,35,2
06 Duarte,2018,9,36,1
06 Duarte,2018,9,37,1
06 Duarte,2018,9,38,0
06 Duarte,2018,9,39,0
06 Duarte,2018,9,40,0
06 Duarte,2018,10,41,1
06 Duarte,2018,10,42,1
06 Duarte,2018,10,43,0
06 Duarte,2018,11,44,1
06 Duarte,2018,11,45,0
06 Duarte,2018,11,46,2
06 Duarte,2018,11,47,0
06 Duarte,2018,11,48,1
06 Duarte,2018,11,49,0
06 Duarte,2018,12,50,1
06 Duarte,2018,12,51,0
06 Duarte,2018,12,52,0
06 Duarte,2019,1,1,1
06 Duarte,2019,1,2,0
06 Duarte,2019,1,3,0
06 Duarte,2019,1,4,0
06 Duarte,2019,1,5,0
06 Duarte,2019,1,6,0
06 Duarte,2019,1,7,0
06 Duarte,2019,2,8,3
06 Duarte,2019,2,9,1
06 Duarte,2019,2,10,0
06 Duarte,2019,2,11,0
06 Duarte,2019,3,12,1
06 Duarte,2019,3,13,1
06 Duarte,2019,4,14,3
06 Duarte,2019,4,15,4
06 Duarte,2019,4,16,3
06 Duarte,2019,4,17,0
06 Duarte,2019,5,18,2
06 Duarte,2019,5,19,2
06 Duarte,2019,5,20,4
06 Duarte,2019,5,21,6
06 Duarte,2019,5,22,4
06 Duarte,2019,6,23,1
06 Duarte,2019,6,24,8
06 Duarte,2019,6,25,5
06 Duarte,2019,6,26,8
06 Duarte,2019,7,27,15
06 Duarte,2019,7,28,14
06 Duarte,2019,7,29,11
06 Duarte,2019,7,30,29
06 Duarte,2019,8,31,25
06 Duarte,2019,8,32,25
06 Duarte,2019,8,33,17
06 Duarte,2019,8,34,7
06 Duarte,2019,8,35,22
06 Duarte,2019,9,36,15
06 Duarte,2019,9,37,19
06 Duarte,2019,9,38,27
06 Duarte,2019,9,39,13
06 Duarte,2019,10,40,13
06 Duarte,2019,10,41,20
06 Duarte,2019,10,42,11
06 Duarte,2019,10,43,17
06 Duarte,2019,11,44,11
06 Duarte,2019,11,45,13
06 Duarte,2019,11,46,15
06 Duarte,2019,11,47,24
06 Duarte,2019,11,48,17
06 Duarte,2019,12,49,21
06 Duarte,2019,12,50,20
06 Duarte,2019,12,51,9
06 Duarte,2019,12,52,12
06 Duarte,2020,12,1,17
06 Duarte,2020,1,2,20
06 Duarte,2020,1,3,24
06 Duarte,2020,1,4,21
06 Duarte,2020,2,5,21
06 Duarte,2020,2,6,19
06 Duarte,2020,2,7,17
06 Duarte,2020,2,8,4
06 Duarte,2020,2,9,9
06 Duarte,2020,3,10,15
06 Duarte,2020,3,11,8
06 Duarte,2020,3,12,3
06 Duarte,2020,3,13,0
06 Duarte,2020,4,14,1
06 Duarte,2020,4,15,0
06 Duarte,2020,4,16,0
06 Duarte,2020,4,17,0
06 Duarte,2020,5,18,1
06 Duarte,2020,5,19,2
06 Duarte,2020,5,20,0
06 Duarte,2020,5,21,0
