province,year,month,week,total_cases
07 Elías Piña,2015,1,1,1
07 Elías Piña,2015,1,2,0
07 Elías Piña,2015,1,3,0
07 Elías Piña,2015,1,4,0
07 Elías Piña,2015,1,5,0
07 Elías Piña,2015,1,6,0
07 Elías Piña,2015,1,7,0
07 Elías Piña,2015,1,8,0
07 Elías Piña,2015,1,9,0
07 Elías Piña,2015,1,10,0
07 Elías Piña,2015,1,11,0
07 Elías Piña,2015,1,12,0
07 Elías Piña,2015,1,13,0
07 Elías Piña,2015,1,14,0
07 Elías Piña,2015,1,15,0
07 Elías Piña,2015,1,16,0
07 Elías Piña,2015,1,17,0
07 Elías Piña,2015,1,18,0
07 Elías Piña,2015,1,19,0
07 Elías Piña,2015,1,20,0
07 Elías Piña,2015,1,21,0
07 Elías Piña,2015,1,22,0
07 Elías Piña,2015,1,23,0
07 Elías Piña,2015,1,24,0
07 Elías Piña,2015,6,25,1
07 Elías Piña,2015,6,26,0
07 Elías Piña,2015,6,27,0
07 Elías Piña,2015,6,28,0
07 Elías Piña,2015,6,29,0
07 Elías Piña,2015,8,30,2
07 Elías Piña,2015,8,31,1
07 Elías Piña,2015,8,32,1
07 Elías Piña,2015,8,33,1
07 Elías Piña,2015,8,34,2
07 Elías Piña,2015,8,35,0
07 Elías Piña,2015,9,36,3
07 Elías Piña,2015,9,37,1
07 Elías Piña,2015,9,38,4
07 Elías Piña,2015,9,39,4
07 Elías Piña,2015,10,40,1
07 Elías Piña,2015,10,41,1
07 Elías Piña,2015,10,42,11
07 Elías Piña,2015,10,43,6
07 Elías Piña,2015,11,44,6
07 Elías Piña,2015,11,45,1
07 Elías Piña,2015,11,46,7
07 Elías Piña,2015,11,47,2
07 Elías Piña,2015,12,48,1
07 Elías Piña,2015,12,49,4
07 Elías Piña,2015,12,50,2
07 Elías Piña,2015,12,51,1
07 Elías Piña,2015,12,52,0
07 Elías Piña,2016,12,1,0
07 Elías Piña,2016,12,2,0
07 Elías Piña,2016,1,3,2
07 Elías Piña,2016,1,4,2
07 Elías Piña,2016,2,5,4
07 Elías Piña,2016,2,6,2
07 Elías Piña,2016,2,7,0
07 Elías Piña,2016,2,8,0
07 Elías Piña,2016,2,9,1
07 Elías Piña,2016,2,10,0
07 Elías Piña,2016,3,11,1
07 Elías Piña,2016,3,12,0
07 Elías Piña,2016,3,13,1
07 Elías Piña,2016,3,14,0
07 Elías Piña,2016,3,15,0
07 Elías Piña,2016,4,16,1
07 Elías Piña,2016,4,17,0
07 Elías Piña,2016,4,18,0
07 Elías Piña,2016,4,19,0
07 Elías Piña,2016,4,20,0
07 Elías Piña,2016,4,21,0
07 Elías Piña,2016,4,22,0
07 Elías Piña,2016,6,23,1
07 Elías Piña,2016,6,24,0
07 Elías Piña,2016,6,25,0
07 Elías Piña,2016,7,26,2
07 Elías Piña,2016,7,27,0
07 Elías Piña,2016,7,28,0
07 Elías Piña,2016,7,29,0
07 Elías Piña,2016,7,30,0
07 Elías Piña,2016,7,31,1
07 Elías Piña,2016,7,32,0
07 Elías Piña,2016,7,33,0
07 Elías Piña,2016,7,34,0
07 Elías Piña,2016,7,35,0
07 Elías Piña,2016,7,36,0
07 Elías Piña,2016,9,37,1
07 Elías Piña,2016,9,38,0
07 Elías Piña,2016,9,39,1
07 Elías Piña,2016,10,40,1
07 Elías Piña,2016,10,41,0
07 Elías Piña,2016,10,42,0
07 Elías Piña,2016,10,43,0
07 Elías Piña,2016,10,44,1
07 Elías Piña,2016,10,45,0
07 Elías Piña,2016,10,46,0
07 Elías Piña,2016,10,47,0
07 Elías Piña,2016,10,48,0
07 Elías Piña,2016,10,49,0
07 Elías Piña,2016,12,50,1
07 Elías Piña,2016,12,51,0
07 Elías Piña,2016,12,52,0
07 Elías Piña,2017,1,1,2
07 Elías Piña,2017,1,2,1
07 Elías Piña,2017,1,3,0
07 Elías Piña,2017,1,4,0
07 Elías Piña,2017,1,5,0
07 Elías Piña,2017,1,6,0
07 Elías Piña,2017,1,7,0
07 Elías Piña,2017,1,8,0
07 Elías Piña,2017,1,9,0
07 Elías Piña,2017,1,10,0
07 Elías Piña,2017,1,11,0
07 Elías Piña,2017,1,12,0
07 Elías Piña,2017,1,13,0
07 Elías Piña,2017,1,14,0
07 Elías Piña,2017,1,15,0
07 Elías Piña,2017,1,16,0
07 Elías Piña,2017,1,17,0
07 Elías Piña,2017,1,18,0
07 Elías Piña,2017,1,19,0
07 Elías Piña,2017,1,20,0
07 Elías Piña,2017,1,21,0
07 Elías Piña,2017,1,22,0
07 Elías Piña,2017,6,23,1
07 Elías Piña,2017,6,24,0
07 Elías Piña,2017,6,25,0
