province,year,month,week,total_cases
08 El Seibo,2015,0,1,0
08 El Seibo,2015,1,2,2
08 El Seibo,2015,1,3,0
08 El Seibo,2015,1,4,0
08 El Seibo,2015,2,5,1
08 El Seibo,2015,2,6,0
08 El Seibo,2015,2,7,0
08 El Seibo,2015,2,8,0
08 El Seibo,2015,2,9,0
08 El Seibo,2015,2,10,0
08 El Seibo,2015,2,11,0
08 El Seibo,2015,2,12,0
08 El Seibo,2015,2,13,0
08 El Seibo,2015,2,14,0
08 El Seibo,2015,4,15,1
08 El Seibo,2015,4,16,0
08 El Seibo,2015,4,17,1
08 El Seibo,2015,4,18,0
08 El Seibo,2015,4,19,0
08 El Seibo,2015,4,20,0
08 El Seibo,2015,4,21,0
08 El Seibo,2015,4,22,0
08 El Seibo,2015,4,23,0
08 El Seibo,2015,4,24,0
08 El Seibo,2015,4,25,0
08 El Seibo,2015,7,26,1
08 El Seibo,2015,7,27,1
08 El Seibo,2015,7,28,3
08 El Seibo,2015,7,29,0
08 El Seibo,2015,7,30,1
08 El Seibo,2015,8,31,1
08 El Seibo,2015,8,32,3
08 El Seibo,2015,8,33,0
08 El Seibo,2015,8,34,4
08 El Seibo,2015,8,35,2
08 El Seibo,2015,9,36,6
08 El Seibo,2015,9,37,2
08 El Seibo,2015,9,38,3
08 El Seibo,2015,10,39,7
08 El Seibo,2015,10,40,2
08 El Seibo,2015,10,41,12
08 El Seibo,2015,10,42,16
08 El Seibo,2015,10,43,9
08 El Seibo,2015,11,44,6
08 El Seibo,2015,11,45,8
08 El Seibo,2015,11,46,3
08 El Seibo,2015,11,47,2
08 El Seibo,2015,12,48,4
08 El Seibo,2015,12,49,2
08 El Seibo,2015,12,50,0
08 El Seibo,2015,12,51,0
08 El Seibo,2015,12,52,0
08 El Seibo,2016,12,1,0
08 El Seibo,2016,1,2,3
08 El Seibo,2016,1,3,4
08 El Seibo,2016,1,4,1
08 El Seibo,2016,2,5,2
08 El Seibo,2016,2,6,2
08 El Seibo,2016,2,7,1
08 El Seibo,2016,2,8,1
08 El Seibo,2016,3,9,1
08 El Seibo,2016,3,10,2
08 El Seibo,2016,3,11,1
08 El Seibo,2016,3,12,1
08 El Seibo,2016,3,13,1
08 El Seibo,2016,4,14,2
08 El Seibo,2016,4,15,3
08 El Seibo,2016,4,16,0
08 El Seibo,2016,4,17,0
08 El Seibo,2016,5,18,1
08 El Seibo,2016,5,19,0
08 El Seibo,2016,5,20,2
08 El Seibo,2016,5,21,0
08 El Seibo,2016,5,22,1
08 El Seibo,2016,5,23,0
08 El Seibo,2016,6,24,1
08 El Seibo,2016,6,25,1
08 El Seibo,2016,6,26,1
08 El Seibo,2016,6,27,0
08 El Seibo,2016,6,28,0
08 El Seibo,2016,7,29,1
08 El Seibo,2016,7,30,0
08 El Seibo,2016,7,31,0
08 El Seibo,2016,7,32,0
08 El Seibo,2016,7,33,0
08 El Seibo,2016,8,34,1
08 El Seibo,2016,8,35,0
08 El Seibo,2016,8,36,0
08 El Seibo,2016,8,37,0
08 El Seibo,2016,8,38,0
08 El Seibo,2016,8,39,0
08 El Seibo,2016,8,40,0
08 El Seibo,2016,8,41,0
08 El Seibo,2016,8,42,0
08 El Seibo,2016,8,43,0
08 El Seibo,2016,8,44,0
08 El Seibo,2016,11,45,1
08 El Seibo,2016,11,46,0
08 El Seibo,2016,11,47,1
08 El Seibo,2016,11,48,0
08 El Seibo,2016,11,49,0
08 El Seibo,2016,11,50,0
08 El Seibo,2016,11,51,0
08 El Seibo,2016,11,52,0
08 El Seibo,2017,11,1,0
08 El Seibo,2017,11,2,0
08 El Seibo,2017,11,3,0
08 El Seibo,2017,11,4,0
08 El Seibo,2017,11,5,0
08 El Seibo,2017,11,6,0
08 El Seibo,2017,11,7,0
08 El Seibo,2017,11,8,0
08 El Seibo,2017,11,9,0
08 El Seibo,2017,11,10,0
08 El Seibo,2017,11,11,0
08 El Seibo,2017,11,12,0
08 El Seibo,2017,11,13,0
08 El Seibo,2017,4,14,1
08 El Seibo,2017,4,15,0
08 El Seibo,2017,4,16,0
08 El Seibo,2017,4,17,0
08 El Seibo,2017,4,18,0
08 El Seibo,2017,4,19,0
08 El Seibo,2017,4,20,0
08 El Seibo,2017,4,21,0
08 El Seibo,2017,4,22,0
08 El Seibo,2017,4,23,0
08 El Seibo,2017,4,24,0
08 El Seibo,2017,4,25,0
08 El Seibo,2017,4,26,0
08 El Seibo,2017,4,27,0
08 El Seibo,2017,4,28,0
08 El Seibo,2017,4,29,0
08 El Seibo,2017,4,30,0
08 El Seibo,2017,4,31,0
08 El Seibo,2017,4,32,0
08 El Seibo,2017,4,33,0
08 El Seibo,2017,4,34,0
08 El Seibo,2017,4,35,0
08 El Seibo,2017,4,36,0
08 El Seibo,2017,4,37,0
08 El Seibo,2017,4,38,0
