province,year,month,week,total_cases
09 Espaillat,2015,1,1,2
09 Espaillat,2015,1,2,1
09 Espaillat,2015,1,3,1
09 Espaillat,2015,1,4,0
09 Espaillat,2015,1,5,0
09 Espaillat,2015,2,6,1
09 Espaillat,2015,2,7,2
09 Espaillat,2015,2,8,0
09 Espaillat,2015,3,9,2
09 Espaillat,2015,3,10,1
09 Espaillat,2015,3,11,2
09 Espaillat,2015,3,12,1
09 Espaillat,2015,3,13,0
09 Espaillat,2015,4,14,1
09 Espaillat,2015,4,15,1
09 Espaillat,2015,4,16,4
09 Espaillat,2015,4,17,1
09 Espaillat,2015,5,18,2
09 Espaillat,2015,5,19,4
09 Espaillat,2015,5,20,2
09 Espaillat,2015,5,21,4
09 Espaillat,2015,6,22,2
09 Espaillat,2015,6,23,4
09 Espaillat,2015,6,24,3
09 Espaillat,2015,6,25,3
09 Espaillat,2015,7,26,4
09 Espaillat,2015,7,27,3
09 Espaillat,2015,7,28,2
09 Espaillat,2015,7,29,4
09 Espaillat,2015,7,30,3
09 Espaillat,2015,8,31,5
09 Espaillat,2015,8,32,4
09 Espaillat,2015,8,33,0
09 Espaillat,2015,8,34,3
09 Espaillat,2015,9,35,8
09 Espaillat,2015,9,36,9
09 Espaillat,2015,9,37,9
09 Espaillat,2015,9,38,6
09 Espaillat,2015,10,39,18
09 Espaillat,2015,10,40,14
09 Espaillat,2015,10,41,17
09 Espaillat,2015,10,42,13
09 Espaillat,2015,10,43,24
09 Espaillat,2015,11,44,11
09 Espaillat,2015,11,45,3
09 Espaillat,2015,11,46,7
09 Espaillat,2015,11,47,9
09 Espaillat,2015,12,48,4
09 Espaillat,2015,12,49,8
09 Espaillat,2015,12,50,8
09 Espaillat,2015,12,51,5
09 Espaillat,2015,12,52,14
09 Espaillat,2016,1,1,6
09 Espaillat,2016,1,2,12
09 Espaillat,2016,1,3,9
09 Espaillat,2016,1,4,8
09 Espaillat,2016,2,5,1
09 Espaillat,2016,2,6,2
09 Espaillat,2016,2,7,9
09 Espaillat,2016,2,8,6
09 Espaillat,2016,3,9,3
09 Espaillat,2016,3,10,2
09 Espaillat,2016,3,11,3
09 Espaillat,2016,3,12,3
09 Espaillat,2016,4,13,8
09 Espaillat,2016,4,14,5
09 Espaillat,2016,4,15,1
09 Espaillat,2016,4,16,2
09 Espaillat,2016,4,17,0
09 Espaillat,2016,5,18,2
09 Espaillat,2016,5,19,1
09 Espaillat,2016,5,20,4
09 Espaillat,2016,5,21,2
09 Espaillat,2016,6,22,3
09 Espaillat,2016,6,23,1
09 Espaillat,2016,6,24,2
09 Espaillat,2016,6,25,2
09 Espaillat,2016,7,26,3
09 Espaillat,2016,7,27,3
09 Espaillat,2016,7,28,1
09 Espaillat,2016,7,29,4
09 Espaillat,2016,7,30,1
09 Espaillat,2016,8,31,1
09 Espaillat,2016,8,32,3
09 Espaillat,2016,8,33,4
09 Espaillat,2016,8,34,1
09 Espaillat,2016,9,35,1
09 Espaillat,2016,9,36,2
09 Espaillat,2016,9,37,6
09 Espaillat,2016,9,38,1
09 Espaillat,2016,9,39,0
09 Espaillat,2016,10,40,3
09 Espaillat,2016,10,41,6
09 Espaillat,2016,10,42,0
09 Espaillat,2016,10,43,5
09 Espaillat,2016,11,44,4
09 Espaillat,2016,11,45,1
09 Espaillat,2016,11,46,1
09 Espaillat,2016,11,47,6
09 Espaillat,2016,11,48,2
09 Espaillat,2016,12,49,3
09 Espaillat,2016,12,50,2
09 Espaillat,2016,12,51,3
09 Espaillat,2016,12,52,0
09 Espaillat,2017,1,1,3
09 Espaillat,2017,1,2,0
09 Espaillat,2017,1,3,0
09 Espaillat,2017,1,4,1
09 Espaillat,2017,1,5,0
09 Espaillat,2017,2,6,2
09 Espaillat,2017,2,7,1
09 Espaillat,2017,2,8,1
09 Espaillat,2017,3,9,1
09 Espaillat,2017,3,10,1
09 Espaillat,2017,3,11,1
09 Espaillat,2017,3,12,2
09 Espaillat,2017,3,13,0
09 Espaillat,2017,4,14,1
09 Espaillat,2017,4,15,0
09 Espaillat,2017,4,16,1
09 Espaillat,2017,4,17,0
09 Espaillat,2017,5,18,3
09 Espaillat,2017,5,19,2
09 Espaillat,2017,5,20,1
09 Espaillat,2017,5,21,2
09 Espaillat,2017,6,22,1
09 Espaillat,2017,6,23,0
09 Espaillat,2017,6,24,0
09 Espaillat,2017,6,25,1
09 Espaillat,2017,6,26,0
09 Espaillat,2017,7,27,3
09 Espaillat,2017,7,28,0
09 Espaillat,2017,7,29,1
09 Espaillat,2017,7,30,0
09 Espaillat,2017,7,31,0
09 Espaillat,2017,7,32,0
09 Espaillat,2017,8,33,1
09 Espaillat,2017,8,34,3
09 Espaillat,2017,9,35,1
09 Espaillat,2017,9,36,0
09 Espaillat,2017,9,37,0
09 Espaillat,2017,9,38,1
09 Espaillat,2017,9,39,1
09 Espaillat,2017,10,40,4
09 Espaillat,2017,10,41,4
09 Espaillat,2017,10,42,1
09 Espaillat,2017,10,43,2
09 Espaillat,2017,11,44,2
09 Espaillat,2017,11,45,0
09 Espaillat,2017,11,46,1
09 Espaillat,2017,11,47,3
09 Espaillat,2017,12,48,4
09 Espaillat,2017,12,49,1
09 Espaillat,2017,12,50,0
09 Espaillat,2017,12,51,1
09 Espaillat,2017,12,52,0
09 Espaillat,2018,12,1,0
09 Espaillat,2018,1,2,3
09 Espaillat,2018,1,3,0
09 Espaillat,2018,1,4,1
09 Espaillat,2018,2,5,2
09 Espaillat,2018,2,6,0
09 Espaillat,2018,2,7,2
09 Espaillat,2018,2,8,2
09 Espaillat,2018,3,9,2
09 Espaillat,2018,3,10,3
09 Espaillat,2018,3,11,1
09 Espaillat,2018,3,12,2
09 Espaillat,2018,3,13,1
09 Espaillat,2018,3,14,0
09 Espaillat,2018,4,15,1
09 Espaillat,2018,4,16,0
09 Espaillat,2018,4,17,1
09 Espaillat,2018,4,18,0
09 Espaillat,2018,4,19,0
09 Espaillat,2018,5,20,1
09 Espaillat,2018,5,21,0
09 Espaillat,2018,5,22,0
09 Espaillat,2018,5,23,0
09 Espaillat,2018,5,24,0
09 Espaillat,2018,5,25,0
09 Espaillat,2018,5,26,0
09 Espaillat,2018,7,27,1
09 Espaillat,2018,7,28,0
09 Espaillat,2018,7,29,1
09 Espaillat,2018,7,30,1
09 Espaillat,2018,8,31,1
09 Espaillat,2018,8,32,1
09 Espaillat,2018,8,33,0
09 Espaillat,2018,8,34,0
09 Espaillat,2018,8,35,0
09 Espaillat,2018,8,36,0
09 Espaillat,2018,8,37,0
09 Espaillat,2018,8,38,0
09 Espaillat,2018,8,39,0
09 Espaillat,2018,10,40,1
09 Espaillat,2018,10,41,0
09 Espaillat,2018,10,42,1
09 Espaillat,2018,10,43,0
09 Espaillat,2018,10,44,0
09 Espaillat,2018,10,45,0
09 Espaillat,2018,11,46,1
09 Espaillat,2018,11,47,0
09 Espaillat,2018,11,48,0
09 Espaillat,2018,12,49,1
09 Espaillat,2018,12,50,2
09 Espaillat,2018,12,51,1
09 Espaillat,2018,12,52,1
09 Espaillat,2019,12,1,0
09 Espaillat,2019,1,2,1
09 Espaillat,2019,1,3,1
09 Espaillat,2019,1,4,2
09 Espaillat,2019,2,5,4
09 Espaillat,2019,2,6,1
09 Espaillat,2019,2,7,0
09 Espaillat,2019,2,8,0
09 Espaillat,2019,3,9,1
09 Espaillat,2019,3,10,0
