province,year,month,week,total_cases
10 Independencia,2015,0,1,0
10 Independencia,2015,1,2,3
10 Independencia,2015,1,3,1
10 Independencia,2015,1,4,2
10 Independencia,2015,2,5,1
10 Independencia,2015,2,6,0
10 Independencia,2015,2,7,4
10 Independencia,2015,2,8,1
10 Independencia,2015,2,9,0
10 Independencia,2015,3,10,2
10 Independencia,2015,3,11,3
10 Independencia,2015,3,12,0
10 Independencia,2015,3,13,2
10 Independencia,2015,4,14,4
10 Independencia,2015,4,15,2
10 Independencia,2015,4,16,2
10 Independencia,2015,4,17,0
10 Independencia,2015,4,18,0
10 Independencia,2015,4,19,0
10 Independencia,2015,4,20,0
10 Independencia,2015,4,21,0
10 Independencia,2015,6,22,1
10 Independencia,2015,6,23,0
10 Independencia,2015,6,24,0
10 Independencia,2015,6,25,0
10 Independencia,2015,6,26,0
10 Independencia,2015,6,27,0
10 Independencia,2015,6,28,0
10 Independencia,2015,6,29,0
10 Independencia,2015,6,30,0
10 Independencia,2015,6,31,0
10 Independencia,2015,6,32,0
10 Independencia,2015,6,33,0
10 Independencia,2015,6,34,0
10 Independencia,2015,8,35,1
10 Independencia,2015,8,36,0
10 Independencia,2015,8,37,0
10 Independencia,2015,8,38,0
10 Independencia,2015,10,39,3
10 Independencia,2015,10,40,0
10 Independencia,2015,10,41,0
10 Independencia,2015,10,42,3
10 Independencia,2015,10,43,4
10 Independencia,2015,11,44,4
10 Independencia,2015,11,45,4
10 Independencia,2015,11,46,1
10 Independencia,2015,11,47,1
10 Independencia,2015,11,48,1
10 Independencia,2015,11,49,0
10 Independencia,2015,12,50,1
10 Independencia,2015,12,51,0
10 Independencia,2015,12,52,0
10 Independencia,2016,1,1,1
10 Independencia,2016,1,2,1
10 Independencia,2016,1,3,3
10 Independencia,2016,1,4,5
10 Independencia,2016,2,5,1
10 Independencia,2016,2,6,1
10 Independencia,2016,2,7,1
10 Independencia,2016,2,8,1
10 Independencia,2016,2,9,0
10 Independencia,2016,3,10,1
10 Independencia,2016,3,11,1
10 Independencia,2016,3,12,1
10 Independencia,2016,3,13,1
10 Independencia,2016,3,14,0
10 Independencia,2016,4,15,1
10 Independencia,2016,4,16,0
10 Independencia,2016,4,17,0
10 Independencia,2016,5,18,1
10 Independencia,2016,5,19,0
10 Independencia,2016,5,20,0
10 Independencia,2016,5,21,0
10 Independencia,2016,5,22,0
10 Independencia,2016,5,23,0
10 Independencia,2016,5,24,0
10 Independencia,2016,5,25,0
10 Independencia,2016,5,26,0
10 Independencia,2016,7,27,1
10 Independencia,2016,7,28,0
10 Independencia,2016,7,29,0
10 Independencia,2016,7,30,0
10 Independencia,2016,7,31,0
10 Independencia,2016,7,32,0
10 Independencia,2016,7,33,0
10 Independencia,2016,7,34,0
10 Independencia,2016,7,35,0
10 Independencia,2016,7,36,0
10 Independencia,2016,7,37,0
10 Independencia,2016,7,38,0
10 Independencia,2016,7,39,0
10 Independencia,2016,10,40,1
10 Independencia,2016,10,41,0
10 Independencia,2016,10,42,0
10 Independencia,2016,10,43,0
10 Independencia,2016,10,44,0
10 Independencia,2016,10,45,0
10 Independencia,2016,10,46,0
10 Independencia,2016,10,47,0
10 Independencia,2016,10,48,0
10 Independencia,2016,10,49,0
10 Independencia,2016,10,50,0
10 Independencia,2016,10,51,0
10 Independencia,2016,10,52,0
10 Independencia,2017,10,1,0
10 Independencia,2017,10,2,0
10 Independencia,2017,10,3,0
10 Independencia,2017,10,4,0
10 Independencia,2017,10,5,0
10 Independencia,2017,10,6,0
10 Independencia,2017,10,7,0
10 Independencia,2017,10,8,0
10 Independencia,2017,10,9,0
10 Independencia,2017,10,10,0
10 Independencia,2017,10,11,0
10 Independencia,2017,10,12,0
10 Independencia,2017,10,13,0
10 Independencia,2017,10,14,0
10 Independencia,2017,10,15,0
10 Independencia,2017,10,16,0
10 Independencia,2017,10,17,0
10 Independencia,2017,10,18,0
10 Independencia,2017,10,19,0
10 Independencia,2017,10,20,0
10 Independencia,2017,10,21,0
10 Independencia,2017,10,22,0
10 Independencia,2017,10,23,0
10 Independencia,2017,10,24,0
10 Independencia,2017,10,25,0
10 Independencia,2017,6,26,2
10 Independencia,2017,6,27,0
10 Independencia,2017,6,28,0
10 Independencia,2017,7,29,1
10 Independencia,2017,7,30,1
10 Independencia,2017,8,31,1
10 Independencia,2017,8,32,0
10 Independencia,2017,8,33,0
10 Independencia,2017,8,34,0
10 Independencia,2017,8,35,0
10 Independencia,2017,9,36,1
10 Independencia,2017,9,37,0
10 Independencia,2017,9,38,0
10 Independencia,2017,9,39,0
10 Independencia,2017,10,40,2
10 Independencia,2017,10,41,0
10 Independencia,2017,10,42,0
10 Independencia,2017,10,43,0
10 Independencia,2017,10,44,0
10 Independencia,2017,10,45,0
10 Independencia,2017,11,46,1
10 Independencia,2017,11,47,0
10 Independencia,2017,11,48,0
10 Independencia,2017,11,49,0
10 Independencia,2017,11,50,0
10 Independencia,2017,11,51,0
10 Independencia,2017,11,52,0
10 Independencia,2018,11,1,0
10 Independencia,2018,11,2,0
10 Independencia,2018,11,3,0
10 Independencia,2018,11,4,0
10 Independencia,2018,11,5,0
10 Independencia,2018,11,6,0
10 Independencia,2018,11,7,0
10 Independencia,2018,11,8,0
10 Independencia,2018,3,9,1
10 Independencia,2018,3,10,2
10 Independencia,2018,3,11,0
10 Independencia,2018,3,12,0
10 Independencia,2018,3,13,1
10 Independencia,2018,3,14,0
10 Independencia,2018,3,15,0
10 Independencia,2018,3,16,0
10 Independencia,2018,3,17,0
10 Independencia,2018,3,18,0
10 Independencia,2018,3,19,0
10 Independencia,2018,3,20,0
10 Independencia,2018,3,21,0
10 Independencia,2018,3,22,0
10 Independencia,2018,3,23,0
10 Independencia,2018,3,24,0
10 Independencia,2018,3,25,0
10 Independencia,2018,6,26,1
10 Independencia,2018,7,27,1
10 Independencia,2018,7,28,0
10 Independencia,2018,7,29,0
10 Independencia,2018,7,30,0
10 Independencia,2018,7,31,0
10 Independencia,2018,8,32,1
10 Independencia,2018,8,33,0
10 Independencia,2018,8,34,0
10 Independencia,2018,8,35,0
10 Independencia,2018,8,36,0
10 Independencia,2018,8,37,0
10 Independencia,2018,8,38,0
10 Independencia,2018,8,39,0
10 Independencia,2018,8,40,0
10 Independencia,2018,10,41,1
10 Independencia,2018,10,42,0
10 Independencia,2018,10,43,1
10 Independencia,2018,10,44,1
10 Independencia,2018,11,45,1
10 Independencia,2018,11,46,1
10 Independencia,2018,11,47,2
10 Independencia,2018,12,48,2
10 Independencia,2018,12,49,1
10 Independencia,2018,12,50,0
10 Independencia,2018,12,51,0
10 Independencia,2018,12,52,0
10 Independencia,2019,12,1,5
10 Independencia,2019,1,2,2
10 Independencia,2019,1,3,2
10 Independencia,2019,1,4,3
10 Independencia,2019,2,5,3
10 Independencia,2019,2,6,2
10 Independencia,2019,2,7,8
10 Independencia,2019,2,8,6
10 Independencia,2019,3,9,3
10 Independencia,2019,3,10,4
10 Independencia,2019,3,11,3
10 Independencia,2019,3,12,4
10 Independencia,2019,3,13,1
10 Independencia,2019,4,14,1
10 Independencia,2019,4,15,11
10 Independencia,2019,4,16,2
10 Independencia,2019,4,17,3
10 Independencia,2019,5,18,6
10 Independencia,2019,5,19,3
10 Independencia,2019,5,20,5
10 Independencia,2019,5,21,2
10 Independencia,2019,6,22,6
10 Independencia,2019,6,23,6
10 Independencia,2019,6,24,3
10 Independencia,2019,6,25,18
10 Independencia,2019,6,26,7
10 Independencia,2019,7,27,12
10 Independencia,2019,7,28,7
10 Independencia,2019,7,29,12
10 Independencia,2019,7,30,5
10 Independencia,2019,8,31,8
10 Independencia,2019,8,32,3
10 Independencia,2019,8,33,1
10 Independencia,2019,8,34,1
10 Independencia,2019,8,35,4
10 Independencia,2019,9,36,2
10 Independencia,2019,9,37,3
10 Independencia,2019,9,38,1
10 Independencia,2019,9,39,1
10 Independencia,2019,10,40,3
10 Independencia,2019,10,41,1
10 Independencia,2019,10,42,0
10 Independencia,2019,10,43,0
10 Independencia,2019,10,44,1
10 Independencia,2019,11,45,4
10 Independencia,2019,11,46,2
10 Independencia,2019,11,47,0
10 Independencia,2019,11,48,0
10 Independencia,2019,12,49,2
10 Independencia,2019,12,50,2
10 Independencia,2019,12,51,1
10 Independencia,2019,12,52,3
10 Independencia,2020,12,1,6
10 Independencia,2020,1,2,3
10 Independencia,2020,1,3,2
10 Independencia,2020,1,4,1
10 Independencia,2020,1,5,0
10 Independencia,2020,1,6,0
10 Independencia,2020,1,7,0
10 Independencia,2020,2,8,2
10 Independencia,2020,2,9,0
10 Independencia,2020,3,10,1
10 Independencia,2020,3,11,0
10 Independencia,2020,3,12,2
10 Independencia,2020,3,13,0
10 Independencia,2020,4,14,1
10 Independencia,2020,4,15,0
10 Independencia,2020,4,16,0
10 Independencia,2020,4,17,0
10 Independencia,2020,4,18,1
